"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/2017","16.25","16.25","16.25","16.25","1","-4.97%"
"09/26/2017","17.10","17.10","17.10","17.10","1","+9.97%"
"09/21/2017","15.55","15.55","15.55","15.55","1","+0.32%"
"09/15/2017","15.50","17.00","17.00","15.50","2","-8.82%"
"08/31/2017","17.00","17.00","17.00","17.00","1","+0.00%"
"08/24/2017","17.00","17.00","17.00","17.00","1","+3.03%"
"08/18/2017","16.50","16.50","16.50","16.50","1","+2.48%"
"08/14/2017","16.10","16.10","16.10","16.10","1","+0.63%"
"08/01/2017","16.00","16.00","16.00","16.00","0","+0.00%"
"06/01/2017","16.00","16.00","16.00","16.00","10","+4.58%"
"05/29/2017","15.30","15.30","15.30","15.30","2","-0.33%"
"05/12/2017","15.35","15.35","15.35","15.35","2","-9.71%"
"04/27/2017","17.00","17.00","17.00","17.00","1","+1.19%"
"04/13/2017","16.80","16.80","16.80","16.80","1","+1.82%"
"04/12/2017","16.50","15.50","16.50","15.50","2","+10.00%"
"04/11/2017","15.00","15.00","15.00","15.00","2","+0.00%"
"03/14/2017","15.00","15.00","15.00","15.00","100","+7.14%"
"03/03/2017","14.00","14.00","14.00","14.00","1","+6.06%"
"02/15/2017","13.20","12.50","13.20","12.50","15","+10.00%"
"02/09/2017","12.00","12.00","12.00","12.00","1","+4.35%"
"02/06/2017","11.50","11.50","11.50","11.50","1","+0.00%"
"12/07/2016","11.50","11.50","11.50","11.50","100","+0.00%"
"12/02/2016","11.50","11.50","11.50","11.50","1","+9.94%"
"11/17/2016","10.46","10.46","10.46","10.46","1","+9.99%"
"10/26/2016","9.51","9.51","9.51","9.51","5","-9.43%"
"10/20/2016","10.50","10.50","10.50","10.50","2","+9.95%"
"10/04/2016","9.55","9.55","9.55","9.55","1","+0.53%"
"09/14/2016","9.50","9.50","9.50","9.50","1","+0.00%"
"08/18/2016","9.50","9.50","9.50","9.50","1","+0.00%"
"07/19/2016","9.50","9.50","9.50","9.50","1","+0.00%"
"07/12/2016","9.50","9.50","9.50","9.50","20","-7.59%"
"06/16/2016","10.28","10.28","10.28","10.28","1","+9.95%"
"06/15/2016","9.35","9.35","9.35","9.35","5","+10.00%"
"06/10/2016","8.50","8.50","8.50","8.50","1","+0.00%"
"06/01/2016","8.50","8.50","8.50","8.50","1","+0.00%"
"05/24/2016","8.50","8.50","8.50","8.50","1","+4.94%"
"05/12/2016","8.10","8.10","8.10","8.10","1","+0.00%"
"04/26/2016","8.10","8.10","8.10","8.10","1","+1.25%"
"04/25/2016","8.00","8.00","8.00","8.00","1","+0.00%"
"04/07/2016","8.00","8.00","8.00","8.00","1","+4.85%"
"04/05/2016","7.63","7.63","7.63","7.63","1","-9.92%"
"03/28/2016","8.47","8.47","8.47","8.47","1","+10.00%"
"03/22/2016","7.70","7.00","7.70","7.00","2","+10.00%"
"03/16/2016","7.00","7.00","7.00","7.00","2","+0.00%"
"03/11/2016","7.00","7.00","7.00","7.00","1","-4.24%"
"03/01/2016","7.31","7.30","7.31","7.30","2","+0.00%"
"02/29/2016","7.31","7.31","7.31","7.31","1","-9.75%"
"02/19/2016","8.10","8.10","8.10","8.10","1","-10.00%"
"02/17/2016","9.00","9.00","9.00","9.00","2","-10.00%"
"01/05/2016","10.00","10.00","10.00","10.00","2","+0.00%"
