"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","1114.40","1124.90","1128.10","1105.00","87.08K","-1.06%"
"07/10/2026","1126.30","1123.00","1130.60","1120.30","122.25K","+0.32%"
"07/09/2026","1122.70","1092.10","1126.00","1089.00","131.92K","+2.63%"
"07/08/2026","1093.90","1123.80","1127.80","1082.50","205.39K","-3.51%"
"07/07/2026","1133.70","1122.10","1145.40","1122.10","114.96K","+0.69%"
"07/06/2026","1125.90","1128.60","1150.00","1119.90","146.11K","-0.24%"
"07/03/2026","1128.60","1144.00","1150.60","1125.00","103.52K","-1.29%"
"07/02/2026","1143.40","1167.00","1167.00","1140.00","199.56K","-1.60%"
"07/01/2026","1162.00","1174.10","1187.10","1150.10","185.07K","-1.03%"
"06/30/2026","1174.10","1154.50","1211.20","1153.20","373.16K","+2.80%"
"06/29/2026","1142.10","1174.60","1183.40","1135.00","282.32K","-2.77%"
"06/25/2026","1174.60","1202.00","1203.10","1172.10","150.30K","-1.79%"
"06/24/2026","1196.00","1215.00","1215.00","1180.90","175.85K","-1.97%"
"06/23/2026","1220.00","1248.60","1250.00","1215.00","162.76K","-2.05%"
"06/22/2026","1245.50","1215.00","1252.00","1210.10","408.38K","+3.02%"
"06/19/2026","1209.00","1209.00","1223.00","1200.10","243.18K","-0.14%"
"06/18/2026","1210.70","1208.90","1220.00","1205.00","203.37K","+0.15%"
"06/17/2026","1208.90","1190.00","1230.00","1189.00","547.59K","+1.97%"
"06/16/2026","1185.60","1147.00","1191.00","1144.70","521.60K","+4.09%"
"06/15/2026","1139.00","1116.80","1145.00","1108.90","257.02K","+4.03%"
"06/12/2026","1094.90","1076.40","1104.50","1066.10","269.19K","+3.20%"
"06/11/2026","1061.00","1076.10","1076.10","1054.10","90.71K","-1.80%"
"06/10/2026","1080.50","1059.40","1086.10","1055.00","139.74K","+2.02%"
"06/09/2026","1059.10","1070.50","1071.90","1044.00","196.29K","-0.99%"
"06/08/2026","1069.70","1081.00","1084.90","1065.70","89.08K","-1.78%"
"06/05/2026","1089.10","1084.90","1107.90","1075.40","304.50K","+1.37%"
"06/04/2026","1074.40","1071.00","1090.80","1062.00","406.99K","-0.59%"
"06/03/2026","1080.80","1092.20","1094.40","1070.00","106.79K","-1.04%"
"06/02/2026","1092.20","1077.00","1097.90","1058.70","114.81K","+1.39%"
"06/01/2026","1077.20","1102.00","1107.00","1053.00","431.11K","-1.63%"
