"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","3297.70","3278.20","3329.00","3217.60","211.42K","+0.59%"
"07/10/2026","3278.20","3252.00","3293.80","3233.00","98.36K","+1.88%"
"07/09/2026","3217.60","3150.90","3235.00","3131.50","80.07K","+2.44%"
"07/08/2026","3141.10","3227.20","3243.50","3131.20","118.17K","-2.49%"
"07/07/2026","3221.30","3180.00","3278.80","3152.90","170.24K","+1.89%"
"07/06/2026","3161.70","3224.00","3224.00","3095.00","175.67K","-1.39%"
"07/03/2026","3206.20","3195.00","3264.60","3166.30","167.40K","+1.24%"
"07/02/2026","3166.90","3074.90","3199.40","3070.00","240.59K","+3.91%"
"07/01/2026","3047.70","3100.90","3136.40","3030.00","157.33K","-2.93%"
"06/30/2026","3139.80","3150.00","3177.00","3090.00","78.84K","+0.32%"
"06/29/2026","3129.80","3322.30","3322.40","3111.00","176.30K","-5.80%"
"06/25/2026","3322.40","3349.00","3357.00","3305.00","60.28K","+0.00%"
"06/24/2026","3322.40","3310.00","3349.00","3282.10","93.14K","-0.06%"
"06/23/2026","3324.40","3335.00","3370.00","3298.00","63.83K","-0.41%"
"06/22/2026","3338.20","3350.20","3375.00","3308.90","77.09K","+0.21%"
"06/19/2026","3331.20","3300.00","3366.40","3275.00","92.96K","-2.25%"
"06/18/2026","3407.80","3453.80","3484.50","3395.10","49.70K","-1.33%"
"06/17/2026","3453.80","3464.00","3504.80","3434.00","51.56K","-0.26%"
"06/16/2026","3462.90","3418.90","3500.00","3392.10","86.99K","+1.99%"
"06/15/2026","3395.30","3437.00","3444.00","3390.00","53.64K","+1.32%"
"06/12/2026","3351.10","3318.00","3365.00","3287.60","57.94K","+1.82%"
"06/11/2026","3291.10","3300.90","3375.10","3280.70","57.75K","-1.11%"
"06/10/2026","3328.00","3420.00","3444.00","3315.10","79.65K","-2.62%"
"06/09/2026","3417.70","3209.20","3448.00","3168.10","331.86K","+7.98%"
"06/08/2026","3165.20","3212.70","3221.40","3152.00","109.49K","-1.48%"
"06/05/2026","3212.70","3299.80","3365.00","3200.00","151.34K","-1.82%"
"06/04/2026","3272.10","3279.90","3326.50","3255.00","80.44K","-0.82%"
"06/03/2026","3299.20","3490.00","3490.00","3275.30","148.40K","-5.96%"
"06/02/2026","3508.30","3368.00","3549.00","3368.00","267.52K","+3.63%"
"06/01/2026","3385.50","3469.00","3508.90","3310.00","395.90K","-1.37%"
"05/29/2026","3432.40","3495.00","3596.60","3390.70","107.58K","-1.70%"
"05/27/2026","3491.60","3540.70","3559.60","3479.80","48.05K","-1.39%"
"05/26/2026","3540.70","3540.00","3577.00","3516.10","39.25K","-0.16%"
"05/25/2026","3546.20","3436.40","3582.40","3435.00","113.65K","+3.71%"
"05/22/2026","3419.30","3565.00","3565.00","3407.00","120.24K","-4.68%"
"05/21/2026","3587.30","3601.00","3647.80","3551.00","53.67K","+0.19%"
"05/20/2026","3580.60","3531.00","3657.90","3531.00","102.48K","+0.73%"
"05/19/2026","3554.60","3568.50","3723.20","3520.00","180.44K","+0.14%"
"05/18/2026","3549.50","3480.00","3575.00","3425.00","78.44K","+1.56%"
