"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","11.69","11.00","11.69","10.80","327.29K","+4.94%"
"07/10/2026","11.14","10.97","11.14","10.95","127.85K","+5.00%"
"07/09/2026","10.61","10.28","10.62","10.06","151.95K","+4.84%"
"07/08/2026","10.12","10.15","10.73","10.01","196.16K","-3.62%"
"07/07/2026","10.50","10.99","10.99","10.48","372.19K","-4.81%"
"07/06/2026","11.03","11.18","11.18","10.75","91.16K","-1.34%"
"07/03/2026","11.18","11.18","11.50","11.00","115.55K","+0.09%"
"07/02/2026","11.17","11.15","11.48","10.80","405.82K","-1.41%"
"07/01/2026","11.33","11.95","12.14","11.27","270.35K","-4.47%"
"06/30/2026","11.86","12.31","12.48","11.70","201.27K","-3.66%"
"06/29/2026","12.31","12.83","12.83","12.31","193.60K","-4.94%"
"06/25/2026","12.95","12.95","13.39","12.41","164.20K","-0.23%"
"06/24/2026","12.98","13.01","13.56","12.90","67.42K","-2.04%"
"06/23/2026","13.25","13.41","13.70","13.00","72.11K","-1.12%"
"06/22/2026","13.40","13.32","13.74","13.05","32.51K","+0.60%"
"06/19/2026","13.32","13.01","13.64","13.01","62.90K","+0.83%"
"06/18/2026","13.21","13.33","13.85","13.05","117.06K","-0.53%"
"06/17/2026","13.28","14.30","14.30","13.28","467.91K","-4.94%"
"06/16/2026","13.97","13.87","14.24","13.76","42.58K","+0.36%"
"06/15/2026","13.92","13.92","14.00","13.65","46.58K","+3.11%"
"06/12/2026","13.50","13.57","13.95","13.02","90.51K","+0.00%"
"06/11/2026","13.50","13.98","13.98","13.06","46.33K","-0.81%"
"06/10/2026","13.61","14.05","14.05","13.54","34.34K","-2.23%"
"06/09/2026","13.92","13.80","14.10","13.80","25.30K","+1.31%"
"06/08/2026","13.74","14.09","14.20","13.70","66.42K","-1.65%"
"06/05/2026","13.97","13.76","14.25","13.76","48.27K","+1.53%"
"06/04/2026","13.76","14.10","14.19","13.56","91.15K","-1.22%"
"06/03/2026","13.93","13.26","14.18","13.26","244.03K","+2.13%"
"06/02/2026","13.64","13.60","14.00","13.40","621.74K","-3.26%"
"06/01/2026","14.10","14.68","14.68","13.90","68.53K","-1.95%"
"05/29/2026","14.38","14.00","14.67","13.95","69.52K","+1.63%"
"05/27/2026","14.15","14.65","14.65","13.63","55.73K","+0.07%"
"05/26/2026","14.14","14.44","14.79","14.10","47.13K","-1.19%"
"05/25/2026","14.31","14.20","14.92","14.20","123.20K","+0.56%"
"05/22/2026","14.23","14.50","14.50","14.05","92.10K","+0.21%"
"05/21/2026","14.20","13.66","14.39","13.66","70.22K","+1.94%"
"05/20/2026","13.93","14.05","14.05","13.80","28.00K","+1.16%"
"05/19/2026","13.77","13.68","14.00","13.60","52.74K","+1.40%"
"05/18/2026","13.58","14.00","14.00","13.30","40.51K","-1.81%"
"05/15/2026","13.83","14.15","14.15","13.73","51.11K","+1.17%"
"05/14/2026","13.67","14.09","14.09","13.51","54.14K","-1.44%"
"05/13/2026","13.87","14.00","14.28","13.50","74.66K","-1.14%"
"05/12/2026","14.03","14.50","14.50","13.87","92.38K","-3.11%"
"05/11/2026","14.48","14.89","14.89","14.40","73.25K","-3.27%"
"05/08/2026","14.97","14.92","15.20","14.75","52.79K","+0.34%"
"05/07/2026","14.92","14.79","15.00","14.61","97.52K","+1.08%"
"05/06/2026","14.76","15.00","15.00","14.31","93.39K","-1.14%"
"05/05/2026","14.93","15.20","15.20","14.70","61.98K","+0.20%"
"05/04/2026","14.90","15.20","15.25","14.50","104.92K","-0.73%"
"04/30/2026","15.01","15.44","15.44","14.75","78.41K","-1.44%"
"04/29/2026","15.23","15.50","15.50","15.10","46.22K","-0.78%"
"04/28/2026","15.35","15.40","15.60","15.12","87.60K","-0.39%"
"04/27/2026","15.41","15.17","15.62","14.52","87.90K","+1.65%"
"04/24/2026","15.16","15.70","15.70","14.80","70.55K","-0.72%"
"04/23/2026","15.27","14.88","15.50","14.50","130.62K","+2.28%"
"04/22/2026","14.93","15.00","15.50","14.59","280.70K","-2.74%"
"04/21/2026","15.35","16.13","16.15","15.35","536.08K","-4.95%"
"04/20/2026","16.15","16.35","16.35","15.54","431.53K","-1.22%"
"04/17/2026","16.35","15.78","16.49","15.70","242.15K","+3.22%"
"04/16/2026","15.84","15.64","16.00","15.21","1.62M","+3.94%"
"04/15/2026","15.24","15.13","15.24","14.60","278.84K","+4.96%"
"04/13/2026","14.52","13.77","14.53","13.21","1.10M","+4.91%"
"04/10/2026","13.84","13.69","13.84","13.30","361.77K","+4.93%"
"04/09/2026","13.19","13.19","13.19","12.57","785.54K","+4.93%"
"04/08/2026","12.57","12.57","12.57","12.57","77.23K","+4.92%"
"04/07/2026","11.98","11.30","11.98","11.19","528.37K","+5.00%"
"04/06/2026","11.41","10.80","11.45","10.24","1.28M","+9.61%"
"04/02/2026","10.41","8.80","10.41","8.80","1.58M","+9.93%"
