"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","963.50","961.85","969.80","954.15","1.22M","-0.46%"
"07/10/2026","968.00","959.00","969.90","948.70","1.78M","+1.74%"
"07/09/2026","951.45","944.25","964.00","944.25","2.00M","+0.82%"
"07/08/2026","943.75","969.90","973.10","938.40","2.29M","-2.90%"
"07/07/2026","971.90","980.05","996.55","968.40","1.54M","-0.83%"
"07/06/2026","980.05","975.00","985.50","972.90","1.28M","+0.56%"
"07/03/2026","974.60","979.00","988.45","970.40","1.14M","-0.04%"
"07/02/2026","974.95","949.00","977.50","946.60","1.26M","+2.73%"
"07/01/2026","949.05","955.00","962.80","946.25","1.46M","-0.83%"
"06/30/2026","956.95","956.60","964.90","948.60","1.62M","+0.69%"
"06/29/2026","950.40","954.35","966.80","935.60","7.67M","-0.46%"
"06/25/2026","954.80","973.05","983.00","950.55","1.05M","-2.11%"
"06/24/2026","975.40","971.00","978.10","963.50","1.08M","+0.34%"
"06/23/2026","972.10","975.90","987.45","966.55","1.07M","-0.38%"
"06/22/2026","975.85","963.00","980.25","960.05","877.91K","+1.34%"
"06/19/2026","962.95","958.75","967.00","953.10","1.19M","+0.44%"
"06/18/2026","958.75","956.00","961.00","946.30","1.21M","+0.96%"
"06/17/2026","949.65","972.80","972.80","942.80","2.30M","-2.01%"
"06/16/2026","969.10","980.15","981.90","949.05","1.86M","-1.13%"
"06/15/2026","980.15","1000.00","1002.00","977.70","1.25M","-1.03%"
"06/12/2026","990.35","996.10","1002.00","986.10","934.18K","+0.14%"
"06/11/2026","989.00","983.15","998.50","977.80","784.74K","+0.00%"
"06/10/2026","989.00","993.00","1010.10","983.10","1.91M","-0.08%"
"06/09/2026","989.75","995.00","996.25","983.10","1.65M","+0.07%"
"06/08/2026","989.10","955.60","1004.50","954.15","4.40M","+2.11%"
"06/05/2026","968.65","946.50","972.00","941.55","1.55M","+2.98%"
"06/04/2026","940.65","929.00","948.65","923.60","1.22M","+1.12%"
"06/03/2026","930.25","931.80","937.15","916.10","1.03M","+0.09%"
"06/02/2026","929.40","920.30","933.85","899.10","1.70M","+0.02%"
"06/01/2026","929.20","933.10","939.45","920.85","838.78K","+0.08%"
"05/29/2026","928.45","962.50","967.30","920.00","3.01M","-3.38%"
"05/27/2026","960.90","961.40","970.90","953.95","567.07K","-0.59%"
"05/26/2026","966.60","974.00","974.55","956.05","905.55K","-0.39%"
"05/25/2026","970.35","969.00","984.40","963.10","1.80M","+1.04%"
"05/22/2026","960.40","971.95","975.00","949.20","1.27M","-0.71%"
"05/21/2026","967.30","980.90","992.70","965.20","1.47M","-0.75%"
"05/20/2026","974.60","960.55","977.00","952.00","1.04M","+1.46%"
"05/19/2026","960.55","962.15","975.00","955.50","1.03M","-0.17%"
"05/18/2026","962.15","960.00","965.00","945.10","899.52K","-0.16%"
"05/15/2026","963.65","975.50","977.45","962.00","736.72K","-0.72%"
"05/14/2026","970.65","960.00","976.00","956.15","1.82M","+1.37%"
"05/13/2026","957.50","946.35","972.00","945.20","1.07M","+0.67%"
"05/12/2026","951.15","979.90","982.95","947.30","1.62M","-2.36%"
"05/11/2026","974.15","947.55","980.95","947.55","2.57M","+2.29%"
"05/08/2026","952.35","949.40","966.70","947.00","2.21M","+0.49%"
"05/07/2026","947.70","960.00","963.30","946.00","689.48K","-0.96%"
"05/06/2026","956.90","960.00","960.10","941.00","815.84K","+0.77%"
"05/05/2026","949.55","954.00","955.45","933.30","932.80K","-0.35%"
"05/04/2026","952.90","931.50","961.00","925.00","1.36M","+3.25%"
"04/30/2026","922.95","930.65","934.90","910.55","1.06M","-1.31%"
