"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","101.49","98.80","102.47","98.14","13.92M","+1.51%"
"07/10/2026","99.98","98.59","100.50","98.21","10.83M","+2.28%"
"07/09/2026","97.75","95.30","98.40","95.30","9.05M","+3.13%"
"07/08/2026","94.78","97.50","98.22","94.34","14.01M","-3.82%"
"07/07/2026","98.54","99.90","100.09","97.60","9.58M","-1.03%"
"07/06/2026","99.57","103.00","103.01","99.10","11.92M","-2.73%"
"07/03/2026","102.36","103.70","104.25","102.15","7.49M","-0.68%"
"07/02/2026","103.06","105.00","105.03","101.84","10.13M","-1.32%"
"07/01/2026","104.44","105.50","105.76","103.90","7.09M","-0.47%"
"06/30/2026","104.93","104.90","106.35","104.33","18.64M","+0.56%"
"06/29/2026","104.35","107.00","107.48","104.09","20.14M","-2.63%"
"06/25/2026","107.17","109.35","110.27","106.80","9.71M","-1.57%"
"06/24/2026","108.88","109.04","109.60","107.23","8.40M","-0.15%"
"06/23/2026","109.04","110.40","111.35","108.55","10.46M","-0.85%"
"06/22/2026","109.98","111.96","113.23","109.24","15.70M","-1.32%"
"06/19/2026","111.45","109.80","113.37","109.01","21.52M","+1.18%"
"06/18/2026","110.15","113.30","114.29","109.58","18.89M","-2.38%"
"06/17/2026","112.83","109.40","113.20","108.82","27.86M","+3.38%"
"06/16/2026","109.14","107.47","109.92","107.26","18.42M","+1.66%"
"06/15/2026","107.36","107.00","108.88","106.00","21.71M","+2.09%"
"06/12/2026","105.16","102.60","105.46","102.36","15.47M","+4.62%"
"06/11/2026","100.52","102.48","103.94","99.54","14.77M","-2.41%"
"06/10/2026","103.00","106.25","107.40","102.50","13.56M","-2.67%"
"06/09/2026","105.83","104.00","106.31","103.10","11.52M","+2.29%"
"06/08/2026","103.46","104.95","107.24","102.76","15.14M","-2.73%"
"06/05/2026","106.36","104.60","107.73","104.16","28.25M","+2.19%"
"06/04/2026","104.08","102.69","105.50","102.09","18.51M","+1.80%"
"06/03/2026","102.24","104.15","104.19","100.03","17.67M","-1.80%"
"06/02/2026","104.11","104.59","106.86","102.03","46.17M","-0.28%"
"06/01/2026","104.40","101.70","105.75","99.06","47.03M","+4.13%"
"05/29/2026","100.26","99.65","102.67","99.43","29.68M","+1.17%"
"05/27/2026","99.10","95.55","99.86","95.55","27.02M","+3.72%"
"05/26/2026","95.55","97.99","99.78","94.30","31.03M","-1.28%"
"05/25/2026","96.79","95.68","99.50","95.40","34.42M","+2.08%"
"05/22/2026","94.82","93.24","95.65","92.90","11.19M","+1.88%"
"05/21/2026","93.07","94.00","94.62","92.80","5.51M","+0.06%"
"05/20/2026","93.01","92.00","93.27","91.61","5.64M","-0.08%"
"05/19/2026","93.08","91.83","94.16","91.72","6.09M","+1.55%"
"05/18/2026","91.66","92.70","92.70","89.83","9.14M","-2.30%"
"05/15/2026","93.82","95.50","95.74","93.50","7.65M","-1.75%"
"05/14/2026","95.49","96.70","97.00","93.63","14.44M","+0.64%"
"05/13/2026","94.88","92.94","95.50","92.83","12.84M","+2.40%"
