"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","16.00","15.90","16.80","15.05","1.71M","+3.56%"
"07/10/2026","15.45","15.00","15.45","14.60","1.33M","+9.96%"
"07/09/2026","14.05","12.85","14.05","11.65","1.55M","+9.77%"
"07/08/2026","12.80","13.20","13.20","12.10","802.50K","-4.48%"
"07/07/2026","13.40","13.25","13.50","13.20","212.50K","+3.47%"
"07/06/2026","12.95","13.70","13.70","11.85","172.50K","-1.15%"
"07/03/2026","13.10","12.70","13.70","12.25","922.50K","-0.38%"
"07/02/2026","13.15","12.90","13.15","12.85","312.50K","+3.54%"
"07/01/2026","12.70","13.25","13.25","12.70","242.50K","-4.15%"
"06/30/2026","13.25","13.50","13.50","13.00","672.50K","+0.76%"
"06/29/2026","13.15","13.15","13.90","11.80","1.02M","+0.38%"
"06/25/2026","13.10","13.20","13.40","13.00","117.50K","-0.38%"
"06/24/2026","13.15","13.50","13.50","13.00","180.00K","+0.77%"
"06/23/2026","13.05","13.50","13.60","13.00","605.00K","-2.25%"
"06/22/2026","13.35","13.30","13.40","13.05","137.50K","-2.20%"
"06/19/2026","13.65","13.70","13.80","13.00","170.00K","+1.11%"
"06/18/2026","13.50","13.20","13.50","13.20","420.00K","-0.74%"
"06/17/2026","13.60","13.50","13.60","13.50","22.50K","+0.00%"
"06/16/2026","13.60","13.70","13.70","13.10","237.50K","+0.74%"
"06/15/2026","13.50","13.80","13.80","13.30","222.50K","+1.50%"
"06/12/2026","13.30","13.45","13.65","13.30","32.50K","-2.56%"
"06/11/2026","13.65","13.75","14.15","13.65","72.50K","+0.37%"
"06/10/2026","13.60","13.25","13.75","13.25","615.00K","+2.64%"
"06/09/2026","13.25","13.50","14.45","13.00","467.50K","-1.49%"
"06/08/2026","13.45","13.50","14.55","13.35","325.00K","+0.00%"
"06/05/2026","13.45","13.30","13.70","13.30","145.00K","+0.37%"
"06/04/2026","13.40","13.40","14.75","12.90","247.50K","-1.11%"
"06/03/2026","13.55","13.85","13.85","12.80","67.50K","-0.37%"
"06/02/2026","13.60","13.00","14.00","12.55","227.50K","+6.25%"
"06/01/2026","12.80","14.70","14.70","12.55","260.00K","-7.91%"
"05/29/2026","13.90","13.75","14.05","13.40","170.00K","+0.36%"
"05/27/2026","13.85","13.75","14.05","13.30","397.50K","+3.36%"
"05/26/2026","13.40","13.55","14.25","13.25","292.50K","+0.00%"
"05/25/2026","13.40","13.95","14.15","13.30","42.50K","+1.13%"
"05/22/2026","13.25","13.25","14.00","12.85","477.50K","+0.38%"
"05/21/2026","13.20","14.60","14.80","12.80","315.00K","-6.71%"
"05/20/2026","14.15","15.00","15.00","14.00","115.00K","-4.39%"
"05/19/2026","14.80","15.10","15.10","14.80","42.50K","-1.33%"
"05/18/2026","15.00","15.10","15.75","15.00","72.50K","-2.60%"
"05/15/2026","15.40","15.25","15.70","15.00","650.00K","-2.53%"
