"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","235.89","241.90","241.90","235.10","2.32M","-3.52%"
"07/10/2026","244.49","230.21","245.78","228.40","9.01M","+7.05%"
"07/09/2026","228.39","227.00","233.50","226.14","1.75M","+1.50%"
"07/08/2026","225.01","229.25","237.40","222.12","3.00M","-2.80%"
"07/07/2026","231.49","242.00","242.63","227.36","2.74M","-3.74%"
"07/06/2026","240.48","240.00","244.48","238.42","5.07M","+2.13%"
"07/03/2026","235.46","231.60","247.40","231.01","14.47M","+3.08%"
"07/02/2026","228.43","223.29","232.00","221.35","2.76M","+3.03%"
"07/01/2026","221.72","224.60","231.80","220.50","2.97M","-0.90%"
"06/30/2026","223.73","221.22","226.99","220.44","2.10M","+1.95%"
"06/29/2026","219.46","218.00","223.90","212.35","2.80M","+0.42%"
"06/25/2026","218.55","220.95","225.00","215.20","2.75M","-0.79%"
"06/24/2026","220.29","226.00","226.83","217.01","2.96M","-2.77%"
"06/23/2026","226.56","226.98","233.50","219.25","16.38M","+0.73%"
"06/22/2026","224.91","213.01","233.90","208.63","22.50M","+9.25%"
"06/19/2026","205.87","195.00","213.20","192.85","6.45M","+5.70%"
"06/18/2026","194.76","195.50","197.60","192.44","973.34K","-0.22%"
"06/17/2026","195.18","195.20","196.79","192.61","1.01M","+0.64%"
"06/16/2026","193.93","189.90","196.22","188.11","1.51M","+2.67%"
"06/15/2026","188.89","189.50","191.88","188.18","753.46K","+1.81%"
"06/12/2026","185.54","179.00","187.00","179.00","695.27K","+4.71%"
"06/11/2026","177.20","179.55","179.93","175.50","574.51K","-2.21%"
"06/10/2026","181.21","185.15","187.70","180.00","493.91K","-1.81%"
"06/09/2026","184.55","180.41","185.89","180.41","831.53K","+2.26%"
"06/08/2026","180.48","182.50","183.90","179.40","596.37K","-2.28%"
"06/05/2026","184.69","186.00","188.41","183.48","596.96K","-0.54%"
"06/04/2026","185.69","183.43","188.00","182.38","765.67K","+1.23%"
"06/03/2026","183.43","187.21","187.87","181.58","741.94K","-2.19%"
"06/02/2026","187.54","184.30","188.00","180.40","912.86K","+1.24%"
"06/01/2026","185.25","192.00","192.05","183.72","1.35M","-2.51%"
"05/29/2026","190.02","200.00","200.00","189.00","3.23M","-7.76%"
"05/27/2026","206.00","207.31","209.09","203.51","1.62M","-0.64%"
"05/26/2026","207.32","212.16","212.69","206.00","2.45M","-1.13%"
"05/25/2026","209.69","190.05","213.49","189.90","18.77M","+12.16%"
"05/22/2026","186.96","189.00","189.00","185.60","758.69K","-0.11%"
"05/21/2026","187.17","189.45","194.54","186.10","1.11M","-0.58%"
"05/20/2026","188.26","187.55","188.94","185.51","674.57K","-0.67%"
"05/19/2026","189.53","187.40","191.50","185.34","1.10M","+1.32%"
"05/18/2026","187.07","191.99","191.99","184.48","1.05M","-3.22%"
"05/15/2026","193.30","198.60","201.00","192.50","918.40K","-2.68%"
"05/14/2026","198.63","207.00","207.95","193.80","1.56M","-3.31%"
"05/13/2026","205.44","204.10","207.90","203.14","1.08M","+1.19%"
"05/12/2026","203.03","218.29","218.29","200.11","2.28M","-7.36%"
"05/11/2026","219.17","217.09","225.89","212.76","3.22M","+0.92%"
"05/08/2026","217.18","220.00","221.66","215.30","1.16M","-0.98%"
"05/07/2026","219.33","213.55","221.48","213.50","3.15M","+3.76%"
"05/06/2026","211.39","212.54","214.85","206.59","1.21M","-0.06%"
"05/05/2026","211.51","213.20","214.89","210.53","995.23K","-0.95%"
"05/04/2026","213.53","215.00","217.50","211.11","1.30M","+0.75%"
"04/30/2026","211.94","218.20","218.20","208.23","2.05M","-3.61%"
"04/29/2026","219.88","219.95","227.00","216.00","5.32M","+1.43%"
"04/28/2026","216.78","209.65","219.89","209.65","3.70M","+3.49%"
"04/27/2026","209.46","207.50","211.79","206.85","1.20M","+1.38%"
"04/24/2026","206.61","212.65","214.43","204.30","1.19M","-2.56%"
"04/23/2026","212.04","212.20","216.26","210.50","2.03M","-0.07%"
"04/22/2026","212.19","208.88","213.83","206.42","2.05M","+1.58%"
"04/21/2026","208.88","206.00","217.00","206.00","2.61M","+1.28%"
"04/20/2026","206.24","214.69","214.69","201.10","2.04M","-3.19%"
"04/17/2026","213.04","218.41","219.47","211.54","3.29M","-1.88%"
"04/16/2026","217.13","219.32","224.79","213.66","19.04M","+1.63%"
"04/15/2026","213.64","201.29","222.70","200.74","72.03M","+7.27%"
"04/13/2026","199.17","190.00","203.50","185.31","85.66M","+15.03%"
"04/10/2026","173.15","171.90","175.20","171.61","925.22K","+1.25%"
"04/09/2026","171.01","171.00","177.50","168.58","1.34M","-0.04%"
"04/08/2026","171.08","173.00","173.95","169.20","1.60M","+3.66%"
"04/07/2026","165.04","166.00","169.70","164.00","1.10M","-1.20%"
"04/06/2026","167.05","168.25","171.59","163.41","2.10M","-0.64%"
"04/02/2026","168.12","155.47","169.39","155.47","8.68M","+2.78%"
"04/01/2026","163.57","147.00","166.80","146.16","25.01M","+16.51%"
"03/30/2026","140.39","143.13","146.90","139.00","5.84M","+1.73%"
"03/27/2026","138.00","146.00","146.50","137.40","1.62M","-5.92%"
"03/25/2026","146.69","146.40","152.69","145.55","1.17M","+0.95%"
"03/24/2026","145.31","146.00","146.90","141.21","997.40K","+2.42%"
"03/23/2026","141.88","146.00","146.01","139.38","1.23M","-4.04%"
"03/20/2026","147.86","147.95","153.20","147.07","951.34K","+1.36%"
"03/19/2026","145.88","150.00","150.00","145.31","959.60K","-4.46%"
"03/18/2026","152.69","146.50","153.97","146.50","1.27M","+4.60%"
"03/17/2026","145.98","146.42","147.42","144.13","652.08K","+0.50%"
"03/16/2026","145.26","152.04","152.05","142.72","1.27M","-4.46%"
"03/13/2026","152.04","157.60","159.00","151.01","1.69M","-4.96%"
"03/12/2026","159.98","156.28","170.00","151.74","24.11M","+4.51%"
"03/11/2026","153.08","155.00","165.00","150.31","14.97M","+8.15%"
"03/10/2026","141.55","138.51","142.30","137.28","822.26K","+3.22%"
"03/09/2026","137.14","140.00","140.00","134.71","674.49K","-2.72%"
"03/06/2026","140.98","142.58","147.99","140.50","739.27K","-2.31%"
"03/05/2026","144.32","145.10","146.93","141.10","740.56K","+0.51%"
"03/04/2026","143.59","149.33","149.62","142.70","1.00M","-5.90%"
"03/02/2026","152.59","150.00","154.90","150.00","797.49K","-3.45%"
"02/27/2026","158.05","159.90","160.55","157.60","360.41K","-1.26%"
"02/26/2026","160.07","160.09","163.50","159.25","484.81K","+0.69%"
