"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2026","146.15","146.95","146.95","145.20","4.00K","-0.54%"
"07/09/2026","146.95","144.20","150.00","144.00","9.50K","+1.70%"
"07/08/2026","144.50","142.10","145.10","142.10","5.50K","-0.41%"
"07/07/2026","145.10","147.25","151.05","144.00","7.50K","-1.46%"
"07/06/2026","147.25","151.05","153.00","147.25","11.00K","-4.01%"
"07/03/2026","153.40","152.75","153.75","152.75","4.00K","+0.43%"
"07/02/2026","152.75","152.10","152.75","152.10","1.00K","-0.78%"
"07/01/2026","153.95","153.90","155.00","153.60","7.50K","-0.68%"
"06/30/2026","155.00","151.00","155.00","150.50","2.00K","+3.06%"
"06/29/2026","150.40","148.35","151.00","148.25","6.00K","-0.40%"
"06/25/2026","151.00","151.00","152.00","149.00","10.00K","-1.15%"
"06/24/2026","152.75","149.15","153.50","147.00","21.00K","+0.83%"
"06/23/2026","151.50","153.00","155.00","151.50","6.00K","+0.07%"
"06/22/2026","151.40","154.15","155.40","151.00","11.00K","-5.11%"
"06/19/2026","159.55","165.00","165.00","158.55","16.00K","-0.41%"
"06/18/2026","160.20","159.00","163.90","159.00","3.00K","+0.75%"
"06/17/2026","159.00","160.00","160.00","156.00","6.00K","-0.63%"
"06/16/2026","160.00","159.00","160.00","159.00","2.00K","+0.63%"
"06/15/2026","159.00","159.00","159.00","159.00","18.00K","+2.19%"
"06/12/2026","155.60","157.15","159.40","155.00","22.00K","-0.86%"
"06/11/2026","156.95","160.00","161.50","154.55","28.50K","-1.91%"
"06/10/2026","160.00","159.00","162.50","158.00","12.00K","+1.30%"
"06/09/2026","157.95","159.50","159.50","154.05","57.50K","-0.69%"
"06/08/2026","159.05","165.00","165.00","153.00","10.00K","-5.07%"
"06/05/2026","167.55","163.40","168.00","163.40","9.50K","+2.76%"
"06/04/2026","163.05","169.00","169.00","163.00","3.50K","-3.15%"
"06/03/2026","168.35","154.55","173.95","153.60","22.50K","+6.42%"
"06/02/2026","158.20","158.85","162.50","156.00","20.00K","+5.05%"
"06/01/2026","150.60","155.35","160.00","149.95","23.50K","-3.52%"
"05/29/2026","156.10","150.00","164.00","140.25","206.00K","-9.77%"
"05/27/2026","173.00","178.00","181.00","169.15","68.00K","-7.98%"
"05/26/2026","188.00","182.00","192.20","182.00","4.00K","+5.41%"
"05/25/2026","178.35","173.05","180.00","170.00","26.50K","-0.45%"
"05/22/2026","179.15","188.00","188.00","177.00","15.00K","-7.89%"
"05/21/2026","194.50","192.90","195.00","192.90","2.00K","+0.83%"
"05/20/2026","192.90","193.45","193.80","189.00","4.00K","+0.68%"
"05/19/2026","191.60","175.00","195.00","175.00","7.50K","+7.91%"
"05/18/2026","177.55","192.00","192.00","173.25","33.50K","-9.27%"
"05/15/2026","195.70","198.35","199.00","193.10","9.00K","-4.93%"
"05/14/2026","205.85","203.10","207.50","198.50","10.50K","+1.78%"
"05/13/2026","202.25","205.00","212.95","200.00","30.50K","-2.55%"
"05/12/2026","207.55","226.35","227.15","200.00","23.50K","-11.55%"
"05/11/2026","234.65","237.95","237.95","228.50","10.00K","+0.49%"
"05/08/2026","233.50","245.00","245.00","230.00","6.00K","-3.97%"
"05/07/2026","243.15","234.00","243.15","223.00","25.50K","+9.77%"
"05/06/2026","221.50","226.20","226.20","216.65","5.50K","-0.49%"
"05/05/2026","222.60","228.00","229.50","222.60","3.50K","-1.40%"
"05/04/2026","225.75","224.00","228.80","223.00","3.50K","+1.26%"
"04/30/2026","222.95","215.00","223.25","215.00","13.50K","+0.75%"
"04/29/2026","221.30","242.00","242.00","218.00","26.00K","-8.74%"
"04/28/2026","242.50","226.00","246.90","225.00","15.00K","+6.80%"
"04/27/2026","227.05","212.00","230.00","212.00","12.50K","+6.65%"
"04/24/2026","212.90","223.00","226.90","208.60","25.50K","-5.23%"
"04/23/2026","224.65","224.10","225.10","222.75","11.00K","-1.36%"
"04/22/2026","227.75","235.00","236.00","222.30","16.50K","-2.40%"
"04/21/2026","233.35","230.10","238.00","230.00","9.00K","+1.46%"
"04/20/2026","230.00","234.00","234.00","230.00","4.50K","-1.71%"
"04/17/2026","234.00","233.00","237.50","233.00","4.00K","+1.74%"
"04/16/2026","230.00","237.50","245.00","226.00","77.50K","-3.16%"
"04/15/2026","237.50","238.95","240.00","237.00","73.50K","+2.28%"
"04/13/2026","232.20","237.75","237.75","223.05","8.50K","-1.82%"
"04/10/2026","236.50","237.00","238.00","236.35","20.00K","+0.66%"
"04/09/2026","234.95","233.00","234.95","231.80","2.50K","+1.36%"
"04/08/2026","231.80","227.00","235.00","223.95","14.00K","+5.80%"
"04/07/2026","219.10","219.95","223.90","216.85","16.00K","+3.25%"
"04/06/2026","212.20","220.00","223.45","210.85","13.50K","+0.47%"
"04/02/2026","211.20","209.00","215.00","209.00","13.50K","-0.71%"
"04/01/2026","212.70","225.00","225.00","211.60","24.50K","+4.44%"
"03/30/2026","203.65","219.00","222.90","201.00","9.00K","-5.87%"
"03/27/2026","216.35","222.00","222.00","210.25","37.50K","-2.55%"
"03/25/2026","222.00","219.00","227.00","219.00","23.00K","+2.00%"
"03/24/2026","217.65","207.80","229.00","207.80","28.50K","+2.67%"
"03/23/2026","212.00","206.55","214.75","206.55","14.00K","-2.62%"
"03/20/2026","217.70","227.95","227.95","216.00","7.00K","+1.14%"
"03/19/2026","215.25","232.00","244.95","215.25","10.00K","-4.48%"
"03/18/2026","225.35","218.95","231.00","218.00","20.50K","+6.70%"
"03/17/2026","211.20","215.00","215.00","207.00","14.50K","-3.30%"
"03/16/2026","218.40","218.55","227.00","214.45","11.50K","-0.27%"
"03/13/2026","219.00","218.00","219.20","218.00","4.50K","-4.78%"
"03/12/2026","230.00","228.70","230.00","222.00","26.50K","-2.02%"
"03/11/2026","234.75","238.05","238.05","229.95","46.50K","-5.42%"
"03/10/2026","248.20","226.00","249.00","226.00","115.00K","+9.63%"
"03/09/2026","226.40","211.55","229.50","205.00","62.50K","-4.87%"
"03/06/2026","238.00","223.00","248.00","214.00","29.00K","+9.17%"
"03/05/2026","218.00","215.00","221.95","213.05","9.00K","+3.81%"
"03/04/2026","210.00","206.50","214.00","206.50","38.50K","-1.87%"
"03/02/2026","214.00","197.70","216.00","197.70","108.00K","+8.24%"
"02/27/2026","197.70","202.05","202.05","196.55","13.50K","-4.84%"
"02/26/2026","207.75","213.90","213.90","207.25","6.00K","-0.12%"
"02/25/2026","208.00","225.50","225.50","205.65","19.50K","-4.21%"
"02/24/2026","217.15","225.00","225.00","207.25","27.50K","-3.92%"
"02/23/2026","226.00","227.00","229.90","223.50","8.50K","-0.81%"
"02/20/2026","227.85","228.75","230.05","226.25","14.00K","-0.39%"
"02/19/2026","228.75","249.00","249.00","226.00","28.50K","-8.50%"
"02/18/2026","250.00","240.00","252.90","237.00","19.50K","+7.04%"
"02/17/2026","233.55","230.00","237.95","230.00","8.00K","-0.60%"
"02/16/2026","234.95","225.00","235.00","224.50","5.50K","+5.24%"
"02/13/2026","223.25","223.00","226.35","223.00","5.50K","-2.36%"
"02/12/2026","228.65","231.05","235.00","224.50","22.50K","-3.73%"
"02/11/2026","237.50","232.00","243.95","226.50","20.00K","+2.17%"
"02/10/2026","232.45","240.00","244.00","227.50","19.50K","-3.15%"
"02/09/2026","240.00","240.00","241.00","237.50","8.00K","+0.00%"
"02/06/2026","240.00","248.95","261.00","227.10","27.50K","+1.52%"
"02/05/2026","236.40","240.50","242.00","234.05","5.50K","-1.70%"
"02/04/2026","240.50","262.05","262.05","229.00","46.00K","-8.22%"
"02/03/2026","262.05","280.00","280.00","261.00","7.00K","-0.29%"
"02/02/2026","262.80","259.15","262.80","251.70","6.00K","+2.26%"
"02/01/2026","257.00","268.15","269.35","250.10","4.50K","-3.75%"
"01/30/2026","267.00","260.75","267.00","250.00","5.50K","+2.40%"
"01/29/2026","260.75","260.05","261.00","259.05","4.00K","-5.11%"
"01/28/2026","274.80","273.00","278.45","265.05","5.50K","+0.66%"
"01/27/2026","273.00","265.65","276.00","265.65","8.50K","+2.77%"
"01/23/2026","265.65","268.05","273.95","260.00","17.50K","-2.57%"
"01/22/2026","272.65","263.00","278.95","258.00","40.50K","+8.65%"
"01/21/2026","250.95","251.35","255.00","238.00","11.00K","-1.24%"
"01/20/2026","254.10","258.00","276.50","251.00","21.50K","-2.27%"
"01/19/2026","260.00","246.35","266.50","246.00","21.50K","-0.31%"
"01/16/2026","260.80","254.65","268.15","254.65","4.00K","-0.10%"
"01/14/2026","261.05","261.05","261.05","261.05","500","+0.79%"
"01/13/2026","259.00","259.65","259.95","258.00","35.00K","+1.67%"
"01/12/2026","254.75","260.00","260.00","248.00","13.50K","-2.02%"
"01/09/2026","260.00","269.65","270.65","260.00","7.50K","-1.33%"
"01/08/2026","263.50","247.05","280.00","247.05","30.00K","+8.04%"
"01/07/2026","243.90","279.15","279.15","234.05","38.50K","-12.64%"
"01/06/2026","279.20","274.35","280.00","270.05","10.50K","-0.45%"
"01/05/2026","280.45","296.25","297.00","268.50","20.50K","-7.14%"
"01/02/2026","302.00","302.60","307.00","300.00","15.00K","+0.30%"
"01/01/2026","301.10","317.75","318.00","290.00","21.50K","-4.58%"
"12/31/2025","315.55","312.00","316.70","308.00","9.00K","+0.93%"
"12/30/2025","312.65","317.95","317.95","310.50","7.00K","-2.60%"
"12/29/2025","321.00","329.00","329.00","320.00","3.00K","+0.60%"
"12/26/2025","319.10","320.95","320.95","318.45","3.00K","-0.59%"
"12/24/2025","321.00","311.00","321.00","306.70","9.50K","+1.07%"
"12/23/2025","317.60","318.15","319.95","311.00","11.50K","+1.03%"
"12/22/2025","314.35","320.00","320.00","311.00","8.00K","-0.36%"
"12/19/2025","315.50","321.00","321.00","315.50","2.50K","-0.33%"
"12/18/2025","316.55","327.00","327.00","315.00","10.50K","-2.36%"
"12/17/2025","324.20","325.00","327.00","314.00","15.00K","+1.20%"
"12/16/2025","320.35","324.30","325.00","320.00","21.50K","-4.09%"
"12/15/2025","334.00","324.95","334.65","315.25","14.50K","+1.54%"
"12/12/2025","328.95","318.00","335.15","318.00","27.00K","+4.43%"
"12/11/2025","315.00","323.40","325.00","315.00","6.00K","-2.39%"
"12/10/2025","322.70","325.00","325.00","314.00","4.50K","-0.83%"
"12/09/2025","325.40","300.05","326.75","285.00","25.50K","+8.45%"
"12/08/2025","300.05","331.00","331.00","299.10","28.50K","-9.35%"
"12/05/2025","331.00","314.00","333.95","314.00","14.50K","+3.91%"
"12/04/2025","318.55","325.05","325.05","316.45","8.00K","-3.44%"
"12/03/2025","329.90","322.55","329.95","322.55","5.00K","-0.45%"
"12/02/2025","331.40","337.85","338.00","313.55","36.50K","-0.47%"
"12/01/2025","332.95","331.00","339.00","327.00","15.00K","+1.35%"
"11/28/2025","328.50","328.00","332.65","325.00","6.50K","+0.46%"
"11/27/2025","327.00","335.00","336.95","327.00","5.50K","-0.08%"
"11/26/2025","327.25","328.90","333.90","323.00","19.00K","+4.00%"
"11/25/2025","314.65","321.00","325.55","313.00","11.00K","-3.29%"
"11/24/2025","325.35","345.15","345.15","318.10","22.50K","-5.71%"
"11/21/2025","345.05","354.50","360.00","345.00","29.50K","-2.18%"
"11/20/2025","352.75","346.30","358.85","345.45","44.50K","+2.25%"
"11/19/2025","345.00","331.60","347.95","331.60","25.50K","+4.04%"
"11/18/2025","331.60","336.00","342.95","329.20","33.50K","+0.44%"
"11/17/2025","330.15","319.35","350.00","319.35","70.50K","+3.85%"
"11/14/2025","317.90","339.00","339.00","311.00","64.00K","+7.36%"
"11/13/2025","296.10","283.50","302.00","283.45","79.00K","+4.67%"
"11/12/2025","282.90","275.00","283.45","274.35","27.50K","+3.89%"
"11/11/2025","272.30","281.15","288.95","271.20","15.50K","-3.13%"
"11/10/2025","281.10","275.00","285.00","262.55","49.50K","+2.59%"
"11/07/2025","274.00","275.00","283.00","273.00","18.50K","-3.01%"
"11/06/2025","282.50","285.00","285.00","279.00","2.50K","+2.67%"
"11/04/2025","275.15","281.20","295.00","270.05","19.00K","-1.99%"
"11/03/2025","280.75","275.00","293.95","268.15","40.50K","+2.09%"
"10/31/2025","275.00","275.00","275.00","275.00","500","+0.70%"
"10/30/2025","273.10","273.10","273.10","273.10","1.00K","-0.33%"
"10/29/2025","274.00","277.00","277.00","274.00","3.00K","-1.08%"
"10/28/2025","277.00","275.00","281.00","275.00","12.00K","+1.47%"
"10/27/2025","273.00","299.00","299.00","270.00","13.00K","-0.73%"
"10/24/2025","275.00","270.00","275.00","270.00","3.00K","+2.23%"
"10/23/2025","269.00","260.00","269.00","260.00","10.00K","+3.86%"
"10/20/2025","259.00","259.00","259.00","259.00","2.00K","+0.97%"
"10/17/2025","256.50","263.00","263.00","254.05","9.00K","-2.55%"
"10/16/2025","263.20","270.00","270.00","260.40","4.00K","+0.08%"
"10/15/2025","263.00","251.00","263.00","251.00","13.00K","+4.80%"
"10/14/2025","250.95","262.00","262.00","250.00","21.00K","-4.16%"
"10/13/2025","261.85","245.45","261.85","245.45","9.00K","+6.68%"
"10/10/2025","245.45","257.00","257.00","243.05","24.00K","-2.66%"
"10/09/2025","252.15","275.05","275.05","223.00","129.00K","-6.68%"
"10/08/2025","270.20","285.00","285.00","268.00","12.00K","-5.19%"
"10/07/2025","285.00","285.30","288.25","285.00","15.00K","-0.11%"
"10/06/2025","285.30","301.00","304.00","285.30","18.00K","-1.62%"
"10/03/2025","290.00","280.00","307.95","280.00","58.00K","+5.47%"
"10/01/2025","274.95","268.00","274.95","264.00","6.00K","+0.90%"
"09/30/2025","272.50","266.55","275.05","266.55","6.00K","-0.91%"
"09/29/2025","275.00","262.05","285.00","262.05","15.00K","-3.24%"
"09/26/2025","284.20","288.70","288.70","284.20","6.00K","-1.56%"
"09/25/2025","288.70","287.90","292.95","281.50","18.00K","+5.33%"
"09/24/2025","274.10","275.00","275.05","274.10","9.00K","-0.33%"
"09/23/2025","275.00","274.95","275.10","274.95","8.00K","+3.77%"
"09/22/2025","265.00","280.00","280.00","265.00","10.00K","-4.95%"
"09/19/2025","278.80","283.00","283.00","275.00","10.00K","-1.36%"
"09/18/2025","282.65","288.00","294.20","282.10","46.00K","-0.21%"
"09/17/2025","283.25","253.00","283.75","253.00","34.00K","+8.94%"
"09/16/2025","260.00","275.00","278.05","259.00","56.00K","-8.29%"
"09/15/2025","283.50","287.95","293.50","276.00","27.00K","+2.37%"
"09/12/2025","276.95","294.00","298.95","272.00","17.00K","-1.60%"
"09/11/2025","281.45","266.95","295.00","265.00","91.00K","+7.32%"
"09/10/2025","262.25","251.00","264.00","250.90","47.00K","+7.46%"
"09/09/2025","244.05","257.95","261.25","240.00","40.00K","-3.84%"
"09/08/2025","253.80","235.00","264.00","233.05","56.00K","+9.82%"
"09/05/2025","231.10","224.55","231.10","224.55","52.00K","+5.00%"
"09/04/2025","220.10","217.00","220.25","213.00","54.00K","+4.91%"
"09/03/2025","209.80","209.00","211.00","201.10","21.00K","+2.49%"
"09/02/2025","204.70","213.20","213.20","196.00","53.00K","+0.81%"
"09/01/2025","203.05","203.05","203.05","203.05","25.00K","+4.99%"
"08/29/2025","193.40","189.85","193.40","181.00","39.00K","+4.99%"
"08/28/2025","184.20","175.00","185.30","175.00","39.00K","+4.36%"
"08/26/2025","176.50","168.20","176.50","168.15","23.00K","+5.00%"
"08/25/2025","168.10","170.50","173.90","168.10","12.00K","-0.06%"
"08/22/2025","168.20","168.20","168.20","168.20","1.00K","+0.12%"
"08/21/2025","168.00","172.00","172.00","166.50","11.00K","-1.75%"
"08/20/2025","171.00","163.75","171.00","163.75","10.00K","-0.78%"
"08/19/2025","172.35","168.30","173.00","167.10","11.00K","+3.17%"
"08/18/2025","167.05","166.00","168.45","165.00","20.00K","+3.76%"
"08/14/2025","161.00","166.25","166.25","160.00","3.00K","+0.63%"
"08/13/2025","160.00","162.40","162.50","157.50","12.00K","+1.59%"
"08/12/2025","157.50","144.50","157.50","144.50","4.00K","+3.62%"
"08/11/2025","152.00","155.00","155.00","152.00","9.00K","-2.09%"
"08/08/2025","155.25","155.80","155.80","155.25","11.00K","-4.99%"
"08/07/2025","163.40","163.40","164.00","163.40","7.00K","-5.00%"
"08/06/2025","172.00","165.00","172.00","165.00","7.00K","+3.61%"
"08/05/2025","166.00","168.95","173.00","165.90","20.00K","-1.43%"
"08/04/2025","168.40","165.00","168.80","165.00","4.00K","+2.68%"
"08/01/2025","164.00","160.00","166.50","157.00","24.00K","+3.37%"
"07/31/2025","158.65","157.90","160.00","157.90","4.00K","+3.69%"
"07/30/2025","153.00","150.25","153.00","149.30","10.00K","-2.64%"
"07/28/2025","157.15","157.15","157.15","157.15","3.00K","-1.78%"
"07/25/2025","160.00","160.00","160.00","160.00","1.00K","-3.03%"
"07/23/2025","165.00","169.95","169.95","165.00","2.00K","+0.00%"
"07/22/2025","165.00","168.90","168.90","165.00","9.00K","+1.85%"
"07/18/2025","162.00","164.95","166.00","162.00","15.00K","+0.81%"
"07/17/2025","160.70","162.00","162.00","160.70","5.00K","-1.41%"
"07/16/2025","163.00","157.20","163.00","157.00","7.00K","+3.82%"
"07/15/2025","157.00","162.00","162.50","157.00","10.00K","-4.27%"
"07/14/2025","164.00","165.25","166.50","164.00","11.00K","-2.81%"
"07/11/2025","168.75","161.00","169.70","161.00","12.00K","+1.60%"
"07/10/2025","166.10","159.40","168.50","159.40","29.00K","+3.17%"
"07/09/2025","161.00","160.95","163.00","160.00","33.00K","+2.71%"
"07/08/2025","156.75","157.20","159.00","156.75","20.00K","-5.00%"
"07/07/2025","165.00","162.60","165.00","162.00","15.00K","+1.48%"
"07/04/2025","162.60","168.45","168.45","162.00","17.00K","-3.87%"
"07/03/2025","169.15","169.00","169.95","162.00","13.00K","+1.90%"
"07/02/2025","166.00","164.50","166.00","164.50","16.00K","+0.91%"
"07/01/2025","164.50","165.00","166.00","162.50","5.00K","+0.61%"
"06/30/2025","163.50","163.25","163.50","163.25","2.00K","-2.65%"
"06/27/2025","167.95","171.90","171.90","167.95","8.00K","+2.04%"
"06/26/2025","164.60","157.00","166.00","157.00","24.00K","+2.01%"
"06/25/2025","161.35","165.10","165.10","161.10","4.00K","-2.21%"
"06/24/2025","165.00","168.85","168.85","165.00","11.00K","+2.48%"
"06/23/2025","161.00","160.00","161.00","157.65","8.00K","-2.45%"
"06/20/2025","165.05","165.00","165.05","161.15","6.00K","-1.99%"
"06/19/2025","168.40","164.10","168.95","160.50","9.00K","+1.45%"
"06/18/2025","166.00","170.00","170.00","165.55","10.00K","-2.35%"
"06/17/2025","170.00","167.10","170.00","165.10","21.00K","+1.83%"
"06/16/2025","166.95","164.00","176.00","162.65","10.00K","-2.37%"
"06/13/2025","171.00","169.00","173.20","169.00","19.00K","+3.64%"
"06/12/2025","165.00","172.80","173.00","165.00","22.00K","-4.62%"
"06/11/2025","173.00","166.50","173.95","162.45","54.00K","+2.79%"
"06/10/2025","168.30","166.00","176.00","166.00","25.00K","-1.69%"
"06/09/2025","171.20","177.50","177.50","170.10","10.00K","-1.92%"
"06/06/2025","174.55","180.00","182.95","174.00","41.00K","-3.24%"
"06/05/2025","180.40","180.00","188.35","176.00","61.00K","+0.70%"
