"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","194.09","196.90","196.90","191.81","5.34K","-1.40%"
"07/10/2026","196.85","197.30","199.50","195.01","946","-0.20%"
"07/09/2026","197.25","198.04","200.00","197.00","1.88K","-0.02%"
"07/08/2026","197.28","200.00","201.55","195.01","3.30K","-2.03%"
"07/07/2026","201.36","202.10","207.01","196.30","10.30K","-2.09%"
"07/06/2026","205.66","199.12","211.90","198.00","11.46K","+1.52%"
"07/03/2026","202.59","200.93","204.00","199.00","6.15K","+1.05%"
"07/02/2026","200.49","200.02","205.10","197.00","14.53K","+0.23%"
"07/01/2026","200.02","203.75","203.75","197.10","4.17K","-1.94%"
"06/30/2026","203.97","208.50","212.45","201.50","9.10K","-3.19%"
"06/29/2026","210.69","216.90","219.90","210.00","5.37K","-2.86%"
"06/25/2026","216.89","218.95","219.95","212.00","7.04K","-0.81%"
"06/24/2026","218.66","217.80","223.00","212.00","19.15K","+2.73%"
"06/23/2026","212.85","212.18","217.95","206.02","19.45K","+0.81%"
"06/22/2026","211.13","204.00","215.00","195.80","47.03K","+8.90%"
"06/19/2026","193.87","186.85","197.99","185.15","25.30K","+6.39%"
"06/18/2026","182.23","179.00","188.00","176.50","12.22K","+1.78%"
"06/17/2026","179.05","182.88","182.88","177.00","1.86K","-2.15%"
"06/16/2026","182.99","180.00","183.00","175.10","8.41K","+1.75%"
"06/15/2026","179.84","178.00","185.00","176.85","7.08K","-0.83%"
"06/12/2026","181.34","174.00","182.00","174.00","976","+4.49%"
"06/11/2026","173.55","174.46","177.00","170.25","472","-0.52%"
"06/10/2026","174.46","176.11","180.00","173.00","5.18K","-0.73%"
"06/09/2026","175.75","178.00","180.00","174.00","3.60K","-0.35%"
"06/08/2026","176.36","183.80","183.80","176.10","1.75K","-4.15%"
"06/05/2026","183.99","187.64","187.64","180.00","3.26K","+0.02%"
"06/04/2026","183.96","180.00","188.85","179.00","3.68K","+2.20%"
"06/03/2026","180.00","183.00","188.80","180.00","2.29K","-1.10%"
"06/02/2026","182.00","178.10","183.00","175.00","4.11K","-0.88%"
"06/01/2026","183.61","192.00","192.00","175.00","1.16K","-0.07%"
"05/29/2026","183.74","183.35","189.00","183.00","3.71K","-4.59%"
"05/27/2026","192.58","190.80","193.00","184.00","9.46K","+4.49%"
"05/26/2026","184.30","183.20","194.00","180.32","38.85K","+4.15%"
"05/25/2026","176.96","175.76","180.95","174.02","15.30K","+1.18%"
"05/22/2026","174.89","182.90","182.90","172.00","6.79K","-2.10%"
"05/21/2026","178.65","180.00","189.00","176.10","9.31K","-0.52%"
"05/20/2026","179.58","181.75","185.00","178.00","4.71K","-1.19%"
"05/19/2026","181.75","184.00","186.14","179.00","533","-1.29%"
"05/18/2026","184.12","189.00","189.00","175.10","1.19K","-1.05%"
"05/15/2026","186.07","189.51","193.85","185.10","3.38K","-2.13%"
"05/14/2026","190.11","188.39","194.90","187.10","787","+0.91%"
"05/13/2026","188.39","185.30","199.00","185.30","3.10K","-0.98%"
"05/12/2026","190.25","194.95","210.00","190.00","4.45K","-1.77%"
"05/11/2026","193.68","192.00","196.00","192.00","262","+0.03%"
"05/08/2026","193.62","200.60","205.95","183.00","8.85K","-5.53%"
"05/07/2026","204.96","210.33","210.33","203.15","3.58K","-2.55%"
"05/06/2026","210.33","205.55","211.90","202.37","2.17K","+2.33%"
"05/05/2026","205.55","204.99","215.00","201.01","8.31K","+1.27%"
"05/04/2026","202.98","217.90","219.00","196.45","9.30K","-5.71%"
"04/30/2026","215.28","216.00","220.00","210.71","9.21K","+0.91%"
"04/29/2026","213.34","193.31","218.01","193.31","8.05K","+8.28%"
"04/28/2026","197.02","192.01","204.00","187.40","8.62K","+3.34%"
"04/27/2026","190.66","191.89","193.90","188.95","2.00K","-0.64%"
"04/24/2026","191.89","194.22","196.10","189.85","4.71K","-2.11%"
"04/23/2026","196.03","194.90","198.00","186.20","2.90K","+2.81%"
"04/22/2026","190.67","193.01","193.01","186.10","2.54K","-1.26%"
"04/21/2026","193.11","195.85","197.90","193.00","735","-0.88%"
"04/20/2026","194.82","195.73","202.06","188.31","1.43K","-0.46%"
"04/17/2026","195.73","192.00","196.60","185.37","4.58K","+2.65%"
"04/16/2026","190.68","192.15","198.74","183.10","9.80K","-0.76%"
"04/15/2026","192.14","190.90","198.69","185.25","4.13K","+2.56%"
"04/13/2026","187.34","180.00","193.95","180.00","6.07K","-4.32%"
"04/10/2026","195.79","183.90","198.99","178.57","11.58K","+7.42%"
"04/09/2026","182.27","181.89","186.00","175.00","13.18K","+0.00%"
"04/08/2026","182.27","189.90","192.00","180.00","17.63K","-1.14%"
"04/07/2026","184.38","171.99","190.00","171.99","10.13K","+7.79%"
"04/06/2026","171.06","154.64","174.00","154.64","5.42K","+9.68%"
