"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","817.20","810.00","817.20","810.00","9.20K","-0.95%"
"07/10/2026","825.00","835.40","835.40","825.00","16.80K","+0.73%"
"07/09/2026","819.05","819.05","819.05","819.05","3.20K","+2.00%"
"07/08/2026","803.00","816.80","830.00","803.00","10.40K","-1.69%"
"07/07/2026","816.80","834.35","834.35","816.80","20.40K","-0.15%"
"07/06/2026","818.00","803.15","818.00","803.15","43.20K","-0.18%"
"07/03/2026","819.50","819.50","819.50","819.50","5.20K","-2.00%"
"07/02/2026","836.20","836.20","836.20","836.20","4.00K","-2.00%"
"07/01/2026","853.25","853.25","853.25","853.25","8.80K","-2.00%"
"06/30/2026","870.65","870.65","870.65","870.65","1.60K","-2.00%"
"06/29/2026","888.40","888.40","888.40","888.40","1.20K","-2.00%"
"06/25/2026","906.50","906.50","906.50","906.50","6.80K","-2.00%"
"06/24/2026","925.00","909.95","939.20","896.80","46.00K","+3.41%"
"06/23/2026","894.50","872.00","895.00","855.00","19.20K","+2.25%"
"06/22/2026","874.85","893.00","893.00","867.00","14.00K","+0.21%"
"06/19/2026","873.00","869.10","894.45","869.10","8.40K","-1.00%"
"06/18/2026","881.85","853.40","887.00","845.10","22.00K","+0.96%"
"06/17/2026","873.45","835.00","878.00","832.05","22.40K","+4.25%"
"06/16/2026","837.85","850.00","860.00","818.20","32.40K","-2.72%"
"06/15/2026","861.25","875.00","899.00","842.00","40.00K","-1.24%"
"06/12/2026","872.05","850.00","872.05","850.00","36.00K","+5.00%"
"06/11/2026","830.55","862.50","866.80","785.45","51.60K","+0.46%"
"06/10/2026","826.75","796.00","826.75","788.00","39.60K","+5.00%"
"06/09/2026","787.40","752.00","787.40","751.00","20.40K","+4.99%"
"06/08/2026","749.95","780.00","810.00","740.70","42.40K","-3.80%"
"06/05/2026","779.60","745.05","779.60","740.00","38.40K","+5.00%"
"06/04/2026","742.50","797.30","797.30","736.50","53.60K","-2.62%"
"06/03/2026","762.50","762.50","762.50","731.60","76.00K","+5.00%"
"06/02/2026","726.20","726.20","726.20","705.00","58.80K","+5.00%"
"06/01/2026","691.65","691.65","691.65","691.65","15.60K","+4.99%"
"05/29/2026","658.75","657.00","658.75","657.00","14.80K","+5.00%"
"05/27/2026","627.40","615.00","633.00","590.10","26.80K","+1.32%"
"05/26/2026","619.25","637.00","647.30","615.90","47.60K","-4.48%"
"05/25/2026","648.30","650.00","670.00","630.10","46.00K","-0.76%"
"05/22/2026","653.25","640.00","683.70","640.00","17.60K","-0.75%"
"05/21/2026","658.20","689.80","702.00","650.00","17.60K","-1.69%"
"05/20/2026","669.50","632.00","670.05","628.05","17.60K","+1.74%"
"05/19/2026","658.05","622.00","672.00","622.00","14.00K","+1.31%"
"05/18/2026","649.55","683.65","683.65","649.50","22.00K","-4.99%"
"05/15/2026","683.65","682.00","701.00","636.00","42.80K","+2.29%"
"05/14/2026","668.35","669.00","675.50","611.20","49.20K","+3.89%"
"05/13/2026","643.35","670.00","679.00","638.05","14.40K","-2.17%"
"05/12/2026","657.60","639.35","706.65","639.35","53.60K","-2.29%"
"05/11/2026","673.00","678.10","680.00","673.00","11.60K","-5.00%"
"05/08/2026","708.40","728.95","728.95","680.05","16.00K","-0.94%"
"05/07/2026","715.15","739.00","739.00","713.00","24.40K","+0.62%"
"05/06/2026","710.75","680.00","710.75","680.00","20.00K","+4.99%"
"05/05/2026","676.95","693.10","693.10","662.10","34.40K","-2.86%"
"05/04/2026","696.90","730.00","735.00","682.70","42.80K","-3.02%"
"04/30/2026","718.60","686.70","721.00","655.20","244.40K","+4.65%"
