"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","1855.90","1850.00","1861.00","1832.10","455.39K","-0.38%"
"07/10/2026","1862.90","1830.70","1866.00","1830.70","828.83K","+2.26%"
"07/09/2026","1821.70","1789.00","1839.00","1784.90","868.22K","+1.83%"
"07/08/2026","1789.00","1831.90","1848.50","1784.20","1.37M","-2.36%"
"07/07/2026","1832.30","1773.00","1848.00","1773.00","1.70M","+2.49%"
"07/06/2026","1787.70","1779.40","1797.00","1779.40","647.06K","-0.06%"
"07/03/2026","1788.70","1784.00","1800.00","1777.50","631.17K","+0.24%"
"07/02/2026","1784.40","1798.00","1799.90","1771.40","646.63K","-0.36%"
"07/01/2026","1790.90","1777.00","1794.20","1758.60","624.23K","+1.43%"
"06/30/2026","1765.70","1747.50","1777.00","1738.00","1.46M","+0.59%"
"06/29/2026","1755.40","1759.60","1772.70","1736.90","3.91M","+0.60%"
"06/25/2026","1744.90","1767.70","1779.00","1740.00","933.40K","-1.29%"
"06/24/2026","1767.70","1786.20","1794.00","1748.20","1.28M","-1.04%"
"06/23/2026","1786.20","1805.50","1816.70","1775.20","961.45K","-1.07%"
"06/22/2026","1805.50","1800.00","1820.00","1795.10","549.65K","+0.29%"
"06/19/2026","1800.20","1800.00","1814.20","1786.90","352.56K","-0.41%"
"06/18/2026","1807.60","1801.00","1816.40","1792.90","784.10K","+0.78%"
"06/17/2026","1793.60","1756.00","1803.10","1756.00","730.99K","+1.47%"
"06/16/2026","1767.60","1771.70","1793.00","1764.00","1.42M","+0.46%"
"06/15/2026","1759.50","1723.00","1766.30","1710.00","1.26M","+3.14%"
"06/12/2026","1706.00","1742.00","1744.90","1700.40","1.44M","-0.76%"
"06/11/2026","1719.10","1727.00","1740.00","1704.20","965.03K","-0.56%"
"06/10/2026","1728.70","1756.90","1774.00","1722.20","1.15M","-2.28%"
"06/09/2026","1769.10","1755.00","1782.10","1754.70","857.75K","+0.27%"
"06/08/2026","1764.40","1772.60","1786.40","1755.30","438.89K","-1.03%"
"06/05/2026","1782.80","1774.00","1797.80","1766.10","715.46K","+1.01%"
"06/04/2026","1764.90","1781.60","1784.10","1760.50","727.48K","-1.08%"
"06/03/2026","1784.20","1801.70","1809.90","1759.00","784.33K","-0.97%"
"06/02/2026","1801.70","1786.00","1819.00","1781.70","1.20M","-0.60%"
"06/01/2026","1812.50","1839.00","1846.40","1801.80","1.99M","-0.96%"
"05/29/2026","1830.10","1862.40","1864.00","1820.50","2.09M","-1.84%"
"05/27/2026","1864.50","1883.00","1888.50","1860.00","372.68K","-0.99%"
"05/26/2026","1883.20","1904.80","1906.90","1876.10","812.90K","-0.98%"
"05/25/2026","1901.90","1881.50","1905.00","1879.80","445.13K","+1.67%"
"05/22/2026","1870.70","1872.00","1893.00","1860.90","934.44K","+0.58%"
"05/21/2026","1859.90","1869.90","1876.40","1854.90","383.46K","-0.23%"
"05/20/2026","1864.20","1860.00","1882.40","1856.10","563.77K","-0.91%"
"05/19/2026","1881.40","1846.00","1892.00","1845.40","1.35M","+1.13%"
"05/18/2026","1860.40","1846.00","1867.50","1825.30","746.94K","-0.22%"
"05/15/2026","1864.50","1866.70","1883.90","1850.00","851.18K","-0.12%"
"05/14/2026","1866.70","1831.00","1870.00","1825.00","765.12K","+1.59%"
"05/13/2026","1837.50","1820.00","1851.40","1818.20","853.30K","+0.20%"
"05/12/2026","1833.90","1866.00","1875.60","1825.00","1.29M","-2.68%"
"05/11/2026","1884.40","1865.60","1895.00","1863.90","672.60K","+0.66%"
"05/08/2026","1872.10","1874.90","1885.00","1865.20","673.26K","-0.01%"
"05/07/2026","1872.20","1868.00","1879.20","1860.00","1.23M","+0.71%"
"05/06/2026","1859.00","1839.00","1868.90","1825.90","1.24M","+2.08%"
"05/05/2026","1821.20","1820.00","1835.00","1802.60","1.00M","+0.06%"
"05/04/2026","1820.10","1810.10","1845.00","1810.10","1.93M","+0.06%"
"04/30/2026","1819.00","1814.90","1826.00","1785.20","1.08M","+0.15%"
"04/29/2026","1816.20","1808.60","1829.50","1792.90","1.43M","+0.44%"
"04/28/2026","1808.30","1814.60","1824.00","1798.80","1.49M","-0.39%"
"04/27/2026","1815.40","1768.90","1818.50","1759.00","1.92M","+2.63%"
"04/24/2026","1768.90","1817.00","1836.30","1762.10","5.28M","-3.24%"
"04/23/2026","1828.10","1865.00","1886.70","1807.70","4.20M","-3.01%"
"04/22/2026","1884.80","1910.00","1930.60","1880.00","4.04M","-1.40%"
"04/21/2026","1911.60","1974.40","1975.80","1891.70","5.15M","-3.58%"
