"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","175.94","177.00","180.00","175.21","172.56K","-1.41%"
"07/10/2026","178.45","174.83","181.00","172.76","399.91K","+3.15%"
"07/09/2026","173.00","169.00","177.40","168.90","128.87K","+2.55%"
"07/08/2026","168.70","174.10","175.03","168.00","105.69K","-3.58%"
"07/07/2026","174.97","177.01","177.38","173.12","76.24K","-1.14%"
"07/06/2026","176.99","179.61","181.78","175.71","679.67K","-0.42%"
"07/03/2026","177.73","180.79","180.91","177.15","69.28K","-0.72%"
"07/02/2026","179.01","180.95","181.24","178.00","72.04K","-0.57%"
"07/01/2026","180.03","175.50","181.28","175.50","227.03K","+2.60%"
"06/30/2026","175.46","176.00","177.00","169.57","312.05K","+0.03%"
"06/29/2026","175.40","177.89","177.89","173.55","83.30K","-1.43%"
"06/25/2026","177.95","177.77","180.00","175.53","237.40K","+0.10%"
"06/24/2026","177.77","178.00","179.89","175.16","210.12K","+0.03%"
"06/23/2026","177.72","180.45","180.45","176.33","126.71K","-1.17%"
"06/22/2026","179.82","182.95","182.95","179.06","119.96K","-0.39%"
"06/19/2026","180.53","181.88","183.49","179.50","79.65K","-0.78%"
"06/18/2026","181.95","184.84","184.84","179.32","391.11K","-0.32%"
"06/17/2026","182.53","185.65","185.66","182.02","241.16K","-1.68%"
"06/16/2026","185.65","181.38","187.10","178.36","606.79K","+2.35%"
"06/15/2026","181.38","178.00","182.89","177.49","138.63K","+3.14%"
"06/12/2026","175.85","175.10","177.14","173.50","88.66K","+0.98%"
"06/11/2026","174.15","174.82","175.76","171.25","53.62K","+0.43%"
"06/10/2026","173.40","177.37","178.67","172.31","70.70K","-1.75%"
"06/09/2026","176.49","173.10","178.47","173.10","311.22K","+2.04%"
"06/08/2026","172.96","177.70","178.47","172.24","107.63K","-3.04%"
"06/05/2026","178.38","181.99","181.99","177.00","83.91K","-0.42%"
"06/04/2026","179.14","182.00","183.39","178.76","89.97K","-1.34%"
