"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","63.90","63.70","64.56","63.26","191.90K","-0.02%"
"07/10/2026","63.91","63.86","64.54","63.80","192.22K","+0.17%"
"07/09/2026","63.80","63.70","64.67","62.66","282.05K","+0.62%"
"07/08/2026","63.41","63.75","63.99","62.52","212.52K","-0.91%"
"07/07/2026","63.99","64.20","64.42","63.80","105.98K","-0.23%"
"07/06/2026","64.14","64.99","65.25","63.95","211.05K","-1.23%"
"07/03/2026","64.94","64.61","65.18","64.00","275.50K","+0.59%"
"07/02/2026","64.56","64.40","64.90","63.87","267.54K","+0.34%"
"07/01/2026","64.34","65.39","65.39","63.96","206.05K","-0.26%"
"06/30/2026","64.51","64.75","64.89","63.84","185.85K","-0.02%"
"06/29/2026","64.52","64.80","65.09","64.30","144.56K","-1.03%"
"06/25/2026","65.19","66.00","66.00","64.81","150.39K","-0.67%"
"06/24/2026","65.63","65.37","65.91","64.97","128.37K","-0.08%"
"06/23/2026","65.68","65.48","66.18","64.86","278.68K","+0.74%"
"06/22/2026","65.20","66.70","66.70","65.00","233.95K","-1.27%"
"06/19/2026","66.04","66.30","66.49","65.80","238.09K","-0.02%"
"06/18/2026","66.05","65.52","66.50","65.52","287.13K","+0.81%"
"06/17/2026","65.52","64.60","65.70","64.50","297.31K","+1.68%"
"06/16/2026","64.44","63.80","64.77","63.80","281.12K","+1.00%"
"06/15/2026","63.80","63.50","64.05","63.31","391.95K","+2.10%"
"06/12/2026","62.49","61.70","62.89","61.70","290.72K","+1.56%"
"06/11/2026","61.53","62.40","62.49","61.35","416.57K","-1.74%"
"06/10/2026","62.62","64.03","64.40","62.40","536.41K","-2.23%"
"06/09/2026","64.05","63.89","64.62","63.39","449.67K","+1.04%"
"06/08/2026","63.39","65.98","66.04","63.11","1.03M","-5.09%"
"06/05/2026","66.79","68.10","68.33","66.28","1.63M","-14.59%"
"06/04/2026","78.20","77.50","78.50","77.01","3.51M","+0.98%"
"06/03/2026","77.44","78.20","78.90","77.11","2.98M","+0.58%"
"06/02/2026","76.99","76.00","77.21","75.65","1.67M","+0.86%"
"06/01/2026","76.33","77.04","77.41","75.67","1.42M","+1.87%"
"05/29/2026","74.93","75.25","78.30","74.48","7.08M","+6.97%"
"05/27/2026","70.05","69.55","70.25","69.55","224.65K","+0.44%"
"05/26/2026","69.74","69.73","70.45","69.52","265.62K","+0.01%"
"05/25/2026","69.73","68.92","70.35","68.60","412.62K","+1.18%"
"05/22/2026","68.92","69.40","69.40","68.61","135.46K","+0.00%"
"05/21/2026","68.92","67.64","69.95","67.51","333.55K","+1.89%"
"05/20/2026","67.64","68.00","68.00","67.30","136.53K","-0.38%"
"05/19/2026","67.90","67.49","68.80","66.74","220.64K","+1.22%"
"05/18/2026","67.08","66.60","67.50","66.00","136.02K","-0.22%"
"05/15/2026","67.23","66.50","67.76","66.15","144.76K","+1.02%"
"05/14/2026","66.55","66.00","66.90","65.41","77.44K","+1.40%"
"05/13/2026","65.63","66.08","66.49","65.31","143.86K","-0.18%"
"05/12/2026","65.75","66.50","67.04","65.26","168.80K","-1.79%"
"05/11/2026","66.95","67.29","67.50","66.30","166.58K","-0.51%"
"05/08/2026","67.29","67.69","68.24","67.00","183.15K","-0.58%"
"05/07/2026","67.68","66.70","68.50","66.32","277.54K","+2.22%"
"05/06/2026","66.21","66.66","66.68","65.90","176.26K","+0.42%"
