"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","261.80","261.75","263.00","259.00","4.13M","+0.04%"
"07/10/2026","261.70","260.00","264.55","260.00","1.98M","+1.04%"
"07/09/2026","259.00","262.00","265.20","257.80","1.88M","+0.04%"
"07/08/2026","258.90","266.45","268.00","256.50","1.94M","-3.58%"
"07/07/2026","268.50","273.00","273.00","266.05","1.26M","-1.40%"
"07/06/2026","272.30","270.55","275.25","269.50","1.36M","+0.55%"
"07/03/2026","270.80","274.90","275.50","270.00","889.48K","-1.22%"
"07/02/2026","274.15","272.00","275.00","270.00","2.85M","+1.74%"
"07/01/2026","269.45","274.50","280.00","268.70","3.43M","-1.93%"
"06/30/2026","274.75","276.25","277.45","270.25","3.17M","+0.46%"
"06/29/2026","273.50","275.90","277.60","269.55","4.59M","-0.65%"
"06/25/2026","275.30","276.50","278.55","273.60","3.05M","+0.02%"
"06/24/2026","275.25","272.00","276.75","270.00","2.05M","+1.03%"
"06/23/2026","272.45","276.25","276.25","271.35","2.44M","-1.38%"
"06/22/2026","276.25","276.50","281.50","274.60","4.57M","+0.36%"
"06/19/2026","275.25","276.70","277.45","272.10","1.57M","-0.67%"
"06/18/2026","277.10","277.00","278.85","273.10","3.36M","+0.43%"
"06/17/2026","275.90","266.00","276.90","266.00","3.81M","+4.23%"
"06/16/2026","264.70","267.00","269.20","261.10","1.22M","-0.51%"
"06/15/2026","266.05","260.45","269.00","258.75","2.95M","+3.84%"
"06/12/2026","256.20","256.65","259.00","252.20","4.82M","+1.26%"
"06/11/2026","253.00","254.65","257.15","251.75","1.84M","-0.65%"
"06/10/2026","254.65","261.00","262.30","254.00","2.75M","-2.23%"
"06/09/2026","260.45","257.30","264.25","257.30","1.82M","+1.38%"
"06/08/2026","256.90","264.15","264.75","255.25","1.59M","-3.64%"
"06/05/2026","266.60","270.05","272.30","264.40","4.74M","-1.00%"
"06/04/2026","269.30","273.60","275.65","267.85","4.32M","-1.23%"
"06/03/2026","272.65","273.50","273.75","269.05","1.20M","-0.29%"
"06/02/2026","273.45","271.30","275.20","269.05","2.06M","+0.02%"
"06/01/2026","273.40","281.80","283.85","271.95","2.69M","-2.76%"
"05/29/2026","281.15","288.00","292.60","272.30","2.68M","-2.46%"
"05/27/2026","288.25","288.10","290.95","287.75","793.18K","-0.28%"
"05/26/2026","289.05","293.50","293.60","288.00","1.51M","-1.52%"
"05/25/2026","293.50","296.80","298.25","292.55","1.62M","-0.42%"
"05/22/2026","294.75","292.30","299.90","291.00","2.22M","+0.99%"
"05/21/2026","291.85","291.90","293.95","289.60","1.36M","+0.43%"
"05/20/2026","290.60","289.15","292.90","287.15","1.88M","-1.02%"
"05/19/2026","293.60","295.00","297.70","290.50","2.92M","+0.10%"
"05/18/2026","293.30","298.80","298.80","288.15","4.48M","-2.86%"
"05/15/2026","301.95","289.00","310.50","284.00","18.05M","+4.50%"
"05/14/2026","288.95","286.40","293.50","280.35","12.39M","+1.46%"
"05/13/2026","284.80","282.25","287.65","280.00","6.09M","+0.98%"
"05/12/2026","282.05","290.00","290.20","280.30","5.42M","-2.81%"
"05/11/2026","290.20","290.20","292.90","285.70","3.48M","-1.06%"
"05/08/2026","293.30","290.90","299.15","289.35","8.48M","+0.88%"
"05/07/2026","290.75","284.60","292.95","283.25","6.87M","+2.36%"
"05/06/2026","284.05","277.00","286.90","276.10","8.25M","+3.10%"
"05/05/2026","275.50","277.05","278.30","273.30","4.17M","-0.88%"
"05/04/2026","277.95","273.00","280.00","270.30","5.10M","+2.05%"
"04/30/2026","272.36","272.40","275.09","266.00","6.91M","-1.32%"
"04/29/2026","276.01","270.90","280.89","269.63","17.81M","+2.37%"
"04/28/2026","269.63","258.67","272.50","256.50","11.44M","+4.23%"
"04/27/2026","258.68","253.00","259.83","252.10","2.66M","+3.38%"
"04/24/2026","250.23","254.63","257.00","248.31","2.47M","-1.25%"
"04/23/2026","253.39","261.01","261.01","250.21","5.34M","-3.05%"
"04/22/2026","261.37","258.00","262.85","257.10","3.00M","+1.05%"
"04/21/2026","258.65","263.98","265.57","258.00","1.79M","-0.98%"
"04/20/2026","261.22","262.36","266.94","256.15","5.61M","-0.09%"
"04/17/2026","261.45","263.00","263.50","258.51","4.34M","+0.18%"
"04/16/2026","260.97","252.38","262.10","249.05","8.99M","+5.25%"
"04/15/2026","247.95","241.50","251.38","241.49","3.55M","+4.33%"
"04/13/2026","237.67","236.30","240.73","234.22","1.95M","-1.68%"
"04/10/2026","241.72","239.60","242.75","237.34","3.00M","+1.61%"
"04/09/2026","237.90","246.05","246.36","236.24","4.76M","-3.31%"
"04/08/2026","246.05","242.00","248.80","240.00","3.87M","+4.90%"
"04/07/2026","234.56","233.00","235.48","230.33","2.44M","-0.26%"
"04/06/2026","235.18","231.98","236.32","226.66","1.83M","+1.41%"
"04/02/2026","231.91","228.01","232.80","224.85","2.04M","-0.29%"
"04/01/2026","232.59","228.70","233.31","228.00","2.99M","+4.02%"
"03/30/2026","223.60","230.00","230.05","222.15","4.42M","-3.75%"
"03/27/2026","232.30","240.75","241.90","231.50","2.34M","-4.23%"
"03/25/2026","242.55","238.00","245.80","238.00","1.97M","+2.10%"
"03/24/2026","237.55","236.00","239.70","231.80","2.42M","+1.87%"
"03/23/2026","233.20","241.80","241.80","230.35","2.24M","-4.09%"
"03/20/2026","243.15","244.05","247.75","242.45","1.17M","+0.29%"
"03/19/2026","242.45","248.95","248.95","241.10","1.69M","-3.08%"
"03/18/2026","250.15","249.50","254.00","248.65","1.60M","+0.60%"
"03/17/2026","248.65","248.45","252.00","245.50","1.55M","+0.61%"
"03/16/2026","247.15","246.00","248.80","240.15","1.63M","+0.37%"
"03/13/2026","246.25","246.60","247.85","239.00","3.03M","-0.38%"
"03/12/2026","247.20","248.00","254.50","243.00","2.44M","-0.12%"
"03/11/2026","247.50","245.80","249.50","245.25","1.35M","+0.92%"
"03/10/2026","245.25","243.05","247.10","242.10","1.17M","+1.64%"
"03/09/2026","241.30","239.15","244.35","238.75","1.56M","-2.70%"
"03/06/2026","248.00","249.90","251.65","247.05","961.02K","-0.84%"
"03/05/2026","250.10","247.20","251.10","241.55","1.38M","+1.94%"
"03/04/2026","245.35","248.00","248.25","243.15","2.66M","-3.20%"
"03/02/2026","253.45","247.00","256.40","246.60","3.97M","-1.71%"
"02/27/2026","257.85","262.80","263.73","255.80","2.05M","-1.77%"
"02/26/2026","262.50","263.30","265.41","260.20","1.64M","-0.30%"
"02/25/2026","263.30","264.00","267.60","260.56","1.63M","+0.33%"
"02/24/2026","262.43","263.60","264.91","259.11","1.38M","-1.14%"
"02/23/2026","265.46","269.50","269.50","263.35","1.69M","+0.01%"
"02/20/2026","265.43","265.00","271.57","264.20","1.92M","-0.18%"
"02/19/2026","265.90","273.00","273.00","265.00","1.94M","-2.43%"
"02/18/2026","272.52","271.00","273.07","267.50","1.94M","+0.73%"
"02/17/2026","270.55","273.00","274.77","268.00","4.06M","-0.77%"
"02/16/2026","272.66","268.00","274.25","265.10","5.98M","+1.92%"
"02/13/2026","267.52","264.00","269.85","255.90","4.50M","+1.18%"
"02/12/2026","264.40","265.00","267.69","261.19","3.04M","-0.62%"
"02/11/2026","266.04","261.99","267.25","261.07","2.78M","+1.67%"
"02/10/2026","261.66","264.00","269.20","260.60","5.94M","-0.48%"
"02/09/2026","262.92","245.06","263.80","243.05","8.98M","+7.30%"
"02/06/2026","245.03","246.95","247.55","241.99","2.07M","-0.65%"
"02/05/2026","246.63","245.74","247.84","241.71","3.57M","+1.05%"
"02/04/2026","244.06","232.81","246.70","232.10","9.63M","+4.89%"
"02/03/2026","232.69","234.97","239.49","229.48","4.51M","+3.23%"
"02/02/2026","225.41","226.47","227.00","219.15","3.74M","-0.22%"
"02/01/2026","225.90","222.95","231.86","221.20","3.03M","+2.01%"
"01/30/2026","221.45","219.60","222.75","217.40","4.23M","-0.11%"
"01/29/2026","221.70","226.90","226.90","218.70","3.91M","-1.64%"
"01/28/2026","225.40","222.70","227.15","222.15","4.14M","+1.46%"
"01/27/2026","222.15","226.00","226.00","219.50","4.31M","-1.40%"
"01/23/2026","225.30","232.80","232.80","223.75","3.86M","-1.89%"
"01/22/2026","229.65","235.95","236.40","229.00","3.05M","-1.12%"
"01/21/2026","232.25","232.90","235.55","228.85","4.28M","-0.58%"
"01/20/2026","233.60","243.35","244.75","232.05","5.20M","-3.95%"
