"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","778.30","758.70","796.35","754.45","1.09M","+2.58%"
"07/10/2026","758.75","760.00","770.00","749.20","500.05K","+2.09%"
"07/09/2026","743.25","750.30","760.85","740.50","469.38K","-0.87%"
"07/08/2026","749.80","776.00","778.60","737.55","465.11K","-3.87%"
"07/07/2026","779.95","765.00","794.00","753.05","592.60K","+1.38%"
"07/06/2026","769.35","791.00","792.75","766.30","211.34K","-2.24%"
"07/03/2026","787.00","762.10","798.25","762.10","1.48M","+4.18%"
"07/02/2026","755.40","728.75","759.70","728.70","554.20K","+4.05%"
"07/01/2026","726.00","724.90","746.75","720.30","376.55K","+1.22%"
"06/30/2026","717.25","734.00","734.00","707.10","224.71K","-1.35%"
"06/29/2026","727.10","747.05","759.60","721.25","612.45K","-2.67%"
"06/25/2026","747.05","758.20","767.40","743.30","179.08K","-1.10%"
"06/24/2026","755.35","750.00","759.65","746.30","237.57K","+1.04%"
"06/23/2026","747.55","756.50","756.50","735.10","217.99K","-0.62%"
"06/22/2026","752.20","746.00","763.95","746.00","231.08K","+0.74%"
"06/19/2026","746.70","749.70","754.40","730.15","624.52K","-1.40%"
"06/18/2026","757.30","766.10","766.15","749.95","263.83K","-0.99%"
"06/17/2026","764.90","759.95","773.50","757.25","275.23K","+0.70%"
"06/16/2026","759.60","760.90","779.00","755.10","559.25K","+0.14%"
"06/15/2026","758.55","755.00","766.00","745.85","317.34K","+2.09%"
"06/12/2026","743.05","740.00","747.70","736.20","176.13K","+1.83%"
"06/11/2026","729.70","741.00","749.70","726.15","289.07K","-2.24%"
"06/10/2026","746.45","756.20","790.95","743.35","1.25M","-0.72%"
"06/09/2026","751.90","727.90","756.00","722.00","503.19K","+4.14%"
"06/08/2026","722.00","740.00","748.10","716.40","326.76K","-3.21%"
"06/05/2026","745.95","734.50","753.20","732.75","468.12K","+1.78%"
"06/04/2026","732.90","743.00","743.30","728.25","326.35K","-1.62%"
"06/03/2026","744.95","746.95","748.00","720.20","423.51K","-0.44%"
"06/02/2026","748.25","735.70","760.20","731.65","1.18M","+2.49%"
"06/01/2026","730.05","719.65","753.00","719.65","871.30K","+1.84%"
"05/29/2026","716.85","717.70","746.60","707.40","904.65K","+0.95%"
"05/27/2026","710.10","710.00","718.05","701.40","239.39K","-0.06%"
"05/26/2026","710.55","710.00","724.20","706.70","202.57K","-0.39%"
"05/25/2026","713.30","701.70","726.35","700.00","350.93K","+2.20%"
"05/22/2026","697.95","696.85","702.50","685.10","247.01K","+0.22%"
"05/21/2026","696.40","692.70","705.20","690.20","253.10K","+0.93%"
"05/20/2026","689.95","697.10","714.60","688.00","281.09K","-1.03%"
"05/19/2026","697.10","696.00","723.30","693.00","819.51K","+0.86%"
"05/18/2026","691.15","685.00","697.45","667.00","482.96K","+0.66%"
"05/15/2026","686.60","690.60","705.75","683.00","352.05K","-1.01%"
"05/14/2026","693.60","729.00","729.00","680.00","822.82K","-3.80%"
"05/13/2026","721.00","737.80","740.60","716.10","376.02K","-0.35%"
"05/12/2026","723.55","760.40","765.00","720.00","730.50K","-4.84%"
"05/11/2026","760.35","805.00","805.00","755.00","984.20K","-5.76%"
"05/08/2026","806.80","792.10","834.40","775.15","4.77M","+3.15%"
"05/07/2026","782.15","795.00","804.00","776.50","1.08M","-0.29%"
"05/06/2026","784.40","762.20","789.30","762.00","1.50M","+4.03%"
"05/05/2026","754.00","738.85","761.70","732.00","921.26K","+2.26%"
