"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","215.40","216.50","224.89","213.37","1.09M","-1.06%"
"07/10/2026","217.71","214.90","218.39","213.25","377.44K","+2.31%"
"07/09/2026","212.80","207.64","219.26","206.68","645.93K","+3.00%"
"07/08/2026","206.61","205.70","211.20","200.00","224.08K","-0.32%"
"07/07/2026","207.27","206.55","208.09","205.06","90.78K","+0.62%"
"07/06/2026","206.00","209.85","209.99","204.63","120.66K","-1.55%"
"07/03/2026","209.25","212.65","213.89","208.20","154.33K","-1.12%"
"07/02/2026","211.62","203.95","213.53","202.81","335.21K","+3.79%"
"07/01/2026","203.89","207.91","211.77","203.02","331.04K","-1.65%"
"06/30/2026","207.32","211.00","213.70","206.85","206.32K","-2.50%"
"06/29/2026","212.63","215.73","218.11","211.00","188.32K","-2.28%"
"06/25/2026","217.58","221.91","222.23","217.00","187.83K","-1.47%"
"06/24/2026","220.83","218.90","222.95","218.90","99.68K","+0.97%"
"06/23/2026","218.70","221.00","225.11","217.86","243.51K","-0.68%"
"06/22/2026","220.19","221.78","223.79","218.01","387.25K","-0.71%"
"06/19/2026","221.77","223.68","227.09","220.32","311.98K","-1.73%"
"06/18/2026","225.67","229.07","233.18","224.05","216.72K","-1.20%"
"06/17/2026","228.41","223.06","229.35","222.18","511.51K","+2.69%"
"06/16/2026","222.43","222.47","224.95","219.20","413.70K","-0.31%"
"06/15/2026","223.12","237.00","240.00","220.10","998.57K","-4.27%"
"06/12/2026","233.07","233.50","235.44","230.20","340.44K","+1.10%"
"06/11/2026","230.54","233.70","239.00","229.50","456.28K","-1.04%"
"06/10/2026","232.97","233.44","238.02","231.20","321.89K","-0.40%"
"06/09/2026","233.90","231.80","236.00","227.56","157.10K","+1.88%"
"06/08/2026","229.58","232.39","239.90","227.00","349.11K","-1.40%"
"06/05/2026","232.85","233.00","235.00","229.60","128.71K","+0.45%"
"06/04/2026","231.80","231.00","236.20","229.00","228.51K","+0.08%"
"06/03/2026","231.62","234.90","234.90","226.02","279.73K","-0.96%"
"06/02/2026","233.86","230.00","235.30","225.20","248.21K","+0.39%"
"06/01/2026","232.95","229.90","236.46","228.75","609.73K","+1.69%"
"05/29/2026","229.08","238.96","238.96","227.55","279.74K","-2.70%"
"05/27/2026","235.44","232.63","244.20","230.01","949.21K","+2.69%"
"05/26/2026","229.28","219.69","233.00","219.50","750.99K","+4.81%"
"05/25/2026","218.76","221.00","224.70","216.00","484.90K","-1.19%"
"05/22/2026","221.39","222.61","226.00","220.20","409.45K","-0.62%"
"05/21/2026","222.77","233.29","237.99","220.00","811.43K","-4.23%"
"05/20/2026","232.61","235.71","237.71","228.20","716.54K","-1.82%"
"05/19/2026","236.92","243.72","244.27","236.10","467.57K","-1.53%"
"05/18/2026","240.59","244.53","247.93","232.22","1.15M","+0.23%"
"05/15/2026","240.04","244.00","244.90","238.64","477.75K","-1.15%"
"05/14/2026","242.83","237.64","246.75","236.55","1.40M","+2.18%"
"05/13/2026","237.64","235.00","239.19","228.99","682.39K","+1.09%"
"05/12/2026","235.08","239.00","247.20","233.46","807.92K","-1.60%"
"05/11/2026","238.90","238.50","241.00","234.38","440.92K","+0.07%"
"05/08/2026","238.74","238.03","244.70","236.55","597.72K","+0.73%"
"05/07/2026","237.00","235.00","247.66","235.00","790.17K","+0.34%"
"05/06/2026","236.20","237.15","240.00","233.00","857.78K","+1.03%"
"05/05/2026","233.79","237.70","249.92","232.50","1.80M","-0.70%"
"05/04/2026","235.44","236.67","242.00","232.36","1.55M","+1.13%"
"04/30/2026","232.81","229.90","239.56","227.26","1.96M","+1.90%"
"04/29/2026","228.46","226.16","230.59","224.77","470.87K","+1.49%"
"04/28/2026","225.11","226.90","232.00","223.18","846.84K","-0.40%"
"04/27/2026","226.02","227.97","238.04","224.35","1.41M","-0.23%"
"04/24/2026","226.55","226.85","234.90","222.20","1.25M","+0.37%"
"04/23/2026","225.72","236.99","238.80","223.74","2.06M","-4.15%"
"04/22/2026","235.49","210.00","246.00","210.00","27.32M","+11.99%"
"04/21/2026","210.28","209.00","215.38","206.82","547.25K","+2.05%"
"04/20/2026","206.05","205.00","208.37","202.67","266.07K","+0.10%"
"04/17/2026","205.84","207.00","212.00","205.05","549.75K","-0.12%"
"04/16/2026","206.08","205.00","206.75","202.12","388.46K","+1.62%"
"04/15/2026","202.80","200.01","205.28","200.01","379.13K","+1.78%"
"04/13/2026","199.26","196.99","201.90","189.34","491.37K","-0.04%"
"04/10/2026","199.34","201.60","206.00","198.40","1.18M","-0.27%"
"04/09/2026","199.88","198.65","201.45","195.07","465.56K","+0.62%"
"04/08/2026","198.65","200.97","201.69","193.27","780.91K","+0.85%"
"04/07/2026","196.97","197.80","198.20","194.00","365.28K","+0.54%"
"04/06/2026","195.92","192.61","197.24","190.66","476.38K","+1.31%"
"04/02/2026","193.39","188.20","194.87","184.69","711.49K","+1.28%"
"04/01/2026","190.94","186.00","192.99","184.35","598.33K","+5.89%"
"03/30/2026","180.32","180.64","188.74","175.80","646.44K","-2.18%"
"03/27/2026","184.33","183.54","189.00","182.00","1.04M","-1.07%"
"03/25/2026","186.33","184.00","197.00","184.00","1.36M","+0.02%"
"03/24/2026","186.30","181.99","189.00","178.50","1.09M","+4.45%"
"03/23/2026","178.36","179.00","182.67","174.43","928.90K","-1.75%"
"03/20/2026","181.54","186.57","189.88","178.16","2.70M","-0.46%"
"03/19/2026","182.37","179.52","187.18","177.02","4.24M","-2.20%"
