"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","226.65","228.43","228.85","224.50","1.52M","+0.01%"
"07/10/2026","226.62","225.00","227.75","222.60","1.68M","+1.74%"
"07/09/2026","222.75","223.00","225.89","219.60","2.41M","-0.17%"
"07/08/2026","223.13","229.91","230.98","220.60","9.96M","-5.22%"
"07/07/2026","235.43","226.30","244.59","226.30","100.66M","+8.92%"
"07/06/2026","216.15","217.95","218.92","215.37","808.47K","-0.93%"
"07/03/2026","218.17","225.00","225.03","217.40","2.16M","-3.01%"
"07/02/2026","224.93","231.85","231.85","223.70","7.05M","-3.54%"
"07/01/2026","233.19","207.37","241.30","206.00","96.67M","+14.02%"
"06/30/2026","204.51","208.80","210.00","203.44","535.83K","-0.78%"
"06/29/2026","206.11","208.00","214.00","204.80","381.82K","-1.33%"
"06/25/2026","208.88","209.50","216.14","207.58","990.84K","+0.30%"
"06/24/2026","208.26","208.90","209.49","204.55","297.24K","-0.44%"
"06/23/2026","209.17","213.71","213.95","208.00","362.05K","-2.12%"
"06/22/2026","213.71","214.30","216.94","213.11","484.17K","+0.18%"
"06/19/2026","213.32","210.91","214.00","209.00","390.64K","+0.54%"
"06/18/2026","212.18","213.00","214.44","210.21","395.81K","+0.04%"
"06/17/2026","212.10","211.50","213.64","210.45","532.56K","+0.87%"
"06/16/2026","210.27","208.94","211.67","208.40","319.83K","+0.91%"
"06/15/2026","208.38","210.00","212.48","208.01","403.20K","+1.13%"
"06/12/2026","206.06","202.49","206.70","201.81","300.91K","+2.77%"
"06/11/2026","200.51","201.90","202.15","199.09","299.16K","-1.12%"
"06/10/2026","202.78","205.10","205.89","202.18","324.15K","-0.80%"
"06/09/2026","204.42","205.00","206.88","202.51","407.54K","+0.38%"
"06/08/2026","203.65","208.00","208.40","201.70","545.89K","-3.25%"
"06/05/2026","210.49","201.99","215.40","201.00","10.63M","+5.13%"
"06/04/2026","200.22","199.50","201.81","199.21","266.30K","+0.22%"
"06/03/2026","199.79","202.21","202.21","199.10","457.52K","-1.38%"
"06/02/2026","202.58","200.00","203.00","198.32","313.13K","+0.70%"
"06/01/2026","201.17","201.49","203.00","200.10","399.45K","-0.53%"
"05/29/2026","202.24","206.85","207.95","200.00","608.66K","-1.81%"
"05/27/2026","205.96","206.00","208.12","204.15","345.02K","+0.33%"
"05/26/2026","205.29","208.52","209.20","204.41","414.79K","-0.97%"
"05/25/2026","207.30","204.88","208.90","204.80","528.10K","+1.64%"
"05/22/2026","203.95","205.88","206.15","202.42","466.00K","-0.44%"
"05/21/2026","204.85","206.49","207.89","204.00","373.17K","+0.31%"
"05/20/2026","204.22","203.00","205.60","200.96","581.31K","-0.43%"
"05/19/2026","205.10","207.30","212.49","202.44","1.88M","-1.01%"
"05/18/2026","207.20","210.10","210.39","202.65","573.63K","-1.90%"
"05/15/2026","211.21","214.15","215.47","210.90","272.29K","-1.05%"
"05/14/2026","213.45","213.80","217.57","211.26","563.36K","+0.36%"
"05/13/2026","212.69","211.00","215.79","211.00","364.34K","+0.42%"
"05/12/2026","211.80","222.67","222.85","209.12","605.31K","-4.88%"
"05/11/2026","222.67","223.25","224.49","220.60","479.49K","-1.97%"
"05/08/2026","227.15","228.60","230.85","226.54","484.09K","-0.73%"
"05/07/2026","228.82","228.00","230.83","225.33","1.00M","+1.06%"
"05/06/2026","226.42","226.36","228.80","224.56","794.90K","+0.11%"
