"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","789.45","789.00","795.95","780.05","29.61K","-0.07%"
"07/10/2026","790.00","773.60","799.90","770.20","142.58K","+2.12%"
"07/09/2026","773.60","770.25","778.15","765.55","19.47K","+0.43%"
"07/08/2026","770.25","764.65","774.95","752.95","36.08K","-0.26%"
"07/07/2026","772.25","775.05","782.80","759.55","34.87K","-0.71%"
"07/06/2026","777.75","775.90","781.00","763.00","38.79K","+0.34%"
"07/03/2026","775.10","759.35","786.00","750.05","66.69K","+2.59%"
"07/02/2026","755.50","745.35","756.55","743.80","20.02K","+1.61%"
"07/01/2026","743.55","745.15","758.35","739.10","29.10K","-0.72%"
"06/30/2026","748.95","744.80","752.00","735.00","17.98K","+1.09%"
"06/29/2026","740.90","750.00","763.45","737.05","49.54K","-1.81%"
"06/25/2026","754.55","761.00","768.40","747.05","71.27K","-0.09%"
"06/24/2026","755.20","739.80","762.30","739.40","57.76K","+1.12%"
"06/23/2026","746.85","757.00","758.10","745.10","25.41K","-1.38%"
"06/22/2026","757.30","773.90","777.75","752.10","34.55K","-0.16%"
"06/19/2026","758.50","763.65","775.90","752.35","74.76K","-0.13%"
"06/18/2026","759.45","760.00","769.35","746.70","83.72K","-0.74%"
"06/17/2026","765.15","747.05","775.00","745.85","59.91K","+1.76%"
"06/16/2026","751.95","753.85","763.00","748.05","23.90K","+0.08%"
"06/15/2026","751.35","727.00","758.00","727.00","51.52K","+3.69%"
"06/12/2026","724.60","735.00","745.00","716.00","73.52K","-1.18%"
"06/11/2026","733.25","746.90","746.90","713.00","18.85K","-1.31%"
"06/10/2026","743.00","750.00","767.75","739.95","88.77K","-0.89%"
"06/09/2026","749.70","750.00","767.10","746.95","72.08K","-0.09%"
"06/08/2026","750.40","750.00","763.40","746.55","21.25K","-1.98%"
"06/05/2026","765.55","764.10","769.00","752.95","27.79K","+0.19%"
"06/04/2026","764.10","747.75","765.60","747.75","30.15K","+1.49%"
"06/03/2026","752.90","757.00","759.45","748.15","14.75K","-0.54%"
"06/02/2026","756.95","749.00","760.85","740.55","27.90K","+0.36%"
"06/01/2026","754.20","754.25","766.80","748.35","21.40K","-2.48%"
"05/29/2026","773.35","765.00","785.00","748.35","122.50K","+0.39%"
"05/27/2026","770.35","779.75","789.40","765.80","35.56K","+0.08%"
"05/26/2026","769.75","782.00","786.35","765.60","138.91K","-1.07%"
"05/25/2026","778.05","792.95","825.00","770.40","2.17M","+1.49%"
"05/22/2026","766.65","774.80","778.50","756.60","70.87K","+0.02%"
"05/21/2026","766.50","774.80","774.80","752.00","29.60K","+0.43%"
"05/20/2026","763.25","763.25","776.50","758.45","22.66K","-0.50%"
"05/19/2026","767.05","781.20","781.20","764.10","16.05K","-0.34%"
"05/18/2026","769.65","762.95","778.80","750.00","18.04K","+0.31%"
"05/15/2026","767.25","767.40","775.05","756.20","28.53K","-0.10%"
"05/14/2026","768.00","763.65","780.15","752.00","29.36K","-0.15%"
"05/13/2026","769.15","778.95","790.00","759.20","26.22K","-0.25%"
"05/12/2026","771.10","775.00","781.00","765.10","33.65K","-1.00%"
"05/11/2026","778.85","790.00","796.95","771.55","42.76K","-2.05%"
"05/08/2026","795.15","799.90","800.00","788.00","21.17K","-0.59%"
"05/07/2026","799.90","809.90","809.90","792.55","26.17K","+0.18%"
"05/06/2026","798.50","799.80","805.00","780.65","34.73K","+0.70%"
"05/05/2026","792.95","815.80","816.00","787.85","56.03K","-2.81%"
"05/04/2026","815.90","800.05","819.50","798.60","42.30K","+2.29%"
"04/30/2026","797.65","820.05","820.05","791.35","38.09K","-3.09%"
"04/29/2026","823.05","790.95","835.95","790.95","442.39K","+4.87%"
"04/28/2026","784.85","791.50","793.65","774.85","20.15K","-0.84%"
"04/27/2026","791.50","781.95","794.00","751.00","52.23K","+1.22%"
"04/24/2026","781.95","790.00","790.00","768.65","20.86K","-0.67%"
"04/23/2026","787.20","779.80","789.50","764.10","32.94K","+1.20%"
"04/22/2026","777.90","775.00","785.00","762.30","35.25K","+1.01%"
"04/21/2026","770.15","764.00","781.55","751.05","116.22K","+3.58%"
"04/20/2026","743.55","755.00","764.00","739.05","61.99K","-2.44%"
"04/17/2026","762.15","751.45","764.35","744.55","30.21K","+1.42%"
"04/16/2026","751.45","749.85","754.40","736.00","21.33K","+1.57%"
"04/15/2026","739.85","735.00","743.70","735.00","19.81K","+1.73%"
"04/13/2026","727.30","710.00","735.75","710.00","27.48K","-0.93%"
"04/10/2026","734.15","744.95","744.95","728.65","75.19K","-0.24%"
"04/09/2026","735.95","740.95","749.65","730.65","30.86K","-0.78%"
"04/08/2026","741.75","742.45","748.30","721.25","50.72K","+3.53%"
"04/07/2026","716.45","722.70","725.15","703.95","25.36K","+0.12%"
"04/06/2026","715.60","728.00","728.00","701.50","63.75K","-0.97%"
"04/02/2026","722.60","706.00","725.00","700.00","53.37K","+1.07%"
"04/01/2026","714.95","724.20","735.00","699.00","57.18K","+1.92%"
"03/30/2026","701.50","699.95","710.45","693.00","76.19K","+0.44%"
"03/27/2026","698.45","701.80","734.20","684.30","829.51K","-0.51%"
"03/25/2026","702.00","684.00","711.05","680.10","45.13K","+3.42%"
"03/24/2026","678.80","652.00","684.60","641.25","68.93K","+4.84%"
"03/23/2026","647.45","641.10","660.00","618.50","57.37K","-0.53%"
"03/20/2026","650.90","661.75","676.15","647.10","42.42K","-1.33%"
"03/19/2026","659.65","679.90","679.90","653.85","36.93K","-3.36%"
"03/18/2026","682.60","666.10","692.25","661.15","47.93K","+3.02%"
"03/17/2026","662.60","653.80","685.60","645.00","20.89K","+2.61%"
"03/16/2026","645.75","660.90","665.90","642.25","49.33K","-2.08%"
"03/13/2026","659.45","680.00","683.95","657.00","33.95K","-3.73%"
"03/12/2026","685.00","690.00","690.00","671.10","15.75K","-0.76%"
"03/11/2026","690.25","693.35","698.85","686.35","22.06K","+0.57%"
"03/10/2026","686.35","687.60","697.00","678.00","73.51K","+1.05%"
"03/09/2026","679.25","700.00","700.10","676.10","36.51K","-3.66%"
"03/06/2026","705.05","711.00","713.15","698.00","25.90K","+0.10%"
"03/05/2026","704.35","698.00","712.45","695.45","37.20K","+1.01%"
"03/04/2026","697.30","723.15","723.15","692.00","80.61K","-4.45%"
"03/02/2026","729.75","701.15","737.00","701.15","57.96K","-0.72%"
"02/27/2026","735.05","762.70","762.70","725.30","205.70K","-3.72%"
"02/26/2026","763.45","752.00","765.00","747.45","14.47K","+1.81%"
"02/25/2026","749.85","758.70","762.60","741.95","41.66K","-0.65%"
"02/24/2026","754.75","748.00","757.85","740.00","19.62K","+0.88%"
"02/23/2026","748.15","755.00","762.35","740.05","39.85K","-0.63%"
"02/20/2026","752.90","760.40","775.00","747.30","40.64K","-1.08%"
"02/19/2026","761.10","764.60","769.00","753.00","18.89K","-0.48%"
"02/18/2026","764.75","762.00","769.60","755.70","14.38K","+0.38%"
"02/17/2026","761.85","769.00","771.40","758.05","17.05K","-0.54%"
"02/16/2026","766.00","760.00","770.00","756.25","22.49K","+0.05%"
"02/13/2026","765.60","775.00","780.00","761.90","28.13K","-1.53%"
"02/12/2026","777.50","777.00","786.00","771.05","30.84K","-0.11%"
"02/11/2026","778.35","810.00","811.30","774.00","1.15M","-3.02%"
"02/10/2026","802.55","802.00","815.95","795.00","51.77K","+0.08%"
"02/09/2026","801.90","803.00","810.00","791.20","38.53K","+0.51%"
"02/06/2026","797.80","784.00","804.20","776.20","43.29K","+1.53%"
"02/05/2026","785.75","800.00","812.20","776.40","93.18K","-1.44%"
"02/04/2026","797.25","835.55","854.00","786.30","381.67K","-4.58%"
"02/03/2026","835.55","828.20","859.00","809.50","118.37K","+2.83%"
"02/02/2026","812.55","766.40","823.00","753.65","205.27K","+6.58%"
"02/01/2026","762.35","803.95","803.95","753.55","16.94K","-5.16%"
"01/30/2026","803.80","770.00","810.00","756.55","52.44K","+3.36%"
"01/29/2026","777.70","769.00","790.00","745.25","64.53K","+1.43%"
"01/28/2026","766.70","745.55","768.95","728.30","26.89K","+4.32%"
"01/27/2026","734.95","739.45","746.45","715.15","54.15K","-0.61%"
"01/23/2026","739.45","751.90","752.20","728.00","26.38K","-0.64%"
"01/22/2026","744.25","743.35","759.50","739.05","34.22K","+0.12%"
"01/21/2026","743.35","719.95","748.45","710.05","52.47K","+2.40%"
"01/20/2026","725.95","731.30","737.50","720.45","33.61K","-1.63%"
"01/19/2026","738.00","747.70","751.55","735.00","25.76K","-1.30%"
"01/16/2026","747.70","761.55","762.05","745.55","28.80K","-1.82%"
"01/14/2026","761.55","766.50","772.10","758.10","27.76K","-0.51%"
"01/13/2026","765.45","755.35","781.70","755.35","58.66K","+0.84%"
"01/12/2026","759.05","765.00","765.05","747.05","56.00K","-1.49%"
"01/09/2026","770.50","786.10","786.10","765.55","33.85K","-1.47%"
"01/08/2026","782.00","808.95","809.80","778.20","37.04K","-2.92%"
"01/07/2026","805.55","811.40","814.70","801.00","32.61K","-1.33%"
"01/06/2026","816.40","820.00","822.15","807.65","23.50K","-0.21%"
"01/05/2026","818.15","820.00","836.40","813.10","59.54K","-0.72%"
"01/02/2026","824.10","830.60","830.60","815.00","31.12K","-0.26%"
"01/01/2026","826.25","824.00","831.65","820.15","18.38K","-0.31%"
"12/31/2025","828.80","803.90","835.50","803.90","50.11K","+2.07%"
"12/30/2025","812.00","830.00","833.50","802.60","165.92K","-2.16%"
"12/29/2025","829.95","820.80","849.90","812.60","56.02K","+0.37%"
"12/26/2025","826.90","832.25","834.90","820.10","25.11K","-0.25%"
"12/24/2025","829.00","829.15","844.30","825.10","31.47K","-0.32%"
"12/23/2025","831.65","842.60","854.90","822.10","157.88K","+0.47%"
"12/22/2025","827.75","833.10","833.10","813.15","34.95K","+0.59%"
"12/19/2025","822.90","816.00","835.00","808.40","76.50K","+0.60%"
"12/18/2025","818.00","836.90","838.55","811.65","46.51K","-2.73%"
"12/17/2025","840.95","823.00","845.00","823.00","46.93K","+1.33%"
"12/16/2025","829.90","832.50","840.50","822.00","42.94K","-1.16%"
"12/15/2025","839.65","847.95","848.40","830.20","36.45K","-0.52%"
"12/12/2025","844.00","837.55","853.25","829.95","170.07K","+0.49%"
"12/11/2025","839.90","828.00","847.15","820.55","371.44K","+1.33%"
"12/10/2025","828.90","795.00","835.00","786.30","221.91K","+3.89%"
"12/09/2025","797.85","781.60","800.40","775.65","51.07K","+1.15%"
"12/08/2025","788.75","802.25","819.60","785.25","107.03K","-1.59%"
"12/05/2025","801.50","795.55","807.35","791.50","32.04K","+0.32%"
"12/04/2025","798.95","805.00","816.25","795.05","37.96K","-1.58%"
"12/03/2025","811.80","817.90","817.90","804.70","45.34K","-0.75%"
"12/02/2025","817.90","820.00","821.00","805.95","62.19K","+0.50%"
"12/01/2025","813.80","803.50","820.50","798.30","103.89K","+1.62%"
"11/28/2025","800.80","810.60","810.60","795.90","55.25K","-1.23%"
"11/27/2025","810.80","815.00","819.90","798.00","913.90K","-0.63%"
"11/26/2025","815.90","785.40","818.00","780.00","332.90K","+3.29%"
"11/25/2025","789.95","746.05","799.00","741.10","221.06K","+4.93%"
"11/24/2025","752.85","742.90","760.00","740.80","64.11K","+0.31%"
"11/21/2025","750.55","763.50","766.70","745.35","44.01K","-2.60%"
"11/20/2025","770.55","770.90","777.30","762.05","46.49K","-0.96%"
