"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","230.97","228.00","234.25","227.38","100.84K","-0.10%"
"07/10/2026","231.21","230.05","235.89","230.05","81.14K","+0.55%"
"07/09/2026","229.95","231.50","234.00","229.00","84.20K","-0.63%"
"07/08/2026","231.41","235.15","236.99","230.11","80.11K","-2.47%"
"07/07/2026","237.28","239.39","240.48","235.25","78.83K","-1.14%"
"07/06/2026","240.01","238.33","242.26","237.62","69.45K","+1.14%"
"07/03/2026","237.30","237.27","241.01","236.88","98.48K","-0.57%"
"07/02/2026","238.66","239.00","240.50","237.00","59.02K","+0.06%"
"07/01/2026","238.51","235.42","239.01","235.05","95.03K","+1.31%"
"06/30/2026","235.42","240.50","240.50","234.10","99.48K","+0.37%"
"06/29/2026","234.56","239.58","240.80","233.21","76.98K","-2.10%"
"06/25/2026","239.58","235.00","241.90","233.00","179.29K","+2.75%"
"06/24/2026","233.17","235.80","238.99","232.70","129.15K","-0.72%"
"06/23/2026","234.85","240.00","241.50","234.50","118.87K","-2.22%"
"06/22/2026","240.18","244.98","244.98","238.00","107.95K","+0.07%"
"06/19/2026","240.01","241.88","242.72","239.00","64.79K","-0.70%"
"06/18/2026","241.69","244.00","244.60","239.00","113.88K","-0.40%"
"06/17/2026","242.66","240.40","244.70","239.12","99.14K","+1.51%"
"06/16/2026","239.05","239.00","240.00","236.13","68.48K","+0.46%"
"06/15/2026","237.96","237.94","238.89","234.25","97.10K","+3.51%"
"06/12/2026","229.89","230.00","231.86","228.33","167.06K","+0.10%"
"06/11/2026","229.65","234.44","234.45","227.50","239.11K","-2.04%"
"06/10/2026","234.44","241.22","242.95","233.00","126.51K","-2.81%"
"06/09/2026","241.22","235.90","242.00","233.67","134.68K","+2.78%"
"06/08/2026","234.70","232.80","237.60","231.61","64.25K","-0.12%"
"06/05/2026","234.99","233.10","237.49","231.90","423.58K","+1.29%"
"06/04/2026","231.99","236.00","238.31","229.35","511.37K","-1.43%"
"06/03/2026","235.35","241.61","241.61","234.72","325.70K","-2.59%"
"06/02/2026","241.61","237.50","243.00","234.55","77.52K","+1.94%"
"06/01/2026","237.01","234.85","237.99","232.20","89.87K","+1.42%"
"05/29/2026","233.70","235.05","238.60","232.80","101.34K","-0.51%"
"05/27/2026","234.90","238.20","240.15","234.20","118.53K","-1.39%"
"05/26/2026","238.20","240.00","241.95","237.25","152.45K","-0.73%"
"05/25/2026","239.95","240.10","242.50","239.05","145.62K","+0.42%"
"05/22/2026","238.95","246.00","246.00","238.00","147.26K","-2.87%"
"05/21/2026","246.00","247.25","250.90","245.20","247.12K","-0.51%"
"05/20/2026","247.25","245.30","249.30","240.80","302.13K","+0.79%"
"05/19/2026","245.30","246.00","247.00","242.00","86.36K","+0.66%"
"05/18/2026","243.70","248.00","248.00","236.40","399.88K","-1.75%"
"05/15/2026","248.05","244.90","250.30","242.60","94.59K","+1.29%"
"05/14/2026","244.90","250.00","251.95","242.90","116.53K","-1.27%"
"05/13/2026","248.05","254.25","255.10","245.45","245.67K","-3.67%"
"05/12/2026","257.50","262.85","265.90","253.50","158.15K","-3.16%"
"05/11/2026","265.90","260.80","267.00","257.00","117.56K","+0.43%"
"05/08/2026","264.75","267.90","269.80","263.30","78.61K","-1.18%"
"05/07/2026","267.90","258.15","270.00","258.15","411.46K","+5.39%"
"05/06/2026","254.20","253.00","255.10","250.10","59.48K","+1.15%"
"05/05/2026","251.30","254.00","254.90","249.15","63.55K","-1.43%"
"05/04/2026","254.95","252.10","258.85","251.50","73.61K","+0.70%"
"04/30/2026","253.17","255.39","256.00","251.00","50.12K","-0.87%"
"04/29/2026","255.39","251.00","257.60","251.00","59.89K","+0.95%"
"04/28/2026","252.99","254.80","255.72","251.35","59.44K","-0.71%"
"04/27/2026","254.80","248.96","256.00","248.96","79.51K","+2.35%"
"04/24/2026","248.96","253.20","255.90","248.00","99.60K","-1.55%"
"04/23/2026","252.87","257.25","259.50","252.00","81.02K","-1.64%"
"04/22/2026","257.09","263.00","263.00","256.00","137.85K","-1.03%"
"04/21/2026","259.77","262.70","264.02","259.31","97.74K","-0.45%"
"04/20/2026","260.95","263.00","263.88","259.06","76.66K","-0.24%"
"04/17/2026","261.59","262.55","264.40","258.87","72.78K","+0.01%"
"04/16/2026","261.56","266.00","268.00","259.01","178.58K","-1.06%"
"04/15/2026","264.37","270.40","280.00","262.10","336.11K","-0.97%"
