"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","497.75","510.00","513.70","495.05","221.79K","-2.21%"
"07/10/2026","509.00","499.50","511.50","494.15","253.49K","+2.69%"
"07/09/2026","495.65","496.00","510.60","493.80","281.17K","+0.74%"
"07/08/2026","492.00","485.00","514.50","481.00","793.96K","+0.99%"
"07/07/2026","487.20","484.00","491.50","480.30","138.13K","+0.66%"
"07/06/2026","484.00","488.40","494.65","480.95","183.19K","+0.63%"
"07/03/2026","480.95","473.90","485.00","473.00","147.94K","+2.04%"
"07/02/2026","471.35","467.20","473.05","462.25","67.52K","+1.09%"
"07/01/2026","466.25","463.45","475.00","463.00","150.52K","+1.16%"
"06/30/2026","460.90","460.40","469.30","457.40","67.73K","+0.34%"
"06/29/2026","459.35","468.40","469.45","457.80","82.70K","-1.93%"
"06/25/2026","468.40","469.90","473.70","465.80","86.24K","+0.11%"
"06/24/2026","467.90","472.00","473.85","465.25","86.77K","-1.36%"
"06/23/2026","474.35","477.00","483.65","472.00","140.56K","-0.39%"
"06/22/2026","476.20","476.00","498.00","474.95","733.22K","+2.07%"
"06/19/2026","466.55","468.90","473.85","464.05","69.64K","-0.69%"
"06/18/2026","469.80","464.30","470.95","460.65","133.01K","+1.69%"
"06/17/2026","462.00","466.90","469.85","458.10","140.03K","+0.03%"
"06/16/2026","461.85","470.65","473.15","460.70","99.03K","-1.39%"
"06/15/2026","468.35","467.00","482.00","465.10","312.62K","+1.75%"
"06/12/2026","460.30","449.50","462.30","447.75","92.25K","+2.95%"
"06/11/2026","447.10","458.00","458.90","446.00","86.50K","-2.62%"
"06/10/2026","459.15","466.00","472.00","456.40","98.52K","-1.46%"
"06/09/2026","465.95","463.70","470.15","463.70","86.49K","+0.90%"
"06/08/2026","461.80","467.80","473.95","460.00","86.59K","-2.93%"
"06/05/2026","475.75","473.35","481.00","465.05","230.62K","+1.07%"
"06/04/2026","470.70","465.00","474.00","460.15","148.10K","+1.13%"
"06/03/2026","465.45","463.40","473.90","460.40","190.23K","+1.35%"
"06/02/2026","459.25","460.05","465.40","456.05","179.75K","-0.81%"
"06/01/2026","463.00","461.00","474.00","455.95","649.40K","+1.36%"
"05/29/2026","456.80","470.00","477.40","453.65","167.84K","-3.72%"
"05/27/2026","474.45","473.00","485.00","466.25","390.33K","+0.18%"
"05/26/2026","473.60","498.20","507.00","468.25","4.60M","+6.44%"
"05/25/2026","444.95","442.20","447.65","437.00","168.75K","+1.67%"
"05/22/2026","437.65","423.30","441.35","416.40","230.55K","+3.91%"
"05/21/2026","421.20","422.70","429.00","416.25","96.26K","+0.55%"
"05/20/2026","418.90","415.10","421.70","412.80","38.83K","+0.67%"
"05/19/2026","416.10","411.10","422.00","411.10","42.87K","+0.39%"
"05/18/2026","414.50","412.00","417.65","410.35","43.02K","-0.66%"
"05/15/2026","417.25","418.30","420.00","415.00","38.48K","-0.25%"
"05/14/2026","418.30","420.40","421.95","410.40","71.18K","+0.38%"
"05/13/2026","416.70","418.00","423.85","416.00","39.52K","-0.28%"
"05/12/2026","417.85","431.25","431.70","415.10","58.31K","-3.59%"
"05/11/2026","433.40","447.00","447.00","430.00","71.86K","-2.85%"
"05/08/2026","446.10","435.95","450.00","431.00","274.17K","+2.87%"
"05/07/2026","433.65","422.90","436.90","420.50","171.52K","+3.47%"
"05/06/2026","419.10","416.00","420.95","415.25","36.48K","+1.22%"
"05/05/2026","414.05","418.00","419.20","412.10","37.99K","-1.15%"
"05/04/2026","418.85","416.00","421.15","415.80","34.45K","+0.89%"
"04/30/2026","415.15","417.00","417.70","411.15","35.47K","-0.99%"
"04/29/2026","419.30","419.90","421.50","416.25","31.33K","+0.74%"
"04/28/2026","416.20","422.00","425.80","415.00","51.94K","-1.90%"
"04/27/2026","424.25","418.00","426.80","415.95","27.95K","+1.68%"
"04/24/2026","417.25","429.00","429.00","416.00","56.63K","-1.88%"
"04/23/2026","425.25","420.15","432.00","420.15","51.06K","-0.80%"
"04/22/2026","428.70","419.85","430.55","417.00","102.97K","+1.56%"
"04/21/2026","422.10","418.00","424.90","414.90","166.36K","+1.86%"
"04/20/2026","414.40","425.15","427.00","412.00","116.85K","-2.54%"
"04/17/2026","425.20","411.00","427.00","410.00","327.90K","+3.45%"
"04/16/2026","411.00","419.90","419.90","406.30","167.17K","-1.14%"
"04/15/2026","415.75","418.40","420.00","412.00","205.86K","+1.01%"
"04/13/2026","411.60","410.45","415.00","396.60","549.73K","-5.74%"
"04/10/2026","436.65","429.15","441.95","429.10","58.06K","+1.13%"
"04/09/2026","431.75","427.45","438.45","421.05","90.80K","+1.02%"
"04/08/2026","427.40","425.35","432.30","420.60","73.01K","+2.20%"
"04/07/2026","418.20","417.85","420.65","407.10","43.09K","+1.16%"
"04/06/2026","413.40","405.85","420.00","405.30","35.45K","+0.45%"
"04/02/2026","411.55","410.00","414.35","403.00","47.27K","-2.46%"
"04/01/2026","421.95","405.00","428.45","401.00","131.56K","+5.46%"
"03/30/2026","400.10","410.35","412.00","397.25","92.41K","-3.46%"
"03/27/2026","414.45","406.40","416.60","396.80","106.00K","+0.97%"
"03/25/2026","410.45","401.20","415.60","398.80","106.71K","+2.31%"
"03/24/2026","401.20","402.15","404.80","394.60","55.45K","+0.25%"
"03/23/2026","400.20","396.00","404.00","390.00","74.76K","-0.58%"
"03/20/2026","402.55","397.50","406.10","397.50","42.80K","+1.33%"
"03/19/2026","397.25","406.00","406.00","394.40","47.71K","-2.49%"
"03/18/2026","407.40","402.05","411.00","399.05","163.01K","+1.33%"
"03/17/2026","402.05","411.80","411.80","400.10","50.29K","-1.51%"
"03/16/2026","408.20","400.10","410.60","389.95","97.91K","+1.15%"
"03/13/2026","403.55","410.05","410.85","401.00","66.79K","-1.78%"
"03/12/2026","410.85","414.60","416.95","406.15","75.85K","-2.18%"
"03/11/2026","420.00","417.50","420.90","414.10","63.31K","-0.17%"
"03/10/2026","420.70","415.05","422.00","411.25","34.38K","+2.01%"
"03/09/2026","412.40","422.25","424.00","406.45","70.92K","-3.04%"
"03/06/2026","425.35","421.10","430.00","420.20","21.09K","-0.29%"
"03/05/2026","426.60","419.05","429.80","418.00","50.73K","+0.89%"
"03/04/2026","422.85","422.00","424.15","415.10","64.98K","-1.91%"
"03/02/2026","431.10","417.55","435.00","412.20","45.37K","-1.25%"
"02/27/2026","436.55","439.00","443.85","430.80","113.74K","-0.66%"
"02/26/2026","439.45","449.00","449.00","430.00","95.75K","-2.13%"
"02/25/2026","449.00","422.30","453.85","413.55","284.08K","+6.07%"
"02/24/2026","423.30","415.00","435.00","408.10","79.74K","+1.29%"
"02/23/2026","417.90","414.95","420.45","411.65","102.09K","+1.00%"
"02/20/2026","413.75","415.05","419.25","412.30","64.64K","-0.31%"
"02/19/2026","415.05","419.00","422.40","413.00","74.00K","-0.86%"
"02/18/2026","418.65","422.45","423.50","417.00","70.16K","-0.90%"
"02/17/2026","422.45","417.00","427.00","415.05","58.35K","+1.13%"
"02/16/2026","417.75","432.75","435.95","416.95","136.56K","-3.72%"
"02/13/2026","433.90","432.20","442.25","422.80","129.82K","+0.39%"
