"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","32.72","32.20","32.87","32.07","9.53M","+0.37%"
"07/10/2026","32.60","31.80","32.79","31.80","11.34M","+3.00%"
"07/09/2026","31.65","31.30","31.84","31.24","4.04M","+1.28%"
"07/08/2026","31.25","32.00","32.44","31.11","9.56M","-2.74%"
"07/07/2026","32.13","32.65","32.66","32.03","6.19M","-1.50%"
"07/06/2026","32.62","32.97","33.13","32.55","7.05M","-0.55%"
"07/03/2026","32.80","33.00","33.18","32.60","12.70M","+0.77%"
"07/02/2026","32.55","32.75","33.04","32.51","7.93M","-0.40%"
"07/01/2026","32.68","32.69","32.98","32.50","8.20M","+0.46%"
"06/30/2026","32.53","32.92","32.99","32.41","12.28M","-3.24%"
"06/29/2026","33.62","32.22","34.24","31.86","53.09M","+4.41%"
"06/25/2026","32.20","32.62","32.78","32.12","8.45M","-0.95%"
"06/24/2026","32.51","32.50","32.86","32.20","7.44M","+0.03%"
"06/23/2026","32.50","33.15","33.20","32.40","6.95M","-1.60%"
"06/22/2026","33.03","32.96","33.30","32.89","11.70M","+0.58%"
"06/19/2026","32.84","33.18","33.31","32.45","17.62M","-0.79%"
"06/18/2026","33.10","33.87","34.06","32.94","19.85M","-2.27%"
"06/17/2026","33.87","32.06","34.48","31.83","79.83M","+5.84%"
"06/16/2026","32.00","31.95","32.25","31.64","12.71M","+0.41%"
"06/15/2026","31.87","31.40","32.04","31.25","26.13M","+2.67%"
"06/12/2026","31.04","30.60","31.15","30.53","11.02M","+2.88%"
"06/11/2026","30.17","30.50","30.59","30.10","7.54M","-1.92%"
"06/10/2026","30.76","31.17","31.38","30.62","9.93M","-1.03%"
"06/09/2026","31.08","30.52","31.15","30.52","17.68M","+2.14%"
"06/08/2026","30.43","30.10","30.93","29.97","12.75M","+0.16%"
"06/05/2026","30.38","30.45","30.89","29.87","22.93M","+0.33%"
"06/04/2026","30.28","30.15","30.40","29.95","9.03M","-0.03%"
"06/03/2026","30.29","29.80","30.45","29.69","14.06M","+2.26%"
"06/02/2026","29.62","30.10","30.49","29.32","33.00M","-2.28%"
"06/01/2026","30.31","30.98","31.06","30.03","14.36M","-1.49%"
"05/29/2026","30.77","30.99","31.27","30.61","18.11M","-0.23%"
"05/27/2026","30.84","31.06","31.10","30.52","22.99M","-0.58%"
"05/26/2026","31.02","31.29","31.29","31.00","21.81M","-0.80%"
"05/25/2026","31.27","31.29","31.33","31.11","34.69M","+0.00%"
"05/22/2026","31.27","32.30","32.35","31.21","117.48M","-7.81%"
"05/21/2026","33.92","34.19","34.44","33.82","2.54M","+0.21%"
"05/20/2026","33.85","33.80","33.95","33.52","3.29M","-0.56%"
"05/19/2026","34.04","33.80","34.35","33.80","3.33M","+0.80%"
"05/18/2026","33.77","33.99","34.00","33.13","4.59M","-1.11%"
"05/15/2026","34.15","34.79","34.98","34.07","3.29M","-1.33%"
"05/14/2026","34.61","34.46","35.00","34.06","4.62M","+0.67%"
"05/13/2026","34.38","34.60","34.93","34.30","5.59M","-0.43%"
