"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","497.95","491.00","500.00","490.00","1.55M","-0.14%"
"07/10/2026","498.65","495.00","511.80","494.10","6.97M","+2.51%"
"07/09/2026","486.45","487.50","489.75","483.40","1.57M","-0.16%"
"07/08/2026","487.25","490.00","499.90","483.70","3.14M","-1.66%"
"07/07/2026","495.45","494.10","499.65","492.45","2.31M","+0.17%"
"07/06/2026","494.60","501.00","501.45","493.05","1.75M","-0.92%"
"07/03/2026","499.20","505.00","512.00","498.00","4.21M","+0.86%"
"07/02/2026","494.95","495.00","500.40","492.10","2.04M","+0.89%"
"07/01/2026","490.60","501.10","505.00","490.00","2.67M","-2.10%"
"06/30/2026","501.10","497.05","505.00","493.70","2.87M","+0.99%"
"06/29/2026","496.20","492.10","501.00","485.55","5.11M","+0.98%"
"06/25/2026","491.40","495.00","500.00","489.20","3.63M","-2.16%"
"06/24/2026","502.25","495.00","506.00","485.15","8.30M","+0.40%"
"06/23/2026","500.25","509.05","511.20","497.50","3.41M","-2.06%"
"06/22/2026","510.75","510.00","514.80","507.25","3.64M","-0.08%"
"06/19/2026","511.15","506.85","513.00","500.90","3.19M","+0.28%"
"06/18/2026","509.70","514.95","517.60","509.00","2.79M","-1.07%"
"06/17/2026","515.20","513.00","522.50","507.75","4.27M","+0.67%"
"06/16/2026","511.75","518.50","518.50","507.00","2.70M","-0.84%"
"06/15/2026","516.10","522.00","532.20","514.30","4.55M","+1.20%"
"06/12/2026","510.00","512.95","516.85","507.50","3.85M","+2.15%"
"06/11/2026","499.25","503.00","509.80","497.50","3.39M","-2.24%"
"06/10/2026","510.70","521.00","521.50","506.00","3.01M","-1.71%"
"06/09/2026","519.60","509.70","522.20","509.25","2.63M","+2.66%"
"06/08/2026","506.15","512.00","521.65","503.15","3.56M","-3.84%"
"06/05/2026","526.35","538.00","541.10","522.75","3.32M","-2.78%"
"06/04/2026","541.40","541.00","545.25","537.50","2.48M","-0.73%"
"06/03/2026","545.40","550.00","551.50","535.05","3.35M","-0.15%"
"06/02/2026","546.20","542.55","551.65","541.00","4.00M","+1.16%"
"06/01/2026","539.95","544.00","550.00","535.00","3.82M","+0.23%"
"05/29/2026","538.70","558.00","564.65","528.00","5.37M","-3.00%"
"05/27/2026","555.35","558.00","564.00","554.30","4.06M","-0.12%"
"05/26/2026","556.00","546.00","564.85","541.00","7.63M","+1.92%"
"05/25/2026","545.55","554.80","555.00","542.10","4.09M","-0.04%"
"05/22/2026","545.75","557.00","560.00","545.00","4.44M","-1.16%"
"05/21/2026","552.15","563.00","566.75","550.10","3.54M","-0.44%"
"05/20/2026","554.60","561.70","561.70","546.50","5.45M","-2.62%"
"05/19/2026","569.50","586.05","587.00","568.00","4.78M","-2.00%"
"05/18/2026","581.15","580.00","591.90","574.45","16.18M","+1.91%"
"05/15/2026","570.25","598.00","598.00","568.00","8.49M","-5.97%"
"05/14/2026","606.45","601.00","618.10","599.15","12.63M","+1.87%"
"05/13/2026","595.30","580.00","600.00","577.00","18.24M","+5.51%"
"05/12/2026","564.20","584.00","592.30","560.35","13.18M","-1.52%"
"05/11/2026","572.90","569.00","579.00","564.10","5.96M","+0.65%"
"05/08/2026","569.20","570.00","575.00","559.10","5.07M","+0.11%"
"05/07/2026","568.60","557.00","584.00","556.00","13.96M","+3.29%"
"05/06/2026","550.50","544.00","553.50","540.70","4.68M","+3.47%"
"05/05/2026","532.05","531.75","538.30","530.25","2.32M","-1.00%"
"05/04/2026","537.40","540.00","544.50","528.25","3.36M","+0.48%"
"04/30/2026","534.85","553.35","555.25","532.05","4.38M","-3.67%"
"04/29/2026","555.25","558.65","563.40","548.25","3.41M","-0.21%"
"04/28/2026","556.40","562.00","568.45","554.00","4.60M","-0.53%"
"04/27/2026","559.35","546.80","562.00","546.00","5.54M","+3.30%"
"04/24/2026","541.50","551.40","554.95","537.45","3.86M","-1.45%"
"04/23/2026","549.45","556.45","560.80","548.00","3.11M","-1.35%"
"04/22/2026","556.95","554.00","560.80","553.50","3.35M","+0.92%"
"04/21/2026","551.85","561.00","567.35","550.00","4.61M","-0.85%"
"04/20/2026","556.60","569.00","569.00","553.05","3.77M","-2.28%"
"04/17/2026","569.60","564.00","572.35","556.50","6.67M","+1.04%"
"04/16/2026","563.75","559.95","566.55","553.30","7.66M","+2.79%"
"04/15/2026","548.45","555.00","566.00","545.85","11.58M","+4.06%"
"04/13/2026","527.05","515.05","534.40","512.50","6.19M","-0.57%"
"04/10/2026","530.05","527.85","536.00","526.30","4.73M","+1.48%"
"04/09/2026","522.30","526.25","533.00","519.10","6.69M","-0.75%"
"04/08/2026","526.25","530.00","533.60","521.50","10.20M","+4.33%"
"04/07/2026","504.40","500.95","512.00","496.40","8.88M","+0.21%"
"04/06/2026","503.35","492.50","508.20","483.00","13.08M","+1.66%"
"04/02/2026","495.15","477.90","499.45","468.20","18.01M","-0.17%"
"04/01/2026","496.00","473.70","510.90","471.75","30.21M","+9.37%"
"03/30/2026","453.50","484.00","484.95","450.10","14.95M","-8.10%"
"03/27/2026","493.45","479.00","498.00","463.05","17.47M","+2.68%"
"03/25/2026","480.55","472.50","487.00","471.20","9.96M","+3.67%"
"03/24/2026","463.55","463.60","468.55","447.00","10.80M","+3.21%"
"03/23/2026","449.15","475.00","475.95","445.70","14.25M","-8.23%"
"03/20/2026","489.45","472.00","493.00","472.00","17.03M","+4.03%"
"03/19/2026","470.50","475.00","478.55","463.00","12.39M","-3.81%"
"03/18/2026","489.15","494.05","494.90","473.20","12.52M","-0.81%"
"03/17/2026","493.15","479.45","495.00","461.80","15.30M","+3.27%"
"03/16/2026","477.55","488.05","494.80","472.50","11.89M","-3.78%"
"03/13/2026","496.30","526.30","528.35","493.55","10.83M","-5.89%"
"03/12/2026","527.35","540.80","540.80","519.40","8.01M","-2.86%"
"03/11/2026","542.90","550.00","562.00","540.40","5.40M","-1.10%"
"03/10/2026","548.95","552.00","555.00","545.50","4.21M","+1.55%"
"03/09/2026","540.55","549.80","551.35","534.65","7.17M","-3.23%"
"03/06/2026","558.60","558.25","564.40","553.40","6.70M","+0.11%"
"03/05/2026","558.00","554.80","564.80","549.50","11.61M","+2.05%"
"03/04/2026","546.80","570.55","574.30","540.00","17.69M","-5.07%"
"03/02/2026","576.00","563.50","589.80","555.00","18.27M","+1.71%"
"02/27/2026","566.30","584.10","588.70","560.30","10.16M","-2.99%"
"02/26/2026","583.75","590.00","591.55","577.75","7.98M","-0.38%"
"02/25/2026","585.95","568.80","589.00","567.15","17.52M","+3.99%"
"02/24/2026","563.45","569.00","569.05","556.45","6.94M","+0.02%"
"02/23/2026","563.35","584.00","584.95","560.05","11.74M","-1.00%"
"02/20/2026","569.05","565.00","573.80","560.60","8.03M","+0.96%"
"02/19/2026","563.65","583.00","592.00","560.00","15.95M","-1.01%"
"02/18/2026","569.40","549.45","579.30","545.00","22.29M","+3.63%"
"02/17/2026","549.45","574.40","574.40","547.00","15.25M","-4.34%"
"02/16/2026","574.40","585.00","585.00","568.30","11.67M","-2.92%"
"02/13/2026","591.65","606.00","613.00","585.00","16.17M","-5.29%"
"02/12/2026","624.70","606.00","628.70","602.05","27.78M","+3.48%"
"02/11/2026","603.70","601.00","607.45","593.80","10.23M","+1.03%"
"02/10/2026","597.55","610.00","610.00","595.00","12.38M","-0.08%"
"02/09/2026","598.00","594.25","610.50","592.85","24.27M","+3.13%"
"02/06/2026","579.85","587.40","601.15","575.75","27.71M","-4.52%"
"02/05/2026","607.30","588.00","620.00","577.60","31.15M","-1.03%"
"02/04/2026","613.65","624.75","642.00","607.75","35.14M","-0.18%"
"02/03/2026","614.75","639.90","658.00","610.00","45.67M","+0.69%"
"02/02/2026","610.55","590.15","638.55","581.55","70.71M","+1.89%"
"02/01/2026","599.25","619.95","619.95","555.10","88.03M","-12.63%"
"01/30/2026","685.90","726.00","736.50","671.25","113.20M","-9.76%"
"01/29/2026","760.05","662.50","760.05","662.00","138.63M","+20.00%"
"01/28/2026","633.40","568.80","643.00","564.25","108.31M","+12.67%"
"01/27/2026","562.15","551.70","563.90","544.25","27.82M","+4.90%"
"01/23/2026","535.90","544.00","555.95","532.50","29.17M","+0.72%"
"01/22/2026","532.05","561.00","564.35","525.30","27.21M","-4.53%"
"01/21/2026","557.30","532.55","559.50","523.65","37.31M","+4.77%"
"01/20/2026","531.95","549.00","555.45","530.00","28.23M","-2.89%"
"01/19/2026","547.80","570.00","571.00","545.10","26.70M","-2.43%"
"01/16/2026","561.45","571.75","572.50","558.90","28.54M","-1.98%"
"01/14/2026","572.80","548.05","576.00","545.65","53.42M","+6.18%"
"01/13/2026","539.45","550.00","554.60","535.00","29.86M","-1.15%"
"01/12/2026","545.70","532.00","548.00","523.40","52.25M","+4.78%"
"01/09/2026","520.80","519.25","533.25","511.30","34.25M","+0.01%"
"01/08/2026","520.75","543.90","543.90","518.55","41.39M","-5.53%"
"01/07/2026","551.25","574.80","575.00","548.00","35.38M","-2.48%"
"01/06/2026","565.25","568.50","574.60","562.00","38.37M","+2.29%"
"01/05/2026","552.60","554.95","570.00","550.00","52.22M","+1.97%"
"01/02/2026","541.90","530.00","545.20","527.95","42.25M","+3.68%"
"01/01/2026","522.65","521.50","534.10","520.25","34.63M","+0.84%"
"12/31/2025","518.30","530.00","537.85","515.00","74.80M","-2.82%"
"12/30/2025","533.35","482.95","538.40","481.00","153.33M","+9.42%"
"12/29/2025","487.45","545.05","545.95","475.60","195.44M","+2.49%"
"12/26/2025","475.60","452.10","480.85","443.25","96.35M","+8.95%"
"12/24/2025","436.55","418.00","439.50","412.70","47.33M","+7.05%"
"12/23/2025","407.80","406.30","415.70","402.50","18.80M","+1.09%"
"12/22/2025","403.40","394.50","408.90","394.20","29.31M","+4.09%"
"12/19/2025","387.55","387.00","390.85","380.55","10.53M","+0.03%"
"12/18/2025","387.45","368.40","389.70","363.20","29.34M","+5.23%"
"12/17/2025","368.20","370.00","374.70","365.00","9.66M","-0.32%"
