"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","1981.30","2000.70","2028.00","1974.00","10.36K","-0.97%"
"07/10/2026","2000.70","2021.80","2032.60","1993.20","5.79K","-0.05%"
"07/09/2026","2001.80","1992.00","2020.70","1992.00","5.50K","+0.52%"
"07/08/2026","1991.50","2015.50","2022.00","1981.00","8.59K","-1.39%"
"07/07/2026","2019.60","2092.00","2092.10","2005.60","10.32K","-2.97%"
"07/06/2026","2081.50","2056.80","2105.60","2027.00","20.92K","+1.54%"
"07/03/2026","2049.90","1978.00","2062.90","1966.60","22.75K","+3.45%"
"07/02/2026","1981.50","1964.00","1997.80","1960.00","5.61K","+0.76%"
"07/01/2026","1966.60","1962.20","2048.90","1943.00","13.79K","+0.21%"
"06/30/2026","1962.40","1966.00","1988.00","1952.60","7.44K","-0.54%"
"06/29/2026","1973.10","2012.50","2016.60","1956.50","9.44K","-1.96%"
"06/25/2026","2012.50","2000.00","2045.00","1964.00","30.33K","+0.39%"
"06/24/2026","2004.70","1933.00","2035.80","1909.40","25.07K","+3.68%"
"06/23/2026","1933.60","1956.60","1957.20","1912.10","13.79K","-1.18%"
"06/22/2026","1956.60","1956.40","1975.00","1929.80","17.39K","+0.58%"
"06/19/2026","1945.40","1923.00","1975.00","1875.00","39.45K","+1.66%"
"06/18/2026","1913.60","1765.00","1972.70","1765.00","159.91K","+7.93%"
"06/17/2026","1773.00","1797.50","1810.00","1768.50","5.28K","-1.28%"
"06/16/2026","1796.00","1770.00","1800.00","1750.00","7.78K","+2.26%"
"06/15/2026","1756.30","1749.70","1773.80","1734.90","10.46K","+3.06%"
"06/12/2026","1704.10","1692.90","1719.00","1642.60","17.54K","+1.69%"
"06/11/2026","1675.80","1696.10","1696.40","1661.00","23.15K","-1.19%"
"06/10/2026","1696.00","1730.00","1747.90","1681.30","26.04K","-1.97%"
"06/09/2026","1730.10","1721.00","1743.20","1712.60","31.16K","-0.22%"
"06/08/2026","1733.90","1727.00","1743.90","1712.70","17.04K","-0.91%"
"06/05/2026","1749.90","1754.90","1771.90","1738.20","15.28K","-0.24%"
"06/04/2026","1754.10","1745.00","1776.00","1742.00","5.81K","+0.49%"
"06/03/2026","1745.60","1757.50","1757.50","1731.10","3.76K","-0.68%"
"06/02/2026","1757.50","1766.20","1794.00","1731.80","7.67K","-0.49%"
"06/01/2026","1766.20","1796.00","1810.00","1765.00","5.12K","-1.62%"
"05/29/2026","1795.30","1822.80","1832.80","1765.90","7.06K","-1.51%"
"05/27/2026","1822.80","1820.10","1833.40","1798.60","5.87K","+0.05%"
"05/26/2026","1821.90","1840.30","1861.70","1820.00","8.29K","-1.00%"
"05/25/2026","1840.30","1821.60","1865.00","1821.60","12.32K","+1.02%"
"05/22/2026","1821.80","1821.00","1835.10","1813.00","5.66K","+0.03%"
"05/21/2026","1821.20","1822.30","1832.90","1814.50","5.39K","-0.25%"
"05/20/2026","1825.80","1813.20","1832.90","1800.00","4.25K","+0.67%"
"05/19/2026","1813.70","1822.00","1827.00","1802.60","5.50K","-0.46%"
"05/18/2026","1822.00","1829.90","1837.70","1753.20","17.29K","-0.15%"
"05/15/2026","1824.80","1827.00","1845.00","1797.00","12.15K","-1.33%"
"05/14/2026","1849.40","1850.10","1876.00","1823.00","7.48K","+0.06%"
"05/13/2026","1848.20","1852.60","1889.90","1827.80","7.73K","-1.23%"
"05/12/2026","1871.30","1860.00","1880.00","1830.10","15.20K","-0.27%"
"05/11/2026","1876.30","1922.00","1934.90","1860.60","10.70K","-2.31%"
"05/08/2026","1920.70","1920.00","1934.00","1910.00","7.22K","-0.17%"
"05/07/2026","1923.90","1908.50","1942.00","1903.20","11.69K","+0.81%"
"05/06/2026","1908.50","1869.80","1915.00","1850.80","11.22K","+2.32%"
"05/05/2026","1865.30","1860.00","1878.90","1856.10","4.32K","+0.12%"
"05/04/2026","1863.10","1880.00","1900.90","1845.70","12.86K","+0.32%"
"04/30/2026","1857.20","1927.90","1960.00","1850.00","14.87K","-3.19%"
"04/29/2026","1918.30","1846.00","1955.00","1834.20","55.89K","+3.36%"
"04/28/2026","1855.90","1807.30","1889.00","1784.40","21.64K","+2.38%"
"04/27/2026","1812.80","1768.00","1855.00","1768.00","13.76K","+2.74%"
"04/24/2026","1764.50","1801.00","1819.50","1756.10","6.97K","-2.02%"
"04/23/2026","1800.80","1824.60","1842.40","1784.10","6.12K","-1.30%"
"04/22/2026","1824.60","1810.00","1830.40","1790.10","6.73K","+0.60%"
"04/21/2026","1813.70","1818.00","1847.30","1782.00","20.19K","+0.78%"
"04/20/2026","1799.60","1801.90","1806.40","1763.00","13.75K","+0.65%"
"04/17/2026","1788.00","1766.20","1795.90","1763.00","10.55K","+1.23%"
"04/16/2026","1766.20","1804.90","1840.80","1729.10","47.53K","-1.76%"
"04/15/2026","1797.80","1814.90","1850.00","1794.00","10.84K","-0.33%"
"04/13/2026","1803.70","1800.20","1820.90","1770.00","4.42K","-1.03%"
"04/10/2026","1822.40","1810.00","1829.00","1792.00","7.09K","+0.66%"
"04/09/2026","1810.40","1758.20","1821.20","1741.00","10.57K","+1.42%"
"04/08/2026","1785.00","1742.00","1805.00","1711.00","38.84K","+6.39%"
"04/07/2026","1677.80","1656.50","1686.00","1656.50","2.59K","-0.20%"
"04/06/2026","1681.20","1674.00","1687.90","1651.80","6.39K","+1.56%"
"04/02/2026","1655.30","1630.00","1674.50","1583.10","10.15K","+1.30%"
"04/01/2026","1634.10","1542.00","1650.00","1542.00","11.16K","+7.89%"
"03/30/2026","1514.60","1573.10","1587.60","1510.00","34.67K","-5.17%"
"03/27/2026","1597.10","1628.00","1635.20","1580.60","27.96K","-1.92%"
"03/25/2026","1628.30","1597.00","1653.90","1561.10","24.46K","+4.30%"
"03/24/2026","1561.10","1600.00","1600.00","1537.00","38.20K","-0.40%"
"03/23/2026","1567.40","1634.00","1651.70","1557.00","25.78K","-4.49%"
"03/20/2026","1641.00","1650.10","1672.90","1634.10","29.86K","-0.80%"
"03/19/2026","1654.20","1726.50","1726.50","1650.00","14.07K","-4.39%"
"03/18/2026","1730.20","1693.00","1735.00","1666.30","15.40K","+2.19%"
"03/17/2026","1693.10","1748.00","1756.40","1688.00","15.68K","-3.09%"
"03/16/2026","1747.00","1804.90","1838.80","1740.00","14.80K","-2.66%"
"03/13/2026","1794.70","1850.20","1852.80","1770.20","23.58K","-3.14%"
"03/12/2026","1852.80","1853.70","1869.00","1825.40","10.97K","-1.06%"
"03/11/2026","1872.60","1872.80","1886.90","1866.20","6.95K","-0.01%"
"03/10/2026","1872.80","1862.10","1883.00","1852.20","7.16K","+0.53%"
"03/09/2026","1862.90","1890.00","1890.00","1840.00","18.78K","-2.99%"
"03/06/2026","1920.30","1965.00","1965.00","1915.00","7.94K","-1.92%"
"03/05/2026","1957.80","1945.00","1992.00","1925.10","5.37K","+0.62%"
"03/04/2026","1945.80","1897.00","1961.60","1897.00","17.11K","+0.47%"
"03/02/2026","1936.70","1863.00","1953.00","1863.00","10.99K","-1.33%"
"02/27/2026","1962.80","1970.00","1973.80","1933.00","4.11K","-0.38%"
"02/26/2026","1970.20","1964.60","1978.10","1952.70","4.29K","+0.29%"
"02/25/2026","1964.60","1942.00","1975.00","1934.30","5.68K","+1.16%"
