"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","286.95","287.70","289.70","286.00","186.18K","-0.95%"
"07/10/2026","289.70","288.50","290.70","273.00","1.04M","+1.13%"
"07/09/2026","286.45","290.40","290.40","285.00","731.68K","-0.14%"
"07/08/2026","286.85","286.50","291.95","284.00","1.07M","+0.24%"
"07/07/2026","286.15","295.85","296.00","284.40","465.94K","-3.28%"
"07/06/2026","295.85","300.00","300.80","294.00","270.15K","-0.75%"
"07/03/2026","298.10","298.00","314.90","297.00","537.28K","-0.65%"
"07/02/2026","300.05","290.00","304.50","289.00","715.02K","-11.75%"
"07/01/2026","340.00","335.00","351.15","332.30","2.03M","+3.96%"
"06/30/2026","327.05","336.00","336.25","325.30","1.75M","-2.46%"
"06/29/2026","335.30","343.80","344.85","333.00","1.52M","-2.53%"
"06/25/2026","344.00","355.55","355.80","343.00","1.40M","-2.51%"
"06/24/2026","352.85","369.30","369.55","351.35","1.93M","-4.45%"
"06/23/2026","369.30","375.00","376.05","368.10","864.36K","-0.94%"
"06/22/2026","372.80","388.45","388.90","372.00","1.34M","-4.03%"
"06/19/2026","388.45","397.10","397.10","385.05","1.13M","-2.81%"
"06/18/2026","399.70","395.00","403.25","394.10","574.66K","+0.60%"
"06/17/2026","397.30","396.95","404.30","395.40","557.07K","+0.79%"
"06/16/2026","394.20","399.70","399.90","388.70","591.26K","-1.38%"
"06/15/2026","399.70","400.00","405.80","393.00","1.60M","+3.02%"
"06/12/2026","388.00","382.00","391.55","376.20","480.22K","+2.97%"
"06/11/2026","376.80","380.00","386.50","375.30","363.75K","-1.18%"
"06/10/2026","381.30","393.80","395.00","379.00","263.06K","-2.77%"
"06/09/2026","392.15","400.00","400.00","390.10","379.14K","-1.96%"
"06/08/2026","400.00","399.50","404.00","393.55","390.77K","-0.12%"
"06/05/2026","400.50","406.00","408.95","398.15","386.97K","-0.57%"
"06/04/2026","402.80","393.70","407.40","377.00","461.46K","+1.27%"
"06/03/2026","397.75","399.90","403.80","391.70","716.32K","+0.20%"
"06/02/2026","396.95","399.00","423.90","393.50","2.74M","+0.04%"
"06/01/2026","396.80","400.00","401.00","388.00","808.53K","-1.08%"
"05/29/2026","401.15","370.00","410.00","370.00","2.60M","+8.48%"
"05/27/2026","369.80","376.00","377.15","368.20","321.30K","-0.46%"
"05/26/2026","371.50","379.00","383.80","369.65","496.02K","-1.59%"
"05/25/2026","377.50","379.40","384.75","375.05","314.14K","+1.21%"
"05/22/2026","373.00","380.75","380.75","370.25","279.57K","-0.27%"
"05/21/2026","374.00","373.05","381.75","366.00","373.24K","+0.38%"
"05/20/2026","372.60","374.00","376.90","369.85","248.82K","-1.05%"
"05/19/2026","376.55","367.30","379.60","367.25","333.03K","+3.24%"
"05/18/2026","364.75","371.90","372.40","361.10","358.56K","-1.39%"
"05/15/2026","369.90","364.05","372.00","362.25","365.93K","+2.15%"
"05/14/2026","362.10","362.65","367.85","361.45","231.01K","+0.35%"
"05/13/2026","360.85","368.75","369.35","359.50","377.54K","-2.01%"
"05/12/2026","368.25","382.90","383.20","367.00","322.65K","-3.33%"
"05/11/2026","380.95","396.00","400.40","376.75","3.90M","-3.91%"
"05/08/2026","396.45","408.90","408.90","393.50","385.33K","-3.06%"
"05/07/2026","408.95","400.00","410.00","397.45","1.22M","+2.87%"
"05/06/2026","397.55","391.40","399.00","387.20","633.72K","+2.40%"
"05/05/2026","388.25","389.15","390.25","382.30","251.54K","-0.51%"
"05/04/2026","390.25","384.00","391.50","382.95","481.02K","+2.68%"
"04/30/2026","380.05","389.65","389.65","375.50","503.93K","-2.80%"
"04/29/2026","391.00","389.45","392.30","387.05","426.84K","+0.40%"
"04/28/2026","389.45","384.30","393.00","383.55","658.57K","+1.68%"
"04/27/2026","383.00","385.65","385.65","379.00","915.66K","-0.22%"
"04/24/2026","383.85","389.00","391.50","374.85","1.55M","-0.56%"
"04/23/2026","386.00","382.80","387.90","378.75","931.78K","+0.82%"
"04/22/2026","382.85","374.00","384.35","372.35","1.01M","+2.30%"
"04/21/2026","374.25","370.00","380.95","368.10","1.52M","+1.84%"
"04/20/2026","367.50","366.15","368.50","360.60","1.42M","+1.30%"
"04/17/2026","362.80","339.50","365.95","339.05","6.73M","+8.14%"
"04/16/2026","335.50","328.00","339.00","323.25","1.43M","+3.02%"
"04/15/2026","325.65","322.00","326.95","318.15","968.75K","+3.61%"
"04/13/2026","314.30","319.60","319.60","313.15","1.36M","-2.89%"
"04/10/2026","323.65","324.40","330.00","321.15","1.20M","+1.24%"
"04/09/2026","319.70","322.95","324.95","316.85","781.26K","-0.47%"
"04/08/2026","321.20","328.35","331.05","319.70","1.55M","+2.65%"
"04/07/2026","312.90","317.00","317.30","307.80","1.26M","-1.40%"
"04/06/2026","317.35","311.95","318.00","306.50","1.01M","+3.00%"
"04/02/2026","308.10","310.80","311.40","301.50","1.29M","-1.00%"
"04/01/2026","311.20","317.00","319.65","309.30","1.23M","+1.29%"
"03/30/2026","307.25","316.00","320.00","303.95","2.39M","-3.27%"
"03/27/2026","317.65","332.85","333.00","315.30","3.95M","-4.09%"
"03/25/2026","331.20","331.00","340.40","329.00","2.73M","+0.78%"
"03/24/2026","328.65","342.10","346.45","327.05","2.43M","-1.98%"
"03/23/2026","335.30","352.40","352.40","329.55","1.03M","-5.44%"
"03/20/2026","354.60","353.50","358.35","348.30","1.32M","+0.08%"
"03/19/2026","354.30","355.00","387.20","346.75","9.90M","-1.31%"
