"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","31.79","30.98","32.27","30.80","4.70M","+1.99%"
"07/10/2026","31.17","31.00","31.60","31.00","2.45M","+1.37%"
"07/09/2026","30.75","30.96","31.46","30.61","3.40M","-0.68%"
"07/08/2026","30.96","31.74","31.81","30.71","3.72M","-2.98%"
"07/07/2026","31.91","32.60","32.60","31.63","2.29M","-1.69%"
"07/06/2026","32.46","33.19","33.19","32.13","2.43M","-1.52%"
"07/03/2026","32.96","33.23","33.62","32.75","2.14M","-0.45%"
"07/02/2026","33.11","32.96","33.32","32.55","3.59M","+1.25%"
"07/01/2026","32.70","31.60","33.74","31.60","8.56M","+3.51%"
"06/30/2026","31.59","31.48","31.79","31.25","2.26M","+0.61%"
"06/29/2026","31.40","32.35","32.40","31.30","3.82M","-3.77%"
"06/25/2026","32.63","33.33","33.47","32.42","2.80M","-1.63%"
"06/24/2026","33.17","33.15","33.33","32.66","3.52M","+0.27%"
"06/23/2026","33.08","34.25","34.25","32.82","3.82M","-3.05%"
"06/22/2026","34.12","34.11","34.65","34.03","4.03M","+0.41%"
"06/19/2026","33.98","34.40","35.13","33.80","11.30M","-1.62%"
"06/18/2026","34.54","34.30","34.83","34.15","7.08M","+0.99%"
"06/17/2026","34.20","33.90","35.04","33.43","11.42M","+1.30%"
"06/16/2026","33.76","32.90","34.28","32.46","14.74M","+3.75%"
"06/15/2026","32.54","32.20","33.35","32.00","10.25M","+3.27%"
"06/12/2026","31.51","30.22","31.70","30.00","12.01M","+6.02%"
"06/11/2026","29.72","30.55","30.58","29.30","8.45M","-2.24%"
"06/10/2026","30.40","32.11","32.35","30.30","9.01M","-4.76%"
"06/09/2026","31.92","32.04","32.39","31.40","9.88M","+0.16%"
"06/08/2026","31.87","33.05","34.39","31.57","27.14M","-4.61%"
"06/05/2026","33.41","30.25","33.90","30.20","120.46M","+11.40%"
"06/04/2026","29.99","30.02","30.35","29.49","6.22M","+0.67%"
"06/03/2026","29.79","30.51","30.51","28.86","8.12M","-1.59%"
"06/02/2026","30.27","30.20","31.12","29.82","7.58M","+0.36%"
"06/01/2026","30.16","31.63","31.66","29.96","7.31M","-3.43%"
"05/29/2026","31.23","31.50","32.45","31.10","6.98M","-0.13%"
"05/27/2026","31.27","31.50","32.73","30.75","19.20M","-0.60%"
"05/26/2026","31.46","31.51","31.95","31.32","2.79M","-0.16%"
"05/25/2026","31.51","32.00","32.48","31.40","5.33M","-0.97%"
"05/22/2026","31.82","32.07","32.25","31.76","1.84M","-0.78%"
"05/21/2026","32.07","32.15","32.55","31.96","1.69M","+0.91%"
"05/20/2026","31.78","31.80","31.98","31.40","2.16M","-1.24%"
"05/19/2026","32.18","31.40","32.33","31.40","2.38M","+2.48%"
"05/18/2026","31.40","31.80","31.99","31.00","3.95M","-2.55%"
"05/15/2026","32.22","32.87","32.93","32.12","2.32M","-1.74%"
"05/14/2026","32.79","32.50","32.86","31.91","2.40M","+0.64%"
"05/13/2026","32.58","32.49","32.72","31.96","2.52M","+1.37%"
"05/12/2026","32.14","33.30","33.52","31.82","3.83M","-3.66%"
"05/11/2026","33.36","34.16","34.21","33.26","3.18M","-3.08%"
"05/08/2026","34.42","34.90","34.95","34.25","4.83M","-1.46%"
"05/07/2026","34.93","34.80","35.63","34.54","5.39M","+0.49%"
"05/06/2026","34.76","34.49","35.11","34.15","4.28M","+1.43%"
"05/05/2026","34.27","34.40","34.80","33.79","3.44M","-0.41%"
"05/04/2026","34.41","34.69","35.10","34.22","2.34M","-0.06%"
"04/30/2026","34.43","34.50","34.89","34.12","1.95M","-1.09%"
"04/29/2026","34.81","35.40","35.75","34.69","1.96M","-0.74%"
"04/28/2026","35.07","34.65","35.60","34.65","1.60M","-0.85%"
"04/27/2026","35.37","34.45","35.77","34.40","2.79M","+3.42%"
"04/24/2026","34.20","35.56","35.98","34.02","3.39M","-3.77%"
"04/23/2026","35.54","36.35","36.77","35.38","3.87M","-2.07%"
"04/22/2026","36.29","35.55","36.49","35.55","3.33M","+1.57%"
"04/21/2026","35.73","35.89","36.52","35.51","3.49M","-0.45%"
"04/20/2026","35.89","36.05","36.78","35.66","5.33M","-1.29%"
"04/17/2026","36.36","35.70","37.35","35.55","5.08M","+2.02%"
"04/16/2026","35.64","35.54","36.08","35.00","4.41M","+1.89%"
"04/15/2026","34.98","34.25","35.19","34.25","3.85M","+3.95%"
"04/13/2026","33.65","32.55","35.16","31.75","6.91M","+1.23%"
"04/10/2026","33.24","32.50","33.59","32.03","4.67M","+3.71%"
"04/09/2026","32.05","31.86","33.03","31.55","4.10M","-0.19%"
"04/08/2026","32.11","31.34","32.75","31.00","6.92M","+5.76%"
"04/07/2026","30.36","30.40","30.83","29.90","2.68M","+0.10%"
"04/06/2026","30.33","29.93","30.49","29.23","4.24M","+1.34%"
"04/02/2026","29.93","30.00","30.17","28.61","5.22M","-1.45%"
