"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","283.30","278.00","287.00","275.10","3.03M","+1.03%"
"07/10/2026","280.40","275.00","282.35","274.00","2.21M","+2.06%"
"07/09/2026","274.75","270.95","277.30","268.45","1.56M","+2.29%"
"07/08/2026","268.60","273.05","283.00","266.55","3.68M","-2.17%"
"07/07/2026","274.55","279.25","281.40","273.30","1.76M","-0.79%"
"07/06/2026","276.75","273.60","279.55","272.55","1.48M","+0.64%"
"07/03/2026","275.00","275.50","278.00","272.80","1.62M","-1.50%"
"07/02/2026","279.20","275.00","283.20","268.75","3.56M","+2.03%"
"07/01/2026","273.65","278.05","281.90","273.00","3.40M","-0.92%"
"06/30/2026","276.18","277.00","279.00","271.98","2.45M","+0.24%"
"06/29/2026","275.52","286.00","287.80","273.63","5.61M","-3.80%"
"06/25/2026","286.40","283.00","291.17","280.80","4.59M","+0.90%"
"06/24/2026","283.85","275.09","285.45","275.00","4.54M","+2.87%"
"06/23/2026","275.94","279.88","283.21","274.89","3.37M","-1.41%"
"06/22/2026","279.88","282.00","284.20","276.80","3.43M","-0.31%"
"06/19/2026","280.76","270.00","290.46","268.54","22.33M","+3.24%"
"06/18/2026","271.95","253.24","274.83","251.00","41.97M","+9.25%"
"06/17/2026","248.92","245.00","254.90","244.21","8.28M","+2.02%"
"06/16/2026","243.98","243.99","247.90","242.42","1.74M","+0.49%"
"06/15/2026","242.79","241.99","245.89","237.01","4.00M","+2.82%"
"06/12/2026","236.13","234.80","236.99","232.01","2.15M","+2.20%"
"06/11/2026","231.04","229.60","235.70","227.10","2.49M","+0.57%"
"06/10/2026","229.74","240.25","240.25","228.80","2.45M","-4.39%"
"06/09/2026","240.30","230.58","245.90","230.58","8.33M","+4.69%"
"06/08/2026","229.54","234.98","239.29","228.61","2.12M","-3.96%"
"06/05/2026","239.01","248.00","248.00","237.63","2.94M","-3.26%"
"06/04/2026","247.06","242.00","250.88","239.11","4.93M","+1.99%"
"06/03/2026","242.25","239.85","244.00","236.43","4.69M","+1.47%"
"06/02/2026","238.75","234.00","241.69","231.73","8.78M","+2.37%"
"06/01/2026","233.22","225.25","243.87","225.00","35.45M","+3.96%"
"05/29/2026","224.33","222.85","228.01","221.01","5.37M","+0.69%"
"05/27/2026","222.80","224.65","226.60","222.02","1.56M","-0.76%"
"05/26/2026","224.51","223.88","228.30","222.74","2.80M","+0.17%"
"05/25/2026","224.14","225.78","226.15","221.86","2.80M","+1.40%"
"05/22/2026","221.05","219.00","224.47","218.61","2.13M","+0.56%"
"05/21/2026","219.82","225.00","226.38","218.09","2.85M","-1.94%"
"05/20/2026","224.18","221.00","228.25","219.54","6.53M","+1.33%"
"05/19/2026","221.24","220.00","224.24","219.56","2.67M","+1.13%"
