"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","269.35","267.00","276.60","265.75","206.59K","-0.07%"
"07/10/2026","269.55","262.95","273.95","260.45","160.20K","+3.73%"
"07/09/2026","259.85","254.10","266.60","254.00","101.25K","+2.73%"
"07/08/2026","252.95","255.90","258.60","249.65","293.14K","-1.63%"
"07/07/2026","257.15","254.60","262.85","254.50","79.89K","-0.37%"
"07/06/2026","258.10","256.70","259.00","253.55","49.08K","+0.56%"
"07/03/2026","256.65","263.05","263.05","255.80","60.73K","-1.46%"
"07/02/2026","260.45","253.70","268.20","253.70","199.92K","+3.11%"
"07/01/2026","252.60","251.00","260.00","250.55","100.67K","+0.32%"
"06/30/2026","251.79","253.39","256.19","249.69","74.15K","-1.24%"
"06/29/2026","254.96","258.10","259.75","253.35","42.41K","-1.34%"
"06/25/2026","258.43","261.30","265.70","255.00","182.46K","-0.70%"
"06/24/2026","260.25","243.14","263.29","243.14","365.07K","+6.33%"
"06/23/2026","244.75","248.25","248.25","235.65","142.24K","-0.73%"
"06/22/2026","246.56","249.47","251.51","245.50","60.89K","-1.17%"
"06/19/2026","249.47","245.00","252.00","244.13","158.00K","+2.28%"
"06/18/2026","243.91","241.18","247.45","237.88","77.26K","+0.27%"
"06/17/2026","243.26","247.25","247.85","240.96","97.74K","-1.70%"
"06/16/2026","247.46","243.28","251.38","243.28","86.42K","+1.33%"
"06/15/2026","244.22","245.90","252.80","241.46","156.84K","+0.73%"
"06/12/2026","242.45","238.21","247.40","234.91","182.48K","+3.61%"
"06/11/2026","234.00","242.00","247.97","230.55","122.17K","-2.87%"
"06/10/2026","240.92","253.00","254.00","239.71","122.34K","-5.00%"
"06/09/2026","253.59","239.89","259.35","239.89","293.06K","+5.38%"
"06/08/2026","240.64","232.00","249.95","230.03","438.59K","+2.47%"
"06/05/2026","234.83","233.93","243.99","228.98","193.63K","+0.39%"
"06/04/2026","233.92","224.00","238.90","224.00","135.10K","+3.25%"
"06/03/2026","226.55","225.45","228.72","222.30","50.63K","-0.20%"
"06/02/2026","227.00","225.00","235.78","218.41","310.28K","+0.63%"
"06/01/2026","225.57","236.39","239.00","223.60","138.84K","-4.57%"
"05/29/2026","236.37","231.00","253.00","231.00","852.34K","+2.66%"
"05/27/2026","230.25","212.30","238.00","208.00","1.09M","+8.96%"
"05/26/2026","211.31","212.00","218.82","209.06","51.48K","-0.68%"
"05/25/2026","212.76","214.75","217.79","210.60","42.27K","-0.92%"
"05/22/2026","214.73","212.20","216.90","206.42","84.43K","+1.71%"
"05/21/2026","211.13","199.00","212.89","196.24","163.57K","+8.65%"
"05/20/2026","194.32","192.53","195.43","190.54","38.76K","+0.16%"
"05/19/2026","194.00","191.02","196.99","191.02","21.62K","+0.99%"
"05/18/2026","192.09","199.19","199.19","189.00","72.65K","-2.56%"
"05/15/2026","197.14","199.40","201.99","196.50","51.44K","-1.49%"
"05/14/2026","200.13","201.79","204.17","195.35","82.88K","-0.82%"
"05/13/2026","201.79","205.14","205.14","198.51","71.39K","+0.56%"
"05/12/2026","200.66","211.00","212.88","199.37","116.63K","-6.02%"
"05/11/2026","213.52","215.20","217.90","212.05","48.13K","-2.79%"
"05/08/2026","219.64","224.01","225.39","218.00","205.14K","-2.62%"
"05/07/2026","225.55","223.80","228.88","223.80","40.70K","+0.45%"
"05/06/2026","224.55","223.05","226.00","219.44","125.67K","+1.30%"
"05/05/2026","221.67","219.49","225.59","213.00","137.13K","+1.56%"
"05/04/2026","218.26","202.66","222.00","202.00","238.90K","+7.70%"
"04/30/2026","202.66","206.50","209.79","199.10","157.05K","-3.31%"
"04/29/2026","209.60","201.57","213.15","199.81","240.73K","+4.89%"
"04/28/2026","199.82","197.98","201.70","196.86","83.61K","+1.58%"
"04/27/2026","196.72","198.89","198.89","192.02","108.22K","+0.55%"
"04/24/2026","195.64","197.00","201.90","193.00","144.78K","-0.13%"
"04/23/2026","195.90","200.90","202.59","193.84","363.77K","-3.75%"
"04/22/2026","203.53","215.99","216.39","199.35","184.82K","-5.48%"
"04/21/2026","215.33","217.50","223.80","213.98","72.28K","+0.10%"
"04/20/2026","215.11","218.06","222.00","212.27","68.11K","-2.33%"
"04/17/2026","220.25","217.81","221.01","217.25","29.45K","+1.38%"
"04/16/2026","217.26","219.00","222.00","215.17","74.08K","+0.05%"
"04/15/2026","217.15","219.20","227.80","215.50","94.16K","-0.23%"
"04/13/2026","217.64","221.80","225.00","215.69","63.66K","-4.96%"
"04/10/2026","229.01","213.01","231.84","213.01","140.04K","+6.32%"
"04/09/2026","215.40","213.70","216.90","204.50","99.04K","+0.58%"
"04/08/2026","214.15","208.00","217.90","201.00","193.72K","+9.05%"
"04/07/2026","196.38","200.73","200.74","195.24","43.92K","-1.24%"
"04/06/2026","198.84","199.99","201.71","193.39","45.53K","+1.65%"
"04/02/2026","195.62","193.00","198.80","189.00","65.51K","+0.25%"
"04/01/2026","195.14","195.82","199.55","193.25","170.18K","+2.84%"
"03/30/2026","189.75","182.51","201.00","181.50","2.37M","+3.97%"
"03/27/2026","182.51","197.01","198.47","181.00","354.70K","-7.38%"
"03/25/2026","197.05","184.79","200.76","184.79","607.71K","+7.17%"
"03/24/2026","183.87","187.50","192.99","182.02","543.82K","+0.30%"
"03/23/2026","183.32","196.10","196.10","179.03","315.69K","-7.93%"
"03/20/2026","199.10","190.99","202.90","190.99","173.01K","+3.59%"
"03/19/2026","192.20","196.50","196.97","190.50","114.80K","-3.08%"
"03/18/2026","198.30","196.90","202.59","196.00","129.31K","+0.71%"
"03/17/2026","196.90","195.00","198.58","195.00","56.25K","+0.66%"
"03/16/2026","195.61","195.00","199.02","189.11","174.63K","+0.62%"
"03/13/2026","194.41","204.00","210.01","191.00","228.97K","-4.63%"
"03/12/2026","203.84","210.74","210.74","202.10","243.67K","-3.76%"
"03/11/2026","211.81","210.00","215.04","210.00","76.44K","+0.25%"
"03/10/2026","211.28","211.60","215.00","208.00","114.74K","+1.34%"
"03/09/2026","208.49","210.00","213.00","200.60","251.24K","-1.81%"
"03/06/2026","212.34","214.00","217.00","211.50","45.49K","-0.75%"
"03/05/2026","213.95","218.98","218.98","209.83","127.70K","-1.00%"
"03/04/2026","216.12","208.30","217.90","207.64","95.62K","-0.11%"
"03/02/2026","216.36","219.00","220.00","208.00","121.39K","-3.51%"
"02/27/2026","224.23","225.00","228.00","220.00","50.23K","-1.17%"
"02/26/2026","226.89","222.36","229.19","221.85","56.41K","+1.95%"
"02/25/2026","222.55","223.70","226.88","220.50","49.56K","-0.67%"
"02/24/2026","224.06","230.70","230.86","220.00","86.49K","-2.79%"
"02/23/2026","230.49","233.00","233.41","229.33","90.08K","-1.35%"
"02/20/2026","233.64","236.01","240.50","228.25","167.25K","-1.59%"
"02/19/2026","237.41","234.00","244.80","232.01","394.77K","+0.32%"
"02/18/2026","236.65","241.27","242.27","233.62","123.39K","-1.91%"
"02/17/2026","241.27","229.70","243.00","226.78","274.21K","+4.75%"
"02/16/2026","230.32","232.50","232.50","220.03","323.99K","-0.51%"
"02/13/2026","231.49","240.26","241.41","228.00","81.68K","-4.60%"
"02/12/2026","242.66","237.15","245.50","230.25","227.36K","+2.12%"
"02/11/2026","237.63","227.00","241.56","226.08","263.46K","+4.61%"
"02/10/2026","227.16","229.50","234.09","220.00","164.23K","-1.27%"
"02/09/2026","230.08","217.00","234.99","209.23","304.05K","+6.30%"
"02/06/2026","216.44","216.20","218.75","213.23","61.53K","+0.07%"
"02/05/2026","216.28","225.45","225.45","215.00","51.45K","-4.16%"
"02/04/2026","225.66","211.00","226.80","208.65","186.41K","+7.16%"
"02/03/2026","210.59","200.00","216.60","199.99","143.28K","+9.92%"
"02/02/2026","191.58","198.01","198.29","185.10","144.27K","-2.32%"
"02/01/2026","196.13","209.15","209.15","188.05","84.54K","-5.29%"
