"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","418.15","421.00","423.90","415.85","79.98K","-1.91%"
"07/10/2026","426.30","424.10","430.50","423.70","73.14K","+0.54%"
"07/09/2026","424.00","418.80","425.40","416.80","38.16K","+1.23%"
"07/08/2026","418.85","427.40","427.40","415.00","125.34K","-2.42%"
"07/07/2026","429.25","432.00","434.45","426.10","140.39K","-0.15%"
"07/06/2026","429.90","441.00","441.00","428.00","163.40K","-2.65%"
"07/03/2026","441.60","439.30","444.95","436.50","83.42K","+0.98%"
"07/02/2026","437.30","440.25","446.20","435.35","84.01K","-0.96%"
"07/01/2026","441.55","449.00","449.70","439.95","84.22K","-1.55%"
"06/30/2026","448.50","467.00","467.00","447.55","105.77K","-3.31%"
"06/29/2026","463.85","455.00","466.75","449.55","144.00K","+0.90%"
"06/25/2026","459.70","457.00","465.70","451.50","234.12K","+0.90%"
"06/24/2026","455.60","455.00","466.60","454.00","161.66K","-0.78%"
"06/23/2026","459.20","458.00","468.90","449.85","247.59K","+0.95%"
"06/22/2026","454.90","442.80","458.90","440.50","225.76K","+3.50%"
"06/19/2026","439.50","429.25","443.85","424.45","187.76K","+2.32%"
"06/18/2026","429.55","432.25","435.20","426.90","88.32K","-0.62%"
"06/17/2026","432.25","433.00","437.30","431.00","72.65K","-0.20%"
"06/16/2026","433.10","433.00","439.55","430.40","139.35K","+0.32%"
"06/15/2026","431.70","435.00","440.95","430.20","161.85K","+0.28%"
"06/12/2026","430.50","428.65","432.25","423.30","82.22K","+1.49%"
"06/11/2026","424.20","432.00","432.00","419.50","98.37K","-1.84%"
"06/10/2026","432.15","436.50","447.90","430.35","164.07K","-1.00%"
"06/09/2026","436.50","421.35","437.70","421.35","125.51K","+3.78%"
"06/08/2026","420.60","425.00","426.90","417.60","67.84K","-1.83%"
"06/05/2026","428.45","428.80","434.35","425.35","59.04K","+0.26%"
"06/04/2026","427.35","415.25","437.70","415.25","155.94K","+2.67%"
"06/03/2026","416.25","420.60","421.55","411.25","74.09K","-1.05%"
"06/02/2026","420.65","415.00","421.90","411.05","61.66K","+0.84%"
"06/01/2026","417.15","423.05","430.00","416.05","119.67K","-1.87%"
"05/29/2026","425.10","427.65","431.80","421.50","96.08K","-0.60%"
"05/27/2026","427.65","433.70","434.75","425.75","64.05K","-1.19%"
"05/26/2026","432.80","436.55","442.00","429.35","60.17K","-0.63%"
"05/25/2026","435.55","430.00","439.70","428.50","132.61K","+1.31%"
"05/22/2026","429.90","433.90","434.25","426.80","104.46K","-0.68%"
"05/21/2026","432.85","440.70","441.45","430.00","113.43K","-0.92%"
"05/20/2026","436.85","441.00","445.80","435.15","79.20K","-1.71%"
"05/19/2026","444.45","439.80","446.00","438.95","100.72K","+1.24%"
"05/18/2026","439.00","441.50","448.10","433.20","137.26K","-0.57%"
"05/15/2026","441.50","459.00","460.20","440.15","224.20K","-6.52%"
"05/14/2026","472.30","475.15","480.70","465.00","66.40K","-0.60%"
"05/13/2026","475.15","469.30","479.95","467.40","61.33K","+1.24%"
"05/12/2026","469.35","487.35","489.95","466.15","192.48K","-3.69%"
"05/11/2026","487.35","473.20","497.00","471.45","255.50K","+1.80%"
"05/08/2026","478.75","479.80","483.00","478.00","73.53K","-0.49%"
"05/07/2026","481.10","485.00","487.75","474.30","122.74K","+0.24%"
"05/06/2026","479.95","484.95","484.95","470.70","175.45K","+2.21%"
"05/05/2026","469.55","475.00","475.00","465.85","94.10K","-1.13%"
"05/04/2026","474.90","468.70","483.00","468.00","188.95K","+2.17%"
"04/30/2026","464.80","470.35","471.90","460.90","152.40K","-1.18%"
"04/29/2026","470.35","471.95","475.80","468.10","74.40K","-0.78%"
"04/28/2026","474.05","467.25","479.80","466.00","393.43K","+1.46%"
"04/27/2026","467.25","455.10","473.15","455.10","196.93K","+2.68%"
"04/24/2026","455.05","452.35","457.95","444.30","91.03K","-0.09%"
"04/23/2026","455.45","457.00","457.80","449.10","93.88K","-0.40%"
"04/22/2026","457.30","452.25","459.90","447.80","98.53K","+1.46%"
"04/21/2026","450.70","449.45","455.40","449.00","90.37K","+0.28%"
"04/20/2026","449.45","457.00","460.30","446.10","85.42K","-1.65%"
"04/17/2026","457.00","454.90","461.30","454.00","101.14K","+0.38%"
"04/16/2026","455.25","457.00","463.30","450.80","146.86K","+0.35%"
"04/15/2026","453.65","442.05","457.80","441.95","192.15K","+3.70%"
"04/13/2026","437.45","425.25","441.75","421.30","121.68K","+0.42%"
"04/10/2026","435.60","434.90","445.85","432.50","164.69K","+1.14%"
"04/09/2026","430.70","424.15","434.75","422.75","193.01K","+1.04%"
"04/08/2026","426.25","419.00","428.65","413.30","194.56K","+4.28%"
"04/07/2026","408.75","405.00","413.90","397.70","184.00K","+1.76%"
"04/06/2026","401.70","402.20","405.00","393.35","176.41K","-1.14%"
"04/02/2026","406.35","393.25","409.60","389.25","165.31K","-0.06%"
"04/01/2026","406.60","396.00","413.85","394.10","221.38K","+5.01%"
"03/30/2026","387.20","389.05","398.70","382.15","799.40K","+0.27%"
"03/27/2026","386.15","407.60","414.00","382.05","462.20K","-4.76%"
"03/25/2026","405.45","395.50","409.90","393.60","247.06K","+2.45%"
"03/24/2026","395.75","395.00","406.40","389.00","396.41K","+1.42%"
"03/23/2026","390.20","405.00","407.90","387.30","311.12K","-5.15%"
"03/20/2026","411.40","428.35","434.60","411.00","243.05K","-3.37%"
"03/19/2026","425.75","427.40","435.35","424.00","100.53K","-2.66%"
"03/18/2026","437.40","434.90","440.40","433.25","87.37K","+1.18%"
"03/17/2026","432.30","431.95","435.60","429.70","102.50K","+0.06%"
"03/16/2026","432.05","444.70","444.70","422.50","261.46K","-1.90%"
"03/13/2026","440.40","447.35","451.50","434.60","122.33K","-3.03%"
"03/12/2026","454.15","452.55","457.30","441.25","302.57K","+0.28%"
"03/11/2026","452.90","456.50","472.40","448.95","763.61K","-1.29%"
"03/10/2026","458.80","439.00","461.50","437.45","338.63K","+4.86%"
