"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","1558.60","1534.50","1565.40","1525.10","1.94M","+1.35%"
"07/10/2026","1537.80","1517.00","1548.00","1504.10","2.04M","+2.02%"
"07/09/2026","1507.40","1468.10","1524.60","1460.00","2.04M","+2.60%"
"07/08/2026","1469.20","1474.90","1495.10","1448.20","1.92M","-0.56%"
"07/07/2026","1477.40","1529.00","1533.70","1469.40","2.33M","-3.39%"
"07/06/2026","1529.20","1543.50","1551.00","1512.70","1.93M","-0.85%"
"07/03/2026","1542.30","1530.00","1555.00","1522.00","3.33M","+0.94%"
"07/02/2026","1528.00","1495.20","1530.00","1476.00","2.76M","+2.32%"
"07/01/2026","1493.30","1525.00","1531.20","1481.00","2.03M","-1.59%"
"06/30/2026","1517.40","1500.30","1522.40","1485.00","3.27M","+1.14%"
"06/29/2026","1500.30","1450.00","1531.20","1450.00","12.32M","+3.47%"
"06/25/2026","1450.00","1455.50","1463.60","1438.60","1.40M","-0.29%"
"06/24/2026","1454.20","1484.00","1492.60","1441.10","2.21M","-1.81%"
"06/23/2026","1481.00","1443.40","1486.00","1435.00","4.01M","+3.14%"
"06/22/2026","1435.90","1415.00","1441.00","1410.50","1.72M","+1.63%"
"06/19/2026","1412.90","1368.00","1424.60","1363.80","2.35M","+3.22%"
"06/18/2026","1368.80","1372.00","1380.00","1352.70","1.65M","-0.07%"
"06/17/2026","1369.80","1376.00","1389.00","1357.10","1.07M","-0.48%"
"06/16/2026","1376.40","1399.70","1406.00","1342.90","3.45M","-0.91%"
"06/15/2026","1389.10","1414.00","1414.00","1381.10","1.24M","-0.37%"
"06/12/2026","1394.30","1408.00","1410.00","1373.80","1.21M","+0.25%"
"06/11/2026","1390.80","1385.00","1408.90","1376.60","1.51M","+0.37%"
"06/10/2026","1385.70","1424.40","1427.00","1380.50","1.33M","-2.72%"
"06/09/2026","1424.40","1415.00","1440.00","1399.80","1.73M","+1.40%"
"06/08/2026","1404.70","1432.00","1457.00","1393.20","2.03M","-2.91%"
"06/05/2026","1446.80","1435.00","1450.10","1428.40","1.52M","+1.37%"
"06/04/2026","1427.20","1392.00","1433.70","1384.00","1.98M","+2.36%"
"06/03/2026","1394.30","1382.00","1396.80","1371.00","1.44M","+0.85%"
"06/02/2026","1382.60","1388.00","1390.70","1370.50","2.36M","-0.42%"
"06/01/2026","1388.40","1372.40","1398.80","1358.00","3.00M","+1.94%"
"05/29/2026","1362.00","1383.00","1393.40","1356.40","1.78M","-1.43%"
"05/27/2026","1381.70","1369.90","1391.50","1365.10","1.31M","+0.57%"
"05/26/2026","1373.90","1361.00","1376.90","1357.00","1.75M","+1.30%"
"05/25/2026","1356.30","1345.00","1363.90","1340.00","1.63M","+0.95%"
"05/22/2026","1343.50","1355.70","1355.70","1332.10","1.70M","-0.56%"
"05/21/2026","1351.00","1373.90","1373.90","1342.20","2.06M","-0.74%"
"05/20/2026","1361.10","1339.00","1363.40","1335.60","2.10M","+1.20%"
"05/19/2026","1344.90","1335.00","1353.10","1322.10","1.88M","+1.33%"
"05/18/2026","1327.30","1323.60","1333.50","1307.60","1.93M","+0.28%"
"05/15/2026","1323.60","1324.00","1327.90","1309.90","2.22M","+0.62%"
"05/14/2026","1315.50","1291.50","1324.10","1283.10","2.38M","+2.73%"
"05/13/2026","1280.50","1275.00","1292.50","1246.60","3.17M","+0.99%"
"05/12/2026","1268.00","1273.00","1289.00","1260.10","2.33M","+0.09%"
"05/11/2026","1266.80","1232.50","1277.30","1221.40","3.03M","+3.13%"
"05/08/2026","1228.30","1206.00","1237.90","1206.00","1.96M","+1.81%"
"05/07/2026","1206.50","1188.70","1223.70","1183.70","2.53M","+2.45%"
"05/06/2026","1177.60","1174.00","1200.60","1164.20","3.55M","+1.16%"
"05/05/2026","1164.10","1172.50","1175.50","1157.70","5.27M","-0.20%"
"05/04/2026","1166.40","1102.20","1171.00","1102.00","4.72M","+5.94%"
"04/30/2026","1100.95","1086.30","1112.95","1080.00","2.36M","-0.47%"
