"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","131.81","129.90","132.32","128.62","1.23M","+0.34%"
"07/10/2026","131.36","129.79","133.39","129.79","1.30M","+1.56%"
"07/09/2026","129.34","128.58","131.22","128.53","996.13K","+0.26%"
"07/08/2026","129.00","132.05","132.86","128.37","1.53M","-3.10%"
"07/07/2026","133.13","133.51","134.55","132.22","955.15K","-0.84%"
"07/06/2026","134.26","134.14","135.84","132.70","1.19M","+0.09%"
"07/03/2026","134.14","135.50","136.00","133.58","1.09M","-0.30%"
"07/02/2026","134.55","136.18","136.43","134.12","1.04M","-0.80%"
"07/01/2026","135.64","131.50","137.47","131.30","6.45M","+3.49%"
"06/30/2026","131.07","131.22","132.25","130.50","1.28M","-0.11%"
"06/29/2026","131.22","133.51","133.64","130.55","1.62M","-2.19%"
"06/25/2026","134.16","136.70","136.89","133.30","1.61M","-1.11%"
"06/24/2026","135.66","136.52","136.95","134.02","1.52M","-0.58%"
"06/23/2026","136.45","139.70","139.79","135.25","2.73M","-1.93%"
"06/22/2026","139.13","138.49","140.49","138.41","1.94M","+1.41%"
"06/19/2026","137.19","138.00","139.17","136.80","1.90M","-1.43%"
"06/18/2026","139.18","141.70","142.90","138.55","2.24M","-1.09%"
"06/17/2026","140.72","139.60","142.25","138.90","3.27M","+1.30%"
"06/16/2026","138.92","138.06","140.45","137.45","1.72M","+0.86%"
"06/15/2026","137.74","139.50","140.45","136.99","2.43M","+1.77%"
"06/12/2026","135.35","132.09","136.00","131.75","1.68M","+3.91%"
"06/11/2026","130.26","131.70","131.70","130.00","1.18M","-2.07%"
"06/10/2026","133.01","135.80","137.88","132.36","1.26M","-2.41%"
"06/09/2026","136.29","134.18","137.00","134.18","1.53M","+2.05%"
"06/08/2026","133.55","133.90","135.60","133.00","1.34M","-2.20%"
"06/05/2026","136.56","136.49","139.10","135.61","1.68M","+0.49%"
"06/04/2026","135.89","133.82","139.15","133.82","2.57M","+0.42%"
"06/03/2026","135.32","135.00","135.90","132.66","1.57M","-0.48%"
"06/02/2026","135.97","133.00","136.50","131.50","1.78M","+1.24%"
"06/01/2026","134.31","136.98","137.74","133.54","1.85M","-1.89%"
"05/29/2026","136.90","140.00","140.56","135.70","2.69M","-1.98%"
"05/27/2026","139.66","139.75","140.95","138.61","2.26M","-0.41%"
"05/26/2026","140.23","142.00","142.85","139.50","2.39M","-1.65%"
"05/25/2026","142.58","141.99","143.60","141.57","2.23M","+1.19%"
"05/22/2026","140.90","141.61","142.75","140.46","2.12M","-0.88%"
"05/21/2026","142.15","144.00","144.57","141.69","1.95M","+0.76%"
"05/20/2026","141.08","140.00","141.35","137.80","1.43M","+0.13%"
"05/19/2026","140.90","141.00","142.78","140.10","1.60M","+0.19%"
"05/18/2026","140.63","140.10","141.14","136.42","2.16M","-1.41%"
"05/15/2026","142.64","145.64","146.61","142.20","1.66M","-2.06%"
