"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","2921.10","2950.00","2950.00","2910.10","99.89K","-1.26%"
"07/10/2026","2958.40","2919.40","2965.00","2917.00","76.14K","+1.45%"
"07/09/2026","2916.20","2930.10","2952.00","2900.00","69.00K","+0.58%"
"07/08/2026","2899.40","2980.00","3000.00","2880.80","144.78K","-2.67%"
"07/07/2026","2978.80","3018.90","3018.90","2950.00","162.75K","-0.90%"
"07/06/2026","3005.90","2976.10","3024.90","2949.10","233.67K","+1.01%"
"07/03/2026","2975.80","3106.10","3114.90","2925.40","601.94K","-3.71%"
"07/02/2026","3090.60","3110.00","3128.30","3070.00","297.92K","-0.21%"
"07/01/2026","3097.00","3049.90","3109.90","3039.50","361.97K","+2.23%"
"06/30/2026","3029.30","3031.10","3066.80","2993.30","316.65K","+0.23%"
"06/29/2026","3022.30","3077.70","3078.10","3010.00","436.98K","-1.04%"
"06/25/2026","3054.00","3178.20","3189.80","3038.60","478.38K","-3.67%"
"06/24/2026","3170.50","3274.80","3335.20","3161.10","481.94K","-2.67%"
"06/23/2026","3257.60","3292.60","3313.70","3232.70","205.61K","-1.52%"
"06/22/2026","3307.90","3299.90","3334.80","3277.10","180.69K","+0.68%"
"06/19/2026","3285.60","3227.00","3302.00","3227.00","265.13K","+0.89%"
"06/18/2026","3256.50","3290.90","3290.90","3227.80","107.20K","-0.34%"
"06/17/2026","3267.70","3284.00","3284.00","3218.70","102.69K","+0.11%"
"06/16/2026","3264.20","3249.00","3312.80","3227.00","283.23K","+1.18%"
"06/15/2026","3226.10","3192.00","3258.90","3169.90","261.68K","+2.68%"
"06/12/2026","3141.80","3000.00","3172.20","3000.00","260.59K","+5.60%"
"06/11/2026","2975.30","3060.30","3074.70","2962.00","250.99K","-2.84%"
"06/10/2026","3062.30","3127.00","3136.50","3030.50","211.73K","-1.39%"
"06/09/2026","3105.50","3072.60","3170.10","3060.10","776.61K","+1.62%"
"06/08/2026","3056.10","3082.60","3140.00","3026.00","761.47K","-2.33%"
"06/05/2026","3129.00","3099.80","3157.00","3076.60","192.37K","+0.99%"
"06/04/2026","3098.40","3051.00","3160.00","3042.60","207.11K","+0.92%"
"06/03/2026","3070.20","3131.00","3131.00","3030.50","194.89K","-1.30%"
