"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","18.21","18.15","18.24","17.65","172.71K","+0.28%"
"07/10/2026","18.16","18.07","18.39","18.00","46.27K","+1.45%"
"07/09/2026","17.90","17.82","18.00","17.82","22.39K","+1.99%"
"07/08/2026","17.55","18.00","18.00","17.53","90.20K","-2.50%"
"07/07/2026","18.00","18.34","18.34","17.90","52.75K","-0.44%"
"07/06/2026","18.08","18.28","18.68","17.88","172.59K","+0.22%"
"07/03/2026","18.04","17.96","18.29","17.94","109.47K","+0.45%"
"07/02/2026","17.96","17.89","17.98","17.82","41.98K","+0.84%"
"07/01/2026","17.81","18.03","18.03","17.75","41.67K","+0.34%"
"06/30/2026","17.75","17.83","17.83","17.60","39.03K","+0.51%"
"06/29/2026","17.66","17.76","18.57","17.58","47.91K","-0.56%"
"06/25/2026","17.76","17.88","17.88","17.73","21.62K","+0.17%"
"06/24/2026","17.73","18.00","18.00","17.69","32.89K","+0.00%"
