"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","29.95","29.97","29.99","29.60","6.70K","-0.07%"
"07/10/2026","29.97","29.89","30.00","29.81","37.06K","+1.18%"
"07/09/2026","29.62","29.51","29.73","29.51","21.15K","+0.61%"
"07/08/2026","29.44","30.08","30.08","29.32","131.61K","-2.13%"
"07/07/2026","30.08","30.18","30.58","30.06","611.29K","-0.17%"
"07/06/2026","30.13","29.53","30.26","29.53","103.43K","+1.41%"
"07/03/2026","29.71","29.78","29.84","29.60","1.07M","-0.17%"
"07/02/2026","29.76","29.70","29.82","29.65","14.11K","+0.78%"
"07/01/2026","29.53","29.57","29.63","29.46","14.33K","+0.14%"
"06/30/2026","29.49","29.48","29.61","29.34","3.66K","-0.03%"
"06/29/2026","29.50","29.88","29.88","29.36","8.42K","-0.51%"
"06/25/2026","29.65","29.89","29.89","29.60","47.43K","-0.54%"
"06/24/2026","29.81","29.62","29.86","29.50","6.26K","+1.05%"
"06/23/2026","29.50","29.88","29.89","29.50","5.09K","-1.04%"
"06/22/2026","29.81","29.61","29.86","29.61","25.15K","+0.68%"
"06/19/2026","29.61","29.69","29.70","29.48","154.52K","-0.34%"
"06/18/2026","29.71","29.61","29.75","29.61","79.13K","+0.37%"
"06/17/2026","29.60","29.58","29.69","29.46","150.40K","+0.54%"
"06/16/2026","29.44","29.49","29.86","29.18","9.56K","-0.17%"
"06/15/2026","29.49","29.50","29.71","29.15","3.26M","+1.44%"
"06/12/2026","29.07","29.24","29.24","28.61","215.46K","+2.18%"
"06/11/2026","28.45","28.74","28.74","28.40","3.39K","-0.14%"
"06/10/2026","28.49","28.33","29.29","28.33","7.76K","-1.04%"
"06/09/2026","28.79","28.70","29.09","28.51","7.14K","+0.70%"
"06/08/2026","28.59","28.54","28.72","28.42","13.39K","-1.58%"
"06/05/2026","29.05","28.92","29.49","28.77","17.87K","+0.45%"
"06/04/2026","28.92","28.32","29.18","28.32","5.41K","+0.07%"
"06/03/2026","28.90","29.43","29.43","28.53","10.51K","+0.10%"
"06/02/2026","28.87","28.78","29.04","28.63","13.56K","-0.17%"
"06/01/2026","28.92","29.64","29.95","28.85","54.00K","-1.33%"
"05/29/2026","29.31","29.68","29.68","29.15","5.09K","-0.81%"
"05/27/2026","29.55","29.50","29.61","29.46","12.72K","+0.17%"
"05/26/2026","29.50","29.51","29.63","29.42","30.20K","-0.03%"
"05/25/2026","29.51","29.42","29.54","29.39","7.30K","+0.96%"
"05/22/2026","29.23","29.15","29.25","29.15","890","+0.27%"
"05/21/2026","29.15","29.28","29.32","29.04","5.99K","+0.03%"
