"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","23.56","23.56","23.58","22.59","281.93K","+0.30%"
"07/10/2026","23.49","23.24","23.56","23.24","35.37K","+1.08%"
"07/09/2026","23.24","23.39","23.39","23.08","16.23K","+1.35%"
"07/08/2026","22.93","23.16","23.48","22.78","77.90K","-1.46%"
"07/07/2026","23.27","23.43","23.43","23.15","14.12K","-0.21%"
"07/06/2026","23.32","23.43","23.46","23.02","99.04K","+0.52%"
"07/03/2026","23.20","23.39","23.40","23.02","524.01K","-0.17%"
"07/02/2026","23.24","23.33","23.35","23.21","196.04K","+0.09%"
"07/01/2026","23.22","23.14","23.28","23.10","23.70K","+0.35%"
"06/30/2026","23.14","22.99","23.24","22.95","14.76K","+0.65%"
"06/29/2026","22.99","23.14","23.78","22.56","47.06K","-0.65%"
"06/25/2026","23.14","23.24","23.48","23.13","23.66K","-0.34%"
"06/24/2026","23.22","23.72","23.72","23.02","27.03K","-0.13%"
"06/23/2026","23.25","23.50","23.52","23.14","53.70K","-0.81%"
"06/22/2026","23.44","23.28","23.49","23.28","91.47K","+0.69%"
"06/19/2026","23.28","23.19","23.30","23.11","44.23K","+0.39%"
"06/18/2026","23.19","23.12","23.23","23.10","36.47K","+0.43%"
"06/17/2026","23.09","22.41","23.17","22.41","18.58K","+0.43%"
"06/16/2026","22.99","22.90","23.18","22.63","92.19K","+0.39%"
"06/15/2026","22.90","23.02","23.17","22.66","291.62K","+1.46%"
"06/12/2026","22.57","22.29","22.66","22.24","32.71K","+2.17%"
"06/11/2026","22.09","22.47","22.55","22.03","31.91K","-0.81%"
"06/10/2026","22.27","22.60","22.60","22.25","15.40K","-1.46%"
"06/09/2026","22.60","22.36","22.62","22.36","21.56K","+1.12%"
"06/08/2026","22.35","22.54","22.55","22.18","63.11K","-0.84%"
"06/05/2026","22.54","22.69","22.89","22.40","52.69K","-0.31%"
"06/04/2026","22.61","22.64","22.80","22.59","12.32K","+0.31%"
"06/03/2026","22.54","22.60","22.66","22.35","40.00K","-0.27%"
"06/02/2026","22.60","23.03","23.03","22.32","47.86K","+0.09%"
"06/01/2026","22.58","23.15","23.15","22.53","284.50K","-2.63%"
"05/29/2026","23.19","23.20","23.73","22.27","69.47K","-0.26%"
"05/27/2026","23.25","23.29","23.29","22.87","36.21K","+0.30%"
"05/26/2026","23.18","23.58","23.58","22.86","111.98K","+0.74%"
"05/25/2026","23.01","22.98","23.10","22.94","29.43K","+0.70%"
"05/22/2026","22.85","22.88","23.14","22.53","65.69K","+0.18%"
"05/21/2026","22.81","22.99","22.99","22.75","37.53K","+0.00%"
"05/20/2026","22.81","22.93","22.93","22.43","75.34K","-0.04%"
"05/19/2026","22.82","22.25","22.94","22.25","29.17K","+1.51%"
"05/18/2026","22.48","22.72","22.72","22.11","88.66K","-0.13%"
"05/15/2026","22.51","23.24","23.24","22.22","55.45K","-0.75%"
"05/14/2026","22.68","22.47","23.00","22.32","46.85K","+0.93%"
"05/13/2026","22.47","22.53","22.63","22.20","51.20K","+0.58%"
"05/12/2026","22.34","22.86","22.89","22.10","93.48K","-2.27%"
"05/11/2026","22.86","23.25","23.25","22.71","109.97K","-1.04%"
"05/08/2026","23.10","23.13","23.23","22.92","68.32K","-0.22%"
"05/07/2026","23.15","22.29","23.18","22.29","65.23K","+1.22%"
"05/06/2026","22.87","22.74","22.95","22.49","94.64K","+1.28%"
"05/05/2026","22.58","22.67","22.80","22.36","59.50K","+0.18%"
"05/04/2026","22.54","22.57","22.74","22.21","55.85K","+1.81%"
"04/30/2026","22.14","22.67","22.67","22.08","80.59K","-1.38%"
"04/29/2026","22.45","23.07","23.07","22.31","70.95K","-0.27%"
"04/28/2026","22.51","21.88","22.64","21.88","37.50K","+0.27%"
"04/27/2026","22.45","22.47","22.59","22.10","108.83K","+1.68%"
"04/24/2026","22.08","22.80","22.80","21.96","102.46K","-0.76%"
"04/23/2026","22.25","22.50","22.60","22.01","172.72K","-1.11%"
"04/22/2026","22.50","22.54","22.62","18.97","201.16K","-1.62%"
"04/21/2026","22.87","22.36","23.00","22.36","378.22K","+2.51%"
"04/20/2026","22.31","22.40","22.89","22.13","86.15K","-0.53%"
"04/17/2026","22.43","21.64","22.68","21.64","230.97K","+1.59%"
"04/16/2026","22.08","22.06","22.25","21.83","127.52K","+0.23%"
"04/15/2026","22.03","21.89","22.10","21.81","145.37K","+3.14%"
"04/13/2026","21.36","21.50","21.60","21.03","170.04K","-1.02%"
"04/10/2026","21.58","21.35","21.60","21.35","197.81K","+1.70%"
"04/09/2026","21.22","21.01","21.42","21.01","121.16K","+0.09%"
"04/08/2026","21.20","20.50","21.67","20.50","202.28K","+4.28%"
"04/07/2026","20.33","20.64","21.17","20.10","234.93K","-0.20%"
"04/06/2026","20.37","20.84","20.85","19.92","165.04K","-1.21%"
"04/02/2026","20.62","19.87","21.30","19.52","148.84K","+3.51%"
"04/01/2026","19.92","20.24","20.98","19.31","290.61K","+0.91%"
"03/30/2026","19.74","20.57","20.60","19.53","550.34K","-4.55%"
"03/27/2026","20.68","20.81","20.94","20.32","83.16K","-0.77%"
"03/25/2026","20.84","20.28","20.92","20.28","175.97K","+3.02%"
"03/24/2026","20.23","19.82","20.49","19.82","220.34K","+2.12%"
"03/23/2026","19.81","20.28","20.68","19.50","551.38K","-4.30%"
"03/20/2026","20.70","20.63","20.81","20.43","110.89K","+1.37%"
"03/19/2026","20.42","20.89","20.93","20.33","284.03K","-2.67%"
"03/18/2026","20.98","21.11","21.11","20.70","4.84M","+1.84%"
"03/17/2026","20.60","20.46","20.79","20.37","10.32M","+0.78%"
"03/16/2026","20.44","20.62","20.69","20.15","297.88K","-2.29%"
"03/13/2026","20.92","21.56","21.56","20.46","344.09K","-1.04%"
"03/12/2026","21.14","21.34","21.35","20.76","367.42K","-1.03%"
"03/11/2026","21.36","21.45","21.55","21.20","98.27K","+0.00%"
"03/10/2026","21.36","21.42","21.42","21.21","51.70K","+0.95%"
"03/09/2026","21.16","21.36","21.37","20.74","377.80K","-1.72%"
"03/06/2026","21.53","21.48","21.76","21.44","97.15K","+0.05%"
"03/05/2026","21.52","21.67","21.93","21.15","419.13K","+0.75%"
"03/04/2026","21.36","22.30","22.30","21.13","579.81K","-4.51%"
"03/02/2026","22.37","22.87","24.25","21.51","305.02K","+0.22%"
"02/27/2026","22.32","22.42","22.59","22.20","186.82K","-0.53%"
"02/26/2026","22.44","22.12","22.66","22.12","53.38K","+1.04%"
"02/25/2026","22.21","22.50","22.50","22.16","104.67K","-0.22%"
"02/24/2026","22.26","22.07","22.60","21.92","54.18K","+0.50%"
"02/23/2026","22.15","22.63","22.63","22.10","45.75K","-0.98%"
"02/20/2026","22.37","21.60","22.58","21.60","68.55K","+1.68%"
"02/19/2026","22.00","22.57","22.57","21.86","45.28K","-1.74%"
"02/18/2026","22.39","22.71","22.71","22.13","67.97K","+0.18%"
"02/17/2026","22.35","22.22","22.42","22.22","27.58K","+0.59%"
"02/16/2026","22.22","22.24","22.47","22.06","32.16K","-0.18%"
"02/13/2026","22.26","22.77","22.77","22.11","95.57K","-2.24%"
"02/12/2026","22.77","22.52","23.20","22.45","29.93K","+0.53%"
"02/11/2026","22.65","23.01","23.01","22.32","39.55K","+0.09%"
"02/10/2026","22.63","22.55","22.72","22.55","57.13K","+0.62%"
"02/09/2026","22.49","22.46","22.67","22.35","47.02K","+0.67%"
"02/06/2026","22.34","22.20","22.50","21.94","55.26K","+0.54%"
"02/05/2026","22.22","22.18","22.28","21.84","29.25K","+0.68%"
"02/04/2026","22.07","22.28","22.28","21.89","118.97K","+0.14%"
"02/03/2026","22.04","22.45","22.69","21.93","211.23K","+2.61%"
"02/02/2026","21.48","21.79","21.87","21.10","66.37K","-1.51%"
"02/01/2026","21.81","21.89","22.50","21.00","123.44K","+0.09%"
"01/30/2026","21.79","21.77","21.87","21.50","68.94K","+0.09%"
"01/29/2026","21.77","22.04","22.04","21.55","39.93K","+0.00%"
"01/28/2026","21.77","21.46","21.88","21.46","80.69K","+1.59%"
"01/27/2026","21.43","21.48","21.76","21.17","85.10K","+0.28%"
"01/23/2026","21.37","21.74","21.74","21.30","54.82K","-1.52%"
"01/22/2026","21.70","21.68","21.89","21.47","65.64K","+1.40%"
"01/21/2026","21.40","21.02","21.87","21.02","159.63K","-0.74%"
"01/20/2026","21.56","22.67","22.67","21.33","187.64K","-2.53%"
"01/19/2026","22.12","22.59","22.59","22.10","28.75K","-0.49%"
"01/16/2026","22.23","22.38","22.43","22.11","36.58K","-0.27%"
"01/14/2026","22.29","22.16","22.38","21.96","145.74K","+0.54%"
"01/13/2026","22.17","22.40","22.43","22.07","65.00K","-0.54%"
"01/12/2026","22.29","22.22","22.48","21.96","146.57K","+0.32%"
"01/09/2026","22.22","22.58","22.58","22.19","98.07K","-1.07%"
"01/08/2026","22.46","23.43","23.43","22.41","67.78K","-1.75%"
"01/07/2026","22.86","22.98","23.01","22.75","43.64K","+0.48%"
"01/06/2026","22.75","22.87","22.91","22.70","69.59K","-0.44%"
"01/05/2026","22.85","23.15","23.15","22.80","79.91K","-0.31%"
"01/02/2026","22.92","23.17","23.17","22.54","132.86K","+1.37%"
"01/01/2026","22.61","22.44","22.69","22.43","87.94K","+0.27%"
"12/31/2025","22.55","22.42","22.66","22.42","53.73K","+1.08%"
"12/30/2025","22.31","22.79","22.79","22.19","91.88K","-0.49%"
"12/29/2025","22.42","23.07","23.07","22.05","45.54K","-0.40%"
"12/26/2025","22.51","22.54","22.63","22.46","36.20K","-0.04%"
"12/24/2025","22.52","22.31","23.60","22.20","446.56K","-0.40%"
"12/23/2025","22.61","22.66","22.70","22.51","129.11K","-0.09%"
"12/22/2025","22.63","22.59","22.66","22.29","42.89K","+1.03%"
"12/19/2025","22.40","22.28","22.43","22.20","12.16K","+0.90%"
"12/18/2025","22.20","22.16","22.48","22.00","38.57K","+0.18%"
"12/17/2025","22.16","22.24","22.28","22.12","11.74K","-0.36%"
"12/16/2025","22.24","21.87","22.60","21.87","21.50K","-0.89%"
"12/15/2025","22.44","22.30","22.48","22.25","19.25K","+0.13%"
"12/12/2025","22.41","22.05","22.42","22.02","59.50K","+1.27%"
"12/11/2025","22.13","22.39","22.40","21.98","44.56K","+0.41%"
"12/10/2025","22.04","22.67","22.67","22.01","30.20K","-0.36%"
"12/09/2025","22.12","22.39","22.39","21.80","173.55K","-0.18%"
"12/08/2025","22.16","22.53","22.68","22.06","57.74K","-1.64%"
"12/05/2025","22.53","23.01","23.01","22.14","489.13K","+0.36%"
"12/04/2025","22.45","22.45","22.51","22.40","8.11K","-0.04%"
"12/03/2025","22.46","22.75","22.75","22.35","16.51K","-0.58%"
"12/02/2025","22.59","22.66","22.73","22.55","11.06K","-0.31%"
"12/01/2025","22.66","23.21","23.21","22.51","34.14K","+0.04%"
"11/28/2025","22.65","22.89","23.70","22.61","108.06K","-0.18%"
"11/27/2025","22.69","22.89","22.89","22.59","33.96K","+0.09%"
"11/26/2025","22.67","22.73","22.91","22.52","20.63K","+0.93%"
"11/25/2025","22.46","22.39","22.48","22.35","10.37K","+0.67%"
"11/24/2025","22.31","22.57","22.71","22.30","67.30K","-1.15%"
"11/21/2025","22.57","22.89","22.89","22.48","13.91K","-0.66%"
"11/20/2025","22.72","22.51","22.89","22.51","21.79K","+0.00%"
"11/19/2025","22.72","22.61","22.90","22.59","47.63K","+0.44%"
"11/18/2025","22.62","22.18","23.31","22.18","19.83K","-0.57%"
"11/17/2025","22.75","23.07","23.07","22.65","17.72K","+0.44%"
"11/14/2025","22.65","22.63","22.74","22.51","58.94K","+0.13%"
"11/13/2025","22.62","22.89","22.89","22.59","13.75K","+0.04%"
"11/12/2025","22.61","23.02","23.02","22.23","35.26K","+0.67%"
"11/11/2025","22.46","22.54","22.54","22.30","7.44K","+0.13%"
"11/10/2025","22.43","22.41","22.60","22.30","45.33K","+0.58%"
"11/07/2025","22.30","22.23","22.37","22.01","12.58K","+0.31%"
"11/06/2025","22.23","22.55","22.55","22.17","17.05K","-0.94%"
"11/04/2025","22.44","23.04","23.04","21.91","27.88K","-0.18%"
"11/03/2025","22.48","22.35","22.49","22.33","18.67K","+0.58%"
"10/31/2025","22.35","22.37","22.54","22.33","39.94K","-0.09%"
"10/30/2025","22.37","22.93","22.93","22.30","7.80K","-0.04%"
"10/29/2025","22.38","22.32","22.46","22.31","18.63K","+0.31%"
"10/28/2025","22.31","22.48","22.49","22.20","10.38K","+0.09%"
"10/27/2025","22.29","22.39","22.39","22.19","8.85K","+0.50%"
"10/24/2025","22.18","22.38","22.38","22.03","58.17K","-0.09%"
"10/23/2025","22.20","22.31","22.35","21.83","53.39K","-0.49%"
"10/21/2025","22.31","22.30","22.37","22.21","15.82K","+0.54%"
"10/20/2025","22.19","22.20","22.23","22.05","33.65K","+0.59%"
"10/17/2025","22.06","22.46","22.46","21.84","26.24K","-0.36%"
"10/16/2025","22.14","22.04","22.27","22.04","173.74K","+0.45%"
"10/15/2025","22.04","22.19","22.19","21.94","17.78K","+0.73%"
"10/14/2025","21.88","21.71","22.19","21.71","156.69K","-0.59%"
"10/13/2025","22.01","22.59","22.59","21.89","25.32K","-0.14%"
"10/10/2025","22.04","22.10","22.10","21.86","116.83K","+0.87%"
"10/09/2025","21.85","22.09","22.09","21.72","115.05K","+0.37%"
"10/08/2025","21.77","22.18","22.18","21.68","17.49K","-0.41%"
"10/07/2025","21.86","22.14","22.14","21.79","137.67K","+0.32%"
"10/06/2025","21.79","22.15","22.18","21.60","245.68K","+0.46%"
"10/03/2025","21.69","21.84","21.84","21.45","23.76K","+1.59%"
"10/01/2025","21.35","21.11","21.69","21.11","49.37K","+0.42%"
"09/30/2025","21.26","21.11","22.35","21.03","48.82K","-0.14%"
"09/29/2025","21.29","20.74","21.75","20.74","15.40K","+0.05%"
"09/26/2025","21.28","21.63","21.98","21.25","35.65K","-1.57%"
"09/25/2025","21.62","22.17","22.17","21.41","15.39K","-0.87%"
