"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","20.38","20.35","20.46","20.21","20.15K","+0.15%"
"07/10/2026","20.35","20.27","20.42","20.27","7.90K","+0.89%"
"07/09/2026","20.17","20.15","20.23","20.07","2.99K","+0.30%"
"07/08/2026","20.11","20.41","20.58","20.04","126.50K","-1.52%"
"07/07/2026","20.42","20.40","20.48","20.30","8.24K","+0.49%"
"07/06/2026","20.32","20.37","20.41","20.20","191.98K","+0.05%"
"07/03/2026","20.31","20.30","20.38","20.21","29.76K","+0.49%"
"07/02/2026","20.21","20.14","20.21","20.09","29.06K","+1.15%"
"07/01/2026","19.98","19.95","20.02","19.92","14.47K","+0.60%"
"06/30/2026","19.86","20.00","20.00","19.81","7.03K","-0.55%"
"06/29/2026","19.97","20.29","20.29","19.90","21.07K","-0.60%"
"06/25/2026","20.09","20.12","20.26","20.09","5.76K","+0.10%"
"06/24/2026","20.07","20.19","20.19","20.07","14.14K","-0.35%"
"06/23/2026","20.14","20.28","20.48","20.12","16.33K","-0.69%"
"06/22/2026","20.28","20.21","20.51","20.21","32.64K","-0.15%"
"06/19/2026","20.31","20.47","20.57","20.19","38.43K","-0.88%"
"06/18/2026","20.49","20.54","20.55","20.46","17.30K","-0.24%"
"06/17/2026","20.54","20.39","20.70","20.31","10.61K","+1.03%"
"06/16/2026","20.33","20.14","20.43","20.14","15.74K","+0.94%"
"06/15/2026","20.14","20.16","20.27","20.11","40.77K","+0.15%"
"06/12/2026","20.11","19.95","20.20","19.85","13.89K","+1.62%"
"06/11/2026","19.79","19.94","19.95","19.79","28.54K","-1.35%"
"06/10/2026","20.06","20.18","20.27","20.00","13.54K","-0.45%"
"06/09/2026","20.15","20.11","20.30","19.93","11.29K","+0.50%"
"06/08/2026","20.05","20.20","20.31","19.81","9.18K","-0.79%"
"06/05/2026","20.21","20.35","20.35","20.10","8.15K","-0.30%"
"06/04/2026","20.27","20.15","20.33","20.15","6.95K","+0.45%"
"06/03/2026","20.18","20.45","20.45","20.08","28.76K","-1.56%"
"06/02/2026","20.50","20.26","20.54","20.21","14.30K","+1.13%"
"06/01/2026","20.27","20.53","20.68","20.18","9.92K","-0.78%"
"05/29/2026","20.43","20.87","20.98","20.38","52.49K","-1.26%"
"05/27/2026","20.69","20.54","20.73","20.47","14.32K","+0.49%"
"05/26/2026","20.59","20.50","20.71","20.42","22.96K","+0.44%"
"05/25/2026","20.50","20.54","20.62","20.46","18.68K","-0.19%"
"05/22/2026","20.54","20.47","21.15","20.43","24.72K","+0.34%"
"05/21/2026","20.47","20.60","20.60","20.42","5.37K","+0.49%"
"05/20/2026","20.37","20.27","20.40","20.27","7.38K","-0.39%"
"05/19/2026","20.45","20.41","20.61","20.41","4.41K","+1.24%"
"05/18/2026","20.20","20.13","20.78","19.93","9.07K","-0.69%"
"05/15/2026","20.34","20.41","20.47","20.29","16.68K","+0.05%"
"05/14/2026","20.33","20.46","20.46","20.21","9.77K","-0.15%"
"05/13/2026","20.36","20.39","20.42","20.22","10.78K","-0.34%"
"05/12/2026","20.43","20.50","20.69","20.15","13.25K","-1.30%"
"05/11/2026","20.70","20.79","20.80","20.23","6.55K","-0.48%"
"05/08/2026","20.80","20.70","20.96","20.70","10.23K","+0.19%"
"05/07/2026","20.76","20.74","20.90","20.73","37.60K","+0.34%"
"05/06/2026","20.69","20.69","20.98","20.63","27.86K","+0.19%"
"05/05/2026","20.65","20.79","20.79","20.50","26.51K","-0.82%"
"05/04/2026","20.82","20.77","21.90","19.75","67.26K","+0.00%"
"04/30/2026","20.82","20.45","20.85","20.30","27.84K","+1.46%"
"04/29/2026","20.52","20.59","20.65","20.48","11.44K","+0.64%"
"04/28/2026","20.39","20.45","20.59","20.31","14.03K","-0.10%"
"04/27/2026","20.41","20.49","20.49","20.05","8.46K","+1.19%"
"04/24/2026","20.17","20.28","20.29","20.08","4.01K","-1.37%"
"04/23/2026","20.45","20.38","20.54","20.38","19.81K","-0.73%"
"04/22/2026","20.60","20.60","20.64","20.51","75.14K","-0.29%"
"04/21/2026","20.66","20.59","21.08","20.59","88.98K","+0.34%"
"04/20/2026","20.59","20.34","20.66","20.34","15.96K","-0.05%"
"04/17/2026","20.60","20.26","20.63","20.26","28.12K","+2.03%"
"04/16/2026","20.19","20.23","20.49","20.13","22.44K","+0.30%"
"04/15/2026","20.13","19.76","20.24","19.76","11.09K","+2.08%"
"04/13/2026","19.72","19.74","19.82","19.60","21.04K","-1.00%"
"04/10/2026","19.92","19.78","20.00","19.78","14.93K","+0.96%"
"04/09/2026","19.73","20.30","20.30","19.51","17.01K","-0.35%"
"04/08/2026","19.80","19.51","20.50","19.51","30.24K","+2.38%"
