"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","30.58","30.62","30.78","30.30","11.01K","-0.16%"
"07/10/2026","30.63","30.41","30.72","30.41","224.67K","+1.36%"
"07/09/2026","30.22","30.30","30.42","30.18","111.88K","+0.67%"
"07/08/2026","30.02","30.31","30.48","29.85","354.81K","-0.96%"
"07/07/2026","30.31","31.50","31.50","30.21","178.75K","-1.40%"
"07/06/2026","30.74","30.62","30.80","30.55","532.29K","+0.89%"
"07/03/2026","30.47","30.84","30.87","30.42","2.11M","-1.14%"
"07/02/2026","30.82","30.79","30.97","30.70","64.21K","+0.13%"
"07/01/2026","30.78","30.91","31.05","30.75","31.09K","+0.85%"
"06/30/2026","30.52","30.81","30.96","30.50","33.13K","-1.36%"
"06/29/2026","30.94","31.25","31.43","30.62","227.10K","-0.80%"
"06/25/2026","31.19","31.30","31.46","31.14","25.96K","-0.10%"
"06/24/2026","31.22","31.07","31.28","30.92","38.22K","+0.77%"
"06/23/2026","30.98","30.67","31.48","30.67","20.52K","-1.02%"
"06/22/2026","31.30","31.14","31.67","30.99","31.00K","+1.00%"
"06/19/2026","30.99","31.18","31.33","30.57","26.27K","-0.77%"
"06/18/2026","31.23","31.23","31.30","31.08","27.79K","+0.48%"
"06/17/2026","31.08","31.06","31.16","30.80","61.75K","+0.55%"
"06/16/2026","30.91","31.49","31.49","30.64","31.57K","-1.06%"
"06/15/2026","31.24","31.01","31.50","30.71","46.38K","+2.76%"
"06/12/2026","30.40","30.06","30.98","29.74","15.52K","+2.77%"
"06/11/2026","29.58","29.71","29.71","29.50","15.56K","-0.77%"
"06/10/2026","29.81","29.89","30.17","29.64","25.59K","-0.77%"
"06/09/2026","30.04","29.80","30.15","29.74","33.41K","+2.21%"
"06/08/2026","29.39","30.24","30.24","29.03","100.61K","-2.81%"
"06/05/2026","30.24","30.09","30.29","29.99","14.93K","+0.70%"
"06/04/2026","30.03","30.55","30.55","29.95","16.64K","+0.27%"
"06/03/2026","29.95","29.87","30.09","29.64","45.96K","-0.50%"
"06/02/2026","30.10","29.57","30.88","29.55","28.15K","+0.37%"
"06/01/2026","29.99","30.59","30.72","29.98","36.90K","-1.90%"
"05/29/2026","30.57","31.51","31.51","30.49","27.51K","-1.42%"
"05/27/2026","31.01","30.67","31.09","30.67","35.99K","+0.62%"
"05/26/2026","30.82","30.83","30.95","30.70","18.52K","-0.13%"
"05/25/2026","30.86","30.67","31.11","30.58","273.03K","+1.21%"
"05/22/2026","30.49","30.84","30.84","30.15","21.07K","+1.33%"
"05/21/2026","30.09","30.90","30.90","30.00","45.34K","-0.99%"
"05/20/2026","30.39","29.80","31.10","29.71","188.87K","+1.06%"
"05/19/2026","30.07","30.07","30.15","29.94","180.48K","+0.17%"
"05/18/2026","30.02","29.90","30.75","29.57","28.95K","+0.40%"
"05/15/2026","29.90","30.70","31.00","29.06","200.67K","-1.03%"
"05/14/2026","30.21","30.18","30.45","29.90","304.97K","+0.53%"
"05/13/2026","30.05","30.52","30.52","29.70","290.34K","+0.30%"
"05/12/2026","29.96","30.37","30.40","29.82","204.66K","-1.61%"
"05/11/2026","30.45","30.55","31.20","30.00","118.36K","-2.31%"
"05/08/2026","31.17","31.60","31.60","31.14","18.13K","-0.16%"
"05/07/2026","31.22","30.37","31.47","30.37","166.36K","+0.74%"
