"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2026","29.64","29.85","29.85","29.50","439.89K","-0.70%"
"07/10/2026","29.85","29.49","29.90","29.44","1.20M","+1.50%"
"07/09/2026","29.41","29.70","29.70","29.17","281.64K","+1.00%"
"07/08/2026","29.12","29.81","29.82","29.00","793.26K","-2.35%"
"07/07/2026","29.82","30.24","30.26","29.69","589.48K","-1.13%"
"07/06/2026","30.16","30.10","30.70","29.94","414.62K","+0.30%"
"07/03/2026","30.07","29.16","30.19","29.16","528.17K","+0.53%"
"07/02/2026","29.91","29.48","29.96","29.48","247.59K","+1.42%"
"07/01/2026","29.49","29.64","29.94","29.30","1.60M","-0.47%"
"06/30/2026","29.63","29.55","29.78","29.30","221.72K","+1.30%"
"06/29/2026","29.25","30.09","30.10","29.10","523.62K","-1.38%"
"06/25/2026","29.66","29.58","30.17","29.50","269.49K","-0.70%"
"06/24/2026","29.87","29.69","30.06","29.46","438.98K","+0.74%"
"06/23/2026","29.65","29.91","30.16","29.55","768.45K","-0.80%"
"06/22/2026","29.89","29.83","29.98","29.74","539.84K","+0.23%"
"06/19/2026","29.82","29.97","29.98","29.70","627.24K","-0.07%"
"06/18/2026","29.84","29.26","30.09","28.47","359.91K","+0.71%"
"06/17/2026","29.63","29.98","29.98","29.53","1.00M","-0.10%"
"06/16/2026","29.66","30.22","30.22","29.20","1.25M","+0.58%"
"06/15/2026","29.49","29.95","29.97","29.40","550.86K","+0.72%"
"06/12/2026","29.28","29.08","29.35","28.97","1.65M","+1.81%"
"06/11/2026","28.76","29.26","29.26","28.70","201.24K","-1.24%"
"06/10/2026","29.12","29.29","29.58","29.04","847.85K","-0.55%"
"06/09/2026","29.28","28.82","31.00","28.69","613.52K","+2.49%"
"06/08/2026","28.57","29.22","29.30","28.38","4.49M","-2.22%"
"06/05/2026","29.22","29.45","29.45","29.05","366.47K","+0.41%"
"06/04/2026","29.10","29.70","29.70","29.00","658.48K","-0.03%"
"06/03/2026","29.11","29.10","29.23","28.68","442.75K","+0.07%"
"06/02/2026","29.09","29.72","29.72","28.60","423.48K","+0.31%"
"06/01/2026","29.00","29.23","29.65","28.90","539.67K","-0.79%"
"05/29/2026","29.23","29.90","30.00","28.83","738.27K","-1.75%"
