"Symbol","Company Name","ISIN","Duration (Years)","Total Invested","Std Value","Std XIRR (%)","Mid Value","Mid XIRR (%)","Weekly Value","Weekly XIRR (%)","SMA Value","SMA XIRR (%)","Monthly Low Value","Monthly Low XIRR (%)","10% Dip Value","10% Dip XIRR (%)","VA Value","VA XIRR (%)","RSI Value","RSI XIRR (%)","SMA Exit Value","SMA Exit XIRR (%)","God Value","God XIRR (%)","Super God Value","Super God XIRR (%)"
"3MINDIA","3M INDIA LIMITED","INE470A01017",23.55,2830000,51167951.29,20.44,50285029.83,20.37,51224872.29,20.34,44303079.53,19.50,54940606.86,20.94,48236874.09,20.05,35334768.23,18.02,46900239.30,19.87,29086844.95,16.75,67222048.52,22.21,1.1822270436035237e+24,556.06
"AAVAS","AAVAS FINANCIERS LIMITED","INE216P01012",7.77,940000,891454.50,-1.36,878017.61,-1.77,904214.66,-1.61,846027.03,-2.71,967107.21,0.73,884906.70,-1.55,1026811.07,2.25,874610.81,-1.85,1124551.18,4.56,1602591.07,13.45,467101703234.74,661.66
"ABB","ABB INDIA LIMITED","INE117A01022",23.47,2830000,44957486.85,19.60,44276247.99,19.54,43600469.61,19.38,37085289.20,18.34,48518993.39,20.13,42230333.19,19.19,25919257.16,15.99,37976564.51,18.50,77217908.96,23.12,63392450.13,21.83,1.2706089930258968e+25,627.83
"ABCAPITAL","ADITYA BIRLA CAPITAL LTD.","INE674K01013",8.87,1070000,3459838.97,25.44,3450970.63,25.57,3552135.77,25.57,3535347.61,25.91,3823165.37,27.80,3490912.41,25.64,3083856.15,22.98,3361716.89,24.83,1852935.77,12.06,6515141.24,39.10,23324077960408.51,832.23
"ACC","ACC LIMITED","INE012A01025",23.47,2830000,4792657.62,4.22,4764706.68,4.19,4788446.39,4.07,4423561.11,3.61,5171224.15,4.81,4737001.98,4.13,6317867.25,6.28,4779413.94,4.20,6882205.68,6.91,7588099.92,7.61,1.6568684738495598e+23,502.87
"ADANIPORTS","ADANI PORT & SEZ LTD","INE742F01042",18.64,2250000,17170642.03,18.94,17142868.54,18.98,17504411.07,19.04,17455179.04,19.08,19188691.48,19.95,17163446.23,18.93,13437284.72,16.81,17582271.55,19.14,6392188.38,10.20,26826262.02,22.78,1.751059927196753e+23,873.82
"ADVENZYMES","ADVANCED ENZYME TECH LTD","INE837H01020",9.95,1200000,1482822.63,4.19,1484214.06,4.23,1524863.97,4.22,1472973.26,4.05,1625831.75,6.02,1479458.14,4.14,1613782.68,5.83,1472898.27,4.05,1408676.74,3.18,2834317.44,16.53,175431721416263.94,793.87
"AIAENG","AIA ENGINEERING LIMITED","INE212H01026",20.59,2480000,23238306.12,18.62,23016528.49,18.59,23578551.56,18.60,20868663.21,17.79,26046113.65,19.54,22977259.68,18.53,18604167.98,16.90,22300206.11,18.30,7950732.76,10.19,38466437.03,22.48,9.269585120306104e+22,659.63
"ALKEM","ALKEM LABORATORIES LTD.","INE540L01014",10.56,1280000,2749085.06,13.77,2734210.16,13.75,2780189.46,13.75,2672705.07,13.27,2917309.24,14.89,2764979.21,13.87,2556672.94,12.50,2758208.74,13.82,1927890.53,7.50,3192211.24,16.37,763035904838.45,352.21
"AMBUJACEM","AMBUJA CEMENTS LTD","INE079A01024",23.47,2830000,9881831.71,9.48,9840554.60,9.47,9855037.54,9.36,9106421.28,8.90,10717108.91,10.06,9595011.00,9.27,9198983.96,8.97,9753747.51,9.38,5673403.72,5.49,15817419.34,12.70,1.2238990318730945e+25,626.65
"APLAPOLLO","APL APOLLO TUBES LTD","INE702C01027",14.59,1760000,52210051.82,40.72,51571951.72,40.72,52754357.83,40.76,49306140.00,40.04,56958884.96,41.89,51244055.39,40.50,38243717.02,37.03,49101117.95,39.99,21137914.60,30.10,65671609.41,43.46,41262200706073444352.00,939.87
"APLLTD","ALEMBIC PHARMA LTD","INE901L01018",14.82,1790000,5566696.11,14.04,5443496.19,13.84,5500784.53,13.74,4799272.65,12.30,6063550.29,15.10,5561058.35,14.03,4702374.23,12.06,5246726.93,13.35,4408926.15,11.29,7151956.88,16.96,623961543986166528.00,647.24
"APOLLOHOSP","APOLLO HOSPITALS ENTER. L","INE437A01024",23.47,2830000,66173692.34,22.11,65251079.00,22.07,65590296.63,22.05,57131866.75,21.16,70991033.14,22.61,66433209.53,22.14,41326948.68,19.05,60008738.43,21.48,11393434.20,10.46,79153852.11,23.28,3.664925410956889e+24,589.62
"APOLLOTYRE","APOLLO TYRES LTD","INE438A01022",23.47,2830000,20665231.26,14.49,20356837.03,14.42,20586604.08,14.41,19501009.43,14.10,22799598.27,15.17,20577956.32,14.46,18774312.83,13.85,20262996.06,14.36,12659628.95,11.19,41609745.65,19.09,4.005843821023364e+28,931.53
"ARE&M","AMARA RAJA ENERGY MOB LTD","INE885A01032",23.47,2830000,83216478.85,23.60,81845099.74,23.54,80839965.83,23.42,70031682.75,22.48,91731418.65,24.28,82668173.18,23.56,55591705.40,20.98,78411685.88,23.22,102643329.36,24.97,118694005.99,25.91,2.4464083433794024e+27,814.06
"ASIANPAINT","ASIAN PAINTS LIMITED","INE021A01026",23.47,2830000,52053719.98,20.55,51502431.81,20.53,51542911.08,20.47,47383484.75,19.94,55245113.14,20.98,48716249.15,20.12,31792187.23,17.33,50403720.02,20.34,12852164.33,11.29,61741637.53,21.66,786297200659453706240.00,377.61
"ASTERDM","ASTER DM HEALTHCARE LTD.","INE914M01019",8.38,1020000,3949615.57,30.96,3924615.49,31.04,3994655.94,31.25,4034494.05,31.45,4280512.75,33.00,3916804.91,30.77,3287903.68,26.79,3802478.23,30.10,2102931.00,16.65,5807947.01,39.83,7698781295464.71,814.31
"ASTRAL","ASTRAL LIMITED","INE006I01046",19.33,2330000,143444060.26,35.50,141210795.96,35.46,142962763.75,35.42,121993942.49,34.14,165270327.88,36.77,138716516.78,35.22,104602514.45,32.86,120487372.93,34.04,86208582.48,31.26,345047736.76,42.94,1.5459177778619359e+24,907.70
"ASTRAZEN","ASTRAZENECA PHARMA IND LT","INE203A01020",23.47,2830000,36400110.70,18.22,36077944.86,18.20,35976958.12,18.11,29878465.18,16.92,39309045.90,18.76,32590112.99,17.49,21094985.88,14.62,31912926.60,17.36,18136744.79,13.62,48034180.78,20.03,9.167035951512258e+26,776.05
